symbol,number_of_dates,percentage
ACG,0,-1
AGE,0,-1
AMP,0,-1
AUM,0,-1
BAF,0,-1
BBH,0,-1
BCA,0,-1
BCB,0,-1
BCV,0,-1
BGW,0,-1
BHG,0,-1
BIG,0,-1
BLW,0,-1
BMD,0,-1
BMG,0,-1
BMN,0,-1
BRS,0,-1
BTG,0,-1
BVL,0,-1
BXH,0,-1
CAB,0,-1
CAR,0,-1
CCT,0,-1
CCV,0,-1
CDG,0,-1
CDH,0,-1
CDR,0,-1
CE1,0,-1
CEG,0,-1
CFV,0,-1
CH5,0,-1
CHC,0,-1
CJC,0,-1
CMF,0,-1
CMK,0,-1
CMP,0,-1
CNA,0,-1
CPA,0,-1
CPH,0,-1
CVP,0,-1
DAN,0,-1
DBW,0,-1
DCF,0,-1
DCG,0,-1
DCH,0,-1
DDH,0,-1
DFF,0,-1
DKC,0,-1
DM7,0,-1
DMN,0,-1
DNN,0,-1
DOC,0,-1
DPS,0,-1
DSD,0,-1
DSV,0,-1
DTH,0,-1
DVM,0,-1
DWC,0,-1
DXS,0,-1
E12,0,-1
EME,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCC,0,-1
FGL,0,-1
FHN,0,-1
FRM,0,-1
FSO,0,-1
FTI,0,-1
GEE,0,-1
GH3,0,-1
GLC,0,-1
GMH,0,-1
HC1,0,-1
HCI,0,-1
HFX,0,-1
HGT,0,-1
HHN,0,-1
HHR,0,-1
HKB,0,-1
HLR,0,-1
HLS,0,-1
HMR,0,-1
HNP,0,-1
HNR,0,-1
HPM,0,-1
HTR,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IN4,0,-1
IRC,0,-1
KAC,0,-1
KCE,0,-1
KHG,0,-1
KHW,0,-1
KLM,0,-1
KSF,0,-1
KTL,0,-1
LAW,0,-1
LCC,0,-1
LCD,0,-1
LCW,0,-1
LDW,0,-1
LG9,0,-1
LGM,0,-1
LMI,0,-1
LNC,0,-1
LQN,0,-1
LSG,0,-1
LYF,0,-1
MBN,0,-1
MCI,0,-1
MDA,0,-1
MEF,0,-1
MES,0,-1
MGC,0,-1
MGR,0,-1
MIE,0,-1
MLC,0,-1
MPY,0,-1
MQB,0,-1
MTB,0,-1
MTC,0,-1
MTH,0,-1
MTS,0,-1
NAU,0,-1
NDW,0,-1
NHP,0,-1
NHV,0,-1
NJC,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSL,0,-1
NSS,0,-1
NTF,0,-1
NTT,0,-1
NVP,0,-1
NXT,0,-1
ODE,0,-1
ONW,0,-1
PAI,0,-1
PAP,0,-1
PAT,0,-1
PCH,0,-1
PLE,0,-1
PPT,0,-1
PQN,0,-1
PTD,0,-1
PTG,0,-1
PTH,0,-1
PTN,0,-1
PTO,0,-1
PTX,0,-1
PX1,0,-1
PXC,0,-1
QLT,0,-1
QNT,0,-1
QNU,0,-1
QNW,0,-1
RBC,0,-1
SAL,0,-1
SCV,0,-1
SCY,0,-1
SEP,0,-1
SGI,0,-1
SHX,0,-1
SJC,0,-1
SPH,0,-1
SQC,0,-1
SSF,0,-1
SSG,0,-1
SSH,0,-1
STS,0,-1
STW,0,-1
SVH,0,-1
SZG,0,-1
TA3,0,-1
TAG,0,-1
TAN,0,-1
TAW,0,-1
TB8,0,-1
TBH,0,-1
TBR,0,-1
TBX,0,-1
TCK,0,-1
TED,0,-1
TET,0,-1
THN,0,-1
THU,0,-1
TIN,0,-1
TKA,0,-1
TNP,0,-1
TOS,0,-1
TPS,0,-1
TQN,0,-1
TQW,0,-1
TS3,0,-1
TVA,0,-1
TVH,0,-1
TVW,0,-1
TW3,0,-1
UCT,0,-1
UDL,0,-1
UEM,0,-1
UMC,0,-1
VAB,0,-1
VAT,0,-1
VBG,0,-1
VCE,0,-1
VCT,0,-1
VDB,0,-1
VE2,0,-1
VHF,0,-1
VHH,0,-1
VIR,0,-1
VKP,0,-1
VLP,0,-1
VLW,0,-1
VMA,0,-1
VPW,0,-1
VTI,0,-1
VTM,0,-1
VTZ,0,-1
VUA,0,-1
VVS,0,-1
VXT,0,-1
X26,0,-1
X77,0,-1
XDH,0,-1
XMD,0,-1
XMP,0,-1
ACS,1,0.0
APT,1,0.0
ATS,1,0.0
BCP,2,0.0
BDW,1,0.0
BEL,2,0.0
BHC,2,0.0
BHK,2,0.0
BLN,1,0.0
BLT,8,0.0
BMV,1,0.0
BNW,1,0.0
BSD,1,0.0
BST,1,0.0
BTU,1,0.0
CBS,2,0.0
CCP,1,0.0
CMW,1,0.0
CT3,1,0.0
CTA,4,0.0
CTT,1,0.0
DAS,1,0.0
DHB,1,0.0
DHN,1,0.0
DLD,2,0.0
DLR,1,0.0
DLT,1,0.0
DNA,8,0.0
DNL,1,0.0
DNT,1,0.0
DPD,1,0.0
DTB,1,0.0
DXL,1,0.0
EMG,1,0.0
FCS,1,0.0
FHS,1,0.0
FT1,2,0.0
GER,1,0.0
GLW,2,0.0
HDW,2,0.0
HNB,1,0.0
HRB,1,0.0
HSP,4,0.0
HVT,1,0.0
IDP,1,0.0
ISG,1,0.0
L12,3,0.0
LBC,1,0.0
LWS,1,0.0
MCC,1,0.0
MND,1,0.0
NAC,1,0.0
NFC,2,0.0
NWT,1,0.0
PMJ,5,0.0
PMP,2,0.0
POB,1,0.0
RAT,1,0.0
S96,4,0.0
SAP,1,0.0
SBM,1,0.0
SD1,3,0.0
SKN,1,0.0
SPB,4,0.0
TBT,1,0.0
TCJ,2,0.0
THW,1,0.0
TMW,1,0.0
TNW,1,0.0
TSB,2,0.0
TVG,1,0.0
TVM,1,0.0
V11,4,0.0
VDN,3,0.0
VNY,1,0.0
VPR,1,0.0
VTG,1,0.0
VWS,1,0.0
VXP,1,0.0
YTC,1,0.0
XHC,7,0.35
TPH,7,0.38
TRT,11,0.44
BAL,3,0.57
VTA,2,0.63
DBD,20,0.65
NBE,20,0.66
NCT,20,0.79
PVY,4,0.8
GAB,20,0.85
DTT,12,0.89
SRT,9,0.89
BBM,3,0.92
TSG,2,0.96
ND2,9,0.97
LIX,20,0.98
SPC,12,1.01
HAD,15,1.03
SAM,20,1.08
VPD,19,1.1
AFX,20,1.11
SED,20,1.14
CHP,20,1.16
HDM,10,1.19
PGI,13,1.2
BBS,17,1.21
SJD,20,1.22
EBS,12,1.24
BDB,2,1.27
GHC,20,1.27
TDB,6,1.29
NTW,5,1.31
TRA,20,1.38
SBA,20,1.43
SZB,20,1.43
BIC,20,1.45
BTD,17,1.45
BTT,4,1.45
VPI,20,1.45
CKA,2,1.48
EID,20,1.48
HVH,20,1.5
TV4,20,1.51
UPH,3,1.52
BDG,18,1.56
HMS,4,1.59
CCA,2,1.63
HPD,11,1.63
NBT,18,1.64
TC6,20,1.64
BBC,11,1.65
DVP,20,1.65
