symbol,number_of_dates,percentage
AAS,0,-1
AAT,0,-1
ABB,0,-1
ACG,0,-1
AGE,0,-1
AIC,0,-1
AMP,0,-1
APH,0,-1
APL,0,-1
ASG,0,-1
ATS,0,-1
AUM,0,-1
BAF,0,-1
BBH,0,-1
BBM,0,-1
BCA,0,-1
BCB,0,-1
BCV,0,-1
BDB,0,-1
BDW,0,-1
BHC,0,-1
BHG,0,-1
BIG,0,-1
BIO,0,-1
BKG,0,-1
BLN,0,-1
BLT,0,-1
BLW,0,-1
BMD,0,-1
BMG,0,-1
BMN,0,-1
BMV,0,-1
BNA,0,-1
BNW,0,-1
BQB,0,-1
BRS,0,-1
BSC,0,-1
BSD,0,-1
BSG,0,-1
BTG,0,-1
BTH,0,-1
BVB,0,-1
BVL,0,-1
BVN,0,-1
BWA,0,-1
CAB,0,-1
CAG,0,-1
CAR,0,-1
CC1,0,-1
CCT,0,-1
CCV,0,-1
CDG,0,-1
CDH,0,-1
CDR,0,-1
CE1,0,-1
CFM,0,-1
CFV,0,-1
CH5,0,-1
CHC,0,-1
CIP,0,-1
CMF,0,-1
CMK,0,-1
CMP,0,-1
CMW,0,-1
CNA,0,-1
CPA,0,-1
CPH,0,-1
CPI,0,-1
CQN,0,-1
CST,0,-1
CVP,0,-1
CX8,0,-1
DAN,0,-1
DBW,0,-1
DCG,0,-1
DCH,0,-1
DDH,0,-1
DFF,0,-1
DGT,0,-1
DHB,0,-1
DHN,0,-1
DKC,0,-1
DLR,0,-1
DM7,0,-1
DMN,0,-1
DNN,0,-1
DNT,0,-1
DOC,0,-1
DPD,0,-1
DSD,0,-1
DSG,0,-1
DTE,0,-1
DTH,0,-1
DTP,0,-1
DUS,0,-1
DVG,0,-1
DVM,0,-1
DVW,0,-1
DWC,0,-1
DWS,0,-1
DXL,0,-1
DXS,0,-1
EME,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCC,0,-1
FCS,0,-1
FGL,0,-1
FHN,0,-1
FSO,0,-1
FTI,0,-1
GE2,0,-1
GEE,0,-1
GER,0,-1
GH3,0,-1
GIC,0,-1
GLC,0,-1
GLW,0,-1
GMA,0,-1
GMH,0,-1
H11,0,-1
HBH,0,-1
HC1,0,-1
HD6,0,-1
HFX,0,-1
HGT,0,-1
HGW,0,-1
HHC,0,-1
HHN,0,-1
HHR,0,-1
HJC,0,-1
HLR,0,-1
HLS,0,-1
HLT,0,-1
HMG,0,-1
HMR,0,-1
HNP,0,-1
HNR,0,-1
HPM,0,-1
HSV,0,-1
HTW,0,-1
HVG,0,-1
IBN,0,-1
ICI,0,-1
IDP,0,-1
IME,0,-1
IN4,0,-1
IPA,0,-1
IRC,0,-1
ISG,0,-1
IST,0,-1
JOS,0,-1
KAC,0,-1
KGM,0,-1
KHG,0,-1
KHW,0,-1
KIP,0,-1
KMT,0,-1
KSF,0,-1
KSV,0,-1
KTC,0,-1
KTT,0,-1
L40,0,-1
L61,0,-1
L62,0,-1
L63,0,-1
LAW,0,-1
LBC,0,-1
LBE,0,-1
LCC,0,-1
LCD,0,-1
LCW,0,-1
LDW,0,-1
LG9,0,-1
LNC,0,-1
LPT,0,-1
LQN,0,-1
LSG,0,-1
LTC,0,-1
LWS,0,-1
LYF,0,-1
MBN,0,-1
MCI,0,-1
MCM,0,-1
MDA,0,-1
MEF,0,-1
MEL,0,-1
MES,0,-1
MGC,0,-1
MGR,0,-1
MHL,0,-1
MIE,0,-1
MIM,0,-1
MKV,0,-1
MLC,0,-1
MNB,0,-1
MPY,0,-1
MQB,0,-1
MSB,0,-1
MTB,0,-1
MTC,0,-1
MTS,0,-1
NAB,0,-1
NAC,0,-1
NAP,0,-1
NAU,0,-1
NBT,0,-1
NDW,0,-1
NFC,0,-1
NHV,0,-1
NJC,0,-1
NNT,0,-1
NQT,0,-1
NSS,0,-1
NTF,0,-1
NVP,0,-1
NWT,0,-1
NXT,0,-1
OCB,0,-1
ODE,0,-1
ONW,0,-1
PAI,0,-1
PAP,0,-1
PAS,0,-1
PAT,0,-1
PCF,0,-1
PCH,0,-1
PDC,0,-1
PEC,0,-1
PEG,0,-1
PGB,0,-1
PID,0,-1
PIS,0,-1
PLA,0,-1
PLE,0,-1
PLO,0,-1
PND,0,-1
PNP,0,-1
PPT,0,-1
PQN,0,-1
PRC,0,-1
PRE,0,-1
PSE,0,-1
PSN,0,-1
PTD,0,-1
PTG,0,-1
PTN,0,-1
PTO,0,-1
PTX,0,-1
PWS,0,-1
PX1,0,-1
PXC,0,-1
QLT,0,-1
QNT,0,-1
QNW,0,-1
QST,0,-1
RBC,0,-1
S27,0,-1
S72,0,-1
SAL,0,-1
SBR,0,-1
SCG,0,-1
SCO,0,-1
SCV,0,-1
SCY,0,-1
SDB,0,-1
SDC,0,-1
SDJ,0,-1
SDN,0,-1
SDX,0,-1
SDY,0,-1
SGB,0,-1
SGI,0,-1
SHX,0,-1
SIV,0,-1
SP2,0,-1
SPD,0,-1
SPH,0,-1
SQC,0,-1
SSB,0,-1
SSF,0,-1
SSH,0,-1
STS,0,-1
STT,0,-1
SVD,0,-1
SVG,0,-1
SVH,0,-1
SZG,0,-1
TA3,0,-1
TAN,0,-1
TB8,0,-1
TBH,0,-1
TBR,0,-1
TBT,0,-1
TBX,0,-1
TCK,0,-1
TDF,0,-1
TED,0,-1
TET,0,-1
TGP,0,-1
THN,0,-1
THS,0,-1
THW,0,-1
TIN,0,-1
TKA,0,-1
TKG,0,-1
TNH,0,-1
TNM,0,-1
TNW,0,-1
TOS,0,-1
TPP,0,-1
TQN,0,-1
TQW,0,-1
TR1,0,-1
TS3,0,-1
TSB,0,-1
TTA,0,-1
TTS,0,-1
TV6,0,-1
TVM,0,-1
UCT,0,-1
UDL,0,-1
UEM,0,-1
UMC,0,-1
UPH,0,-1
USC,0,-1
VAB,0,-1
VBG,0,-1
VBH,0,-1
VCE,0,-1
VCT,0,-1
VDB,0,-1
VE1,0,-1
VE8,0,-1
VES,0,-1
VFS,0,-1
VGL,0,-1
VHF,0,-1
VHH,0,-1
VIE,0,-1
VIH,0,-1
VIR,0,-1
VKP,0,-1
VLP,0,-1
VMA,0,-1
VNF,0,-1
VNY,0,-1
VPR,0,-1
VPW,0,-1
VTG,0,-1
VTM,0,-1
VTQ,0,-1
VTS,0,-1
VTZ,0,-1
VUA,0,-1
VVS,0,-1
X77,0,-1
XDH,0,-1
XLV,0,-1
XMD,0,-1
XMP,0,-1
ANT,4,0.0
ARM,1,0.0
AVC,1,0.0
BBS,1,0.0
BCF,3,0.0
BED,3,0.0
BGW,3,0.0
BSH,1,0.0
BT6,1,0.0
BTU,1,0.0
C12,1,0.0
CCR,4,0.0
CMD,1,0.0
CT6,1,0.0
CTW,1,0.0
DBM,1,0.0
DCF,6,0.0
DHD,1,0.0
DLD,1,0.0
DLT,1,0.0
DND,1,0.0
DOP,1,0.0
DP2,1,0.0
DSV,1,0.0
DTI,1,0.0
DTK,1,0.0
DVC,1,0.0
FIC,4,0.0
FRC,1,0.0
GTD,1,0.0
HDO,4,0.0
HLY,1,0.0
HSM,1,0.0
HTR,2,0.0
HTT,2,0.0
IBD,1,0.0
IHK,1,0.0
KHA,1,0.0
L43,1,0.0
LAI,1,0.0
LGM,1,0.0
LIC,1,0.0
LM3,1,0.0
LMI,6,0.0
MA1,1,0.0
MND,1,0.0
MTG,1,0.0
MTH,1,0.0
MTL,1,0.0
NAW,1,0.0
NQB,1,0.0
NSL,1,0.0
NTB,4,0.0
NTT,1,0.0
PBT,1,0.0
PEN,1,0.0
PEQ,1,0.0
PMW,1,0.0
PPY,1,0.0
PSW,1,0.0
PTH,2,0.0
PVH,2,0.0
QNU,2,0.0
SCC,2,0.0
SD1,1,0.0
SEP,1,0.0
SGO,4,0.0
SHG,1,0.0
TAG,1,0.0
TCI,1,0.0
TCJ,1,0.0
TEL,1,0.0
TH1,1,0.0
THU,3,0.0
TLI,2,0.0
TMW,1,0.0
TNP,1,0.0
TPH,1,0.0
TRT,1,0.0
TSG,1,0.0
TTE,2,0.0
TVG,1,0.0
TVH,1,0.0
TVW,1,0.0
V12,1,0.0
VC5,1,0.0
VE2,2,0.0
VPA,2,0.0
VQC,1,0.0
VTE,1,0.0
VTH,1,0.0
VTI,1,0.0
VXP,1,0.0
BT1,2,0.28
BAB,22,0.34
MVC,3,0.38
BMJ,8,0.39
S74,10,0.44
ALT,2,0.45
HLG,3,0.48
HSA,3,0.52
VIW,2,0.54
NSG,2,0.55
CHP,18,0.57
HPH,3,0.59
PSC,4,0.59
DTB,2,0.61
NDX,22,0.77
SDV,12,0.81
SGC,4,0.89
TV4,20,0.91
HPX,22,0.92
PMG,22,0.98
BOT,22,0.99
PVG,22,1.0
CKD,3,1.01
CBS,5,1.02
ICC,3,1.07
DDN,9,1.13
VCP,20,1.19
BTD,18,1.2
DNA,2,1.21
SIC,15,1.22
VPD,22,1.23
VSH,22,1.3
DNC,4,1.34
SJD,22,1.36
DPP,6,1.44
INN,21,1.46
SPM,16,1.46
AGG,22,1.47
CAP,22,1.48
VPI,22,1.53
HES,3,1.62
VNL,7,1.62
VGP,8,1.64
NBC,22,1.68
ADG,22,1.69
GAB,22,1.69
VTO,22,1.71
HDM,9,1.72
DNH,5,1.75
SKH,22,1.77
SPV,4,1.77
CLC,22,1.78
SMB,22,1.78
DRL,19,1.82
GGG,4,1.82
PCT,2,1.82
DBD,22,1.83
TDB,7,1.86
ABC,21,1.91
NDP,2,1.91
CLM,3,1.93
DC2,7,1.94
GKM,22,1.94
HPI,4,1.96
MH3,22,1.97
SMC,22,1.97
USD,11,1.98
SHP,22,2.01
HLD,22,2.03
DPR,22,2.04
DAE,15,2.07
TOW,2,2.12
MQN,21,2.13
DPC,12,2.14
NET,21,2.14
QTP,22,2.14
SFN,5,2.16
GHC,19,2.17
DDG,22,2.18
HAX,22,2.18
ILS,18,2.18
GSM,7,2.21
HIG,16,2.21
UDJ,21,2.21
HAM,4,2.23
VMD,14,2.23
CNG,22,2.24
NBB,22,2.26
STH,22,2.26
VGG,22,2.27
ADP,4,2.33
HAT,17,2.33
SBA,22,2.33
ADC,7,2.34
HTI,22,2.36
CLL,15,2.37
DHG,22,2.37
MDG,19,2.37
PDB,17,2.38
BSA,20,2.39
VGC,22,2.45
DHT,22,2.46
PVI,22,2.46
SAM,22,2.47
EID,22,2.5
EIB,22,2.52
BCE,22,2.54
TL4,10,2.56
DXP,20,2.57
PJC,2,2.57
VLW,2,2.58
VTB,22,2.59
HHP,22,2.6
CHS,12,2.61
DBT,18,2.62
DVP,22,2.63
TDC,22,2.64
WSB,18,2.64
DNP,17,2.65
PHP,19,2.65
ILB,22,2.68
NAF,22,2.71
BMI,22,2.72
DSN,22,2.74
SED,19,2.75
MCH,22,2.76
ITC,16,2.77
MAS,21,2.77
NBE,17,2.78
SHI,22,2.8
CAT,20,2.81
NVT,21,2.83
SZE,20,2.84
FIR,22,2.85
STP,11,2.85
CTC,3,2.86
CCI,16,2.91
TVS,21,2.91
IDV,22,2.93
VTC,10,2.95
AGP,11,2.96
QTC,6,2.96
SBV,22,2.96
VIT,18,2.96
CDO,22,3.0
VLF,3,3.0
HTV,16,3.02
IDC,22,3.02
VIB,22,3.02
TMP,21,3.04
DIG,22,3.08
PSD,18,3.08
HND,22,3.09
SMA,20,3.1
UIC,22,3.1
BSP,17,3.11
CEG,2,3.15
PMP,5,3.17
REE,22,3.18
CRC,22,3.22
TCL,22,3.22
VTP,22,3.22
HSP,11,3.25
NTC,22,3.25
RTB,9,3.25
VC6,11,3.25
SGN,22,3.26
STL,2,3.26
VCW,4,3.27
GTA,21,3.3
ISH,7,3.33
PMC,21,3.34
QPH,3,3.35
HTG,16,3.36
TVT,22,3.38
CTF,22,3.39
DHP,14,3.39
NUE,15,3.39
SFG,22,3.4
PVP,22,3.43
AGF,2,3.45
CCL,22,3.45
PET,22,3.45
PGD,20,3.45
S4A,19,3.46
FPT,22,3.48
RAL,22,3.49
HCC,22,3.5
KHP,22,3.5
ACE,8,3.51
BDG,20,3.51
PHN,4,3.51
VMC,22,3.52
PMB,3,3.53
TC6,18,3.54
FCM,22,3.55
MTP,2,3.55
PHS,2,3.56
TTP,8,3.56
L44,2,3.57
VCF,22,3.58
NCS,21,3.59
BSQ,8,3.6
TTN,22,3.6
SDU,2,3.61
ADS,22,3.62
BWS,12,3.63
HAC,20,3.64
VHD,8,3.64
EIN,18,3.66
GDT,22,3.68
PPC,22,3.69
EPH,7,3.71
CVT,22,3.73
SJE,21,3.73
BLF,4,3.75
CYC,3,3.75
SCD,21,3.75
VFG,18,3.78
BRC,8,3.8
BHN,22,3.81
CAV,20,3.81
KDM,21,3.81
LHC,21,3.81
NTH,15,3.83
ST8,19,3.83
PTC,19,3.85
BSL,15,3.86
TCW,22,3.86
THT,22,3.87
SBM,9,3.88
IMP,22,3.89
SFI,22,3.89
IVS,22,3.9
MTA,22,3.91
VCG,22,3.91
VCC,12,3.94
IBC,22,3.97
GVT,18,3.98
STK,22,3.98
NNC,22,3.99
ALV,4,4.0
CTT,9,4.0
TXM,22,4.0
NQN,5,4.01
VDP,19,4.01
VIF,13,4.02
VJC,22,4.03
APF,16,4.04
HPP,17,4.04
DHC,22,4.05
LBM,22,4.05
TPB,22,4.05
VE4,7,4.06
FOC,21,4.08
DNW,22,4.1
LHG,22,4.1
PIA,11,4.1
SMN,8,4.1
TCH,22,4.1
PC1,22,4.11
SWC,20,4.15
PLX,22,4.16
VC3,22,4.16
BTP,22,4.17
NSC,22,4.17
SKV,7,4.17
TDW,10,4.18
TJC,16,4.18
ASP,22,4.19
LGC,14,4.2
VNM,22,4.21
BSI,22,4.25
BXH,2,4.26
NCT,22,4.26
VLA,2,4.26
VSA,10,4.27
GSP,21,4.28
TTD,8,4.31
VEA,22,4.31
HPD,16,4.32
TTC,5,4.34
CI5,5,4.35
PVM,15,4.35
PVY,4,4.35
S55,12,4.36
MKP,16,4.39
QNS,22,4.4
NVL,22,4.41
SFC,15,4.41
LIX,22,4.43
PSP,21,4.43
BCC,22,4.44
GEX,22,4.44
KCB,5,4.44
SEB,13,4.44
ABT,17,4.45
HLC,6,4.45
NS2,4,4.45
LAF,20,4.46
PMJ,6,4.47
SGP,22,4.47
SKG,22,4.48
CLH,22,4.5
PGV,17,4.5
TA9,17,4.51
BAX,21,4.55
TDN,22,4.56
KLB,17,4.57
TFC,15,4.57
DNL,3,4.59
MWG,22,4.6
CPC,12,4.63
PJT,21,4.65
CIA,22,4.66
SZL,22,4.67
DDV,12,4.7
BLI,15,4.71
ITD,22,4.71
HFB,5,4.72
HT1,22,4.72
VC1,2,4.72
VGT,22,4.72
CTB,13,4.73
GND,14,4.74
PVO,21,4.75
CGV,2,4.76
PTS,20,4.77
VNE,22,4.77
KDH,22,4.8
CII,22,4.81
EVS,21,4.83
TNA,22,4.83
NAG,22,4.84
TMS,22,4.85
TIE,2,4.86
A32,5,4.88
OPC,20,4.89
SAF,10,4.91
BMC,22,4.92
TRS,5,4.95
DTD,22,4.96
COM,16,4.99
HDP,5,4.99
LSS,22,4.99
CKA,15,5.0
TBC,17,5.0
VPC,4,5.0
HBD,6,5.02
TVD,21,5.02
VIC,22,5.02
DMC,22,5.05
DP3,21,5.07
FHS,4,5.08
HHV,10,5.09
SHA,21,5.09
HRC,14,5.1
L14,22,5.1
TCO,13,5.1
DAG,22,5.11
NBP,11,5.11
PTP,6,5.11
CLX,19,5.12
NHT,22,5.13
PHC,22,5.13
HPG,22,5.15
HAH,22,5.16
SCS,22,5.19
DHA,22,5.21
MFS,22,5.21
PIC,14,5.21
DCL,22,5.22
MBS,22,5.24
HLB,6,5.25
KTS,7,5.25
VIN,13,5.25
VPS,14,5.25
TNS,2,5.26
PGS,22,5.29
