symbol,number_of_dates,percentage
AGE,0,-1
AMP,0,-1
ASA,0,-1
AUM,0,-1
BCB,0,-1
BCV,0,-1
BDW,0,-1
BED,0,-1
BHG,0,-1
BKH,0,-1
BLW,0,-1
BMD,0,-1
BMN,0,-1
BMV,0,-1
BNW,0,-1
BSD,0,-1
C12,0,-1
CAR,0,-1
CCM,0,-1
CDG,0,-1
CDH,0,-1
CE1,0,-1
CFV,0,-1
CHC,0,-1
CKA,0,-1
CMK,0,-1
CMP,0,-1
CNA,0,-1
CPH,0,-1
CT3,0,-1
CVP,0,-1
CYC,0,-1
DBW,0,-1
DCH,0,-1
DFC,0,-1
DHN,0,-1
DKC,0,-1
DLD,0,-1
DM7,0,-1
DNN,0,-1
DP2,0,-1
DPD,0,-1
DSV,0,-1
DVM,0,-1
EME,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FCS,0,-1
FGL,0,-1
FHN,0,-1
FSO,0,-1
FTI,0,-1
GAB,0,-1
GDW,0,-1
GH3,0,-1
GLC,0,-1
GLW,0,-1
HCI,0,-1
HGT,0,-1
HHN,0,-1
HHR,0,-1
HLT,0,-1
HMG,0,-1
HNP,0,-1
HNR,0,-1
HTR,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IN4,0,-1
IRC,0,-1
KLM,0,-1
LAW,0,-1
LBC,0,-1
LBE,0,-1
LCW,0,-1
LDW,0,-1
LMC,0,-1
LNC,0,-1
LQN,0,-1
LYF,0,-1
MBN,0,-1
MCC,0,-1
MCI,0,-1
MDA,0,-1
MEF,0,-1
MES,0,-1
MLC,0,-1
MPY,0,-1
MQB,0,-1
NAC,0,-1
NDW,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSS,0,-1
NTF,0,-1
NVP,0,-1
NWT,0,-1
PAT,0,-1
PCH,0,-1
PLE,0,-1
PMJ,0,-1
PPE,0,-1
PPT,0,-1
PQN,0,-1
PRC,0,-1
PTG,0,-1
PTN,0,-1
PTX,0,-1
PX1,0,-1
PXC,0,-1
QNU,0,-1
QNW,0,-1
QST,0,-1
RBC,0,-1
SAL,0,-1
SBD,0,-1
SCV,0,-1
SCY,0,-1
SEP,0,-1
SHX,0,-1
SPB,0,-1
SPH,0,-1
SPV,0,-1
STS,0,-1
STW,0,-1
SVH,0,-1
