symbol,number_of_dates,percentage
AGE,0,-1
ATS,0,-1
AUM,0,-1
BAF,0,-1
BBH,0,-1
BCB,0,-1
BCV,0,-1
BED,0,-1
BHG,0,-1
BIG,0,-1
BLW,0,-1
BNW,0,-1
BSD,0,-1
BTV,0,-1
CAB,0,-1
CAR,0,-1
CC4,0,-1
CCV,0,-1
CDG,0,-1
CDH,0,-1
CFV,0,-1
CH5,0,-1
CHC,0,-1
CMK,0,-1
CMP,0,-1
CMW,0,-1
CNA,0,-1
CNN,0,-1
CPH,0,-1
CVP,0,-1
DAC,0,-1
DAN,0,-1
DBW,0,-1
DCG,0,-1
DLT,0,-1
DM7,0,-1
DMN,0,-1
DNN,0,-1
DNT,0,-1
DSD,0,-1
DSV,0,-1
DTH,0,-1
DTV,0,-1
DVM,0,-1
DVW,0,-1
DWC,0,-1
E12,0,-1
ECI,0,-1
EME,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCC,0,-1
FCS,0,-1
FGL,0,-1
FHN,0,-1
FHS,0,-1
FSO,0,-1
FTI,0,-1
GEE,0,-1
GER,0,-1
GH3,0,-1
GLC,0,-1
GLW,0,-1
GMH,0,-1
GTD,0,-1
HC1,0,-1
HFX,0,-1
HGT,0,-1
HHN,0,-1
HHR,0,-1
HKP,0,-1
HLR,0,-1
HLT,0,-1
HMR,0,-1
HTR,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IHK,0,-1
IRC,0,-1
KHW,0,-1
LCC,0,-1
LCW,0,-1
LDW,0,-1
LG9,0,-1
LNC,0,-1
LQN,0,-1
LSG,0,-1
LWS,0,-1
LYF,0,-1
MBN,0,-1
MCC,0,-1
MCI,0,-1
MDA,0,-1
MEF,0,-1
MES,0,-1
MGR,0,-1
MIE,0,-1
MKV,0,-1
MLC,0,-1
MPY,0,-1
MQB,0,-1
MTB,0,-1
MTH,0,-1
NAC,0,-1
NAU,0,-1
NDW,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSS,0,-1
NVP,0,-1
NXT,0,-1
ODE,0,-1
ONW,0,-1
PAI,0,-1
PAT,0,-1
PBT,0,-1
PCH,0,-1
PLE,0,-1
PPT,0,-1
PQN,0,-1
PTG,0,-1
PTN,0,-1
PX1,0,-1
PXC,0,-1
QNT,0,-1
QNW,0,-1
RBC,0,-1
SAL,0,-1
SCV,0,-1
SCY,0,-1
SHX,0,-1
SSF,0,-1
STW,0,-1
SVH,0,-1
SZG,0,-1
TAG,0,-1
TAN,0,-1
TAW,0,-1
TB8,0,-1
TBR,0,-1
TBT,0,-1
TBX,0,-1
TCJ,0,-1
TCK,0,-1
TED,0,-1
TEL,0,-1
THN,0,-1
THU,0,-1
TIN,0,-1
TKA,0,-1
TMW,0,-1
TPS,0,-1
TQN,0,-1
TQW,0,-1
TRT,0,-1
TS3,0,-1
TVA,0,-1
UEM,0,-1
USC,0,-1
VAT,0,-1
VBG,0,-1
VCE,0,-1
VDB,0,-1
VGL,0,-1
VHF,0,-1
VIE,0,-1
VIH,0,-1
VKP,0,-1
VLP,0,-1
VLW,0,-1
VMA,0,-1
VNX,0,-1
VNY,0,-1
VPW,0,-1
VTG,0,-1
VTI,0,-1
VTM,0,-1
VTQ,0,-1
VTZ,0,-1
VUA,0,-1
VVS,0,-1
VXP,0,-1
VXT,0,-1
X26,0,-1
X77,0,-1
XDH,0,-1
XMD,0,-1
APL,1,0.0
APT,1,0.0
BBM,4,0.0
BEL,1,0.0
BGW,1,0.0
BMD,1,0.0
BT1,2,0.0
BXH,1,0.0
CE1,1,0.0
CMF,1,0.0
CPA,1,0.0
CT3,4,0.0
DCH,1,0.0
DDH,2,0.0
DUS,1,0.0
GMA,21,0.0
HLS,1,0.0
HNP,1,0.0
HNR,1,0.0
IME,1,0.0
IN4,1,0.0
LAW,1,0.0
LBC,1,0.0
LGM,1,0.0
MA1,1,0.0
MND,2,0.0
MTC,1,0.0
NWT,1,0.0
PMJ,1,0.0
PNP,1,0.0
PRC,1,0.0
PTD,1,0.0
PTH,1,0.0
PTO,1,0.0
PTX,1,0.0
QNU,1,0.0
QST,1,0.0
SDG,1,0.0
SQC,1,0.0
TA3,1,0.0
TNM,1,0.0
TOW,1,0.0
TPH,1,0.0
UCT,1,0.0
