symbol,number_of_dates,percentage
AGE,0,-1
APL,0,-1
ARM,0,-1
ASA,0,-1
AUM,0,-1
BCB,0,-1
BCV,0,-1
BED,0,-1
BEL,0,-1
BHG,0,-1
BLW,0,-1
BMD,0,-1
BNW,0,-1
CAB,0,-1
CAR,0,-1
CDG,0,-1
CDH,0,-1
CEG,0,-1
CFV,0,-1
CH5,0,-1
CHC,0,-1
CMD,0,-1
CMF,0,-1
CMK,0,-1
CMP,0,-1
CNA,0,-1
CPH,0,-1
CVP,0,-1
DBW,0,-1
DCG,0,-1
DCH,0,-1
DDH,0,-1
DLD,0,-1
DLT,0,-1
DM7,0,-1
DNL,0,-1
DNN,0,-1
DPD,0,-1
DSD,0,-1
DTH,0,-1
DUS,0,-1
DVM,0,-1
DVW,0,-1
E12,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCS,0,-1
FGL,0,-1
FHN,0,-1
FHS,0,-1
FRM,0,-1
FSO,0,-1
FTI,0,-1
GEE,0,-1
GH3,0,-1
GLC,0,-1
GLW,0,-1
HGT,0,-1
HHN,0,-1
HHR,0,-1
HKP,0,-1
HLT,0,-1
HMG,0,-1
HNR,0,-1
HRB,0,-1
HTR,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IME,0,-1
IN4,0,-1
IRC,0,-1
KHW,0,-1
KLM,0,-1
LAW,0,-1
LCW,0,-1
LDW,0,-1
LNC,0,-1
LQN,0,-1
LSG,0,-1
LWS,0,-1
LYF,0,-1
MBN,0,-1
MDA,0,-1
MEF,0,-1
MES,0,-1
MGR,0,-1
MLC,0,-1
MND,0,-1
MPY,0,-1
MQB,0,-1
MTB,0,-1
NAC,0,-1
NDW,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSS,0,-1
NTF,0,-1
NVP,0,-1
NWT,0,-1
ONW,0,-1
PAI,0,-1
PAT,0,-1
PCH,0,-1
PNG,0,-1
PPT,0,-1
PQN,0,-1
PRC,0,-1
PTG,0,-1
PTN,0,-1
PTX,0,-1
PX1,0,-1
PXC,0,-1
QNU,0,-1
QNW,0,-1
RBC,0,-1
SAL,0,-1
SCV,0,-1
SCY,0,-1
SEP,0,-1
SHX,0,-1
SPH,0,-1
SSF,0,-1
STS,0,-1
STW,0,-1
SVH,0,-1
TAG,0,-1
TAN,0,-1
TAW,0,-1
TB8,0,-1
TBR,0,-1
TBX,0,-1
TCJ,0,-1
TCK,0,-1
TED,0,-1
THN,0,-1
THW,0,-1
TKA,0,-1
TMW,0,-1
TNM,0,-1
TNP,0,-1
TPH,0,-1
TQN,0,-1
TQW,0,-1
TRT,0,-1
TVG,0,-1
TVH,0,-1
UDL,0,-1
UEM,0,-1
UMC,0,-1
UPC,0,-1
VBG,0,-1
VCE,0,-1
VDB,0,-1
VHF,0,-1
VKP,0,-1
VLP,0,-1
VMA,0,-1
VPW,0,-1
VTM,0,-1
VVS,0,-1
VXT,0,-1
X77,0,-1
XDH,0,-1
ACM,3,0.0
AMP,1,0.0
BDW,1,0.0
BGW,1,0.0
BHK,2,0.0
BMV,1,0.0
BSC,3,0.0
BT6,3,0.0
BXH,1,0.0
C22,1,0.0
CE1,5,0.0
CT3,1,0.0
CTN,3,0.0
DAS,2,0.0
DCS,3,0.0
DFC,1,0.0
DHN,10,0.0
DKC,1,0.0
DLR,2,0.0
DNA,2,0.0
DNT,1,0.0
DOC,8,0.0
DSV,1,0.0
DTB,1,0.0
FCC,2,0.0
FRC,1,0.0
G20,3,0.0
GCB,1,0.0
HC1,1,0.0
HES,2,0.0
HEV,2,0.0
HHC,5,0.0
HNP,2,0.0
KHL,3,0.0
LAI,1,0.0
LBC,1,0.0
LCC,1,0.0
LCD,1,0.0
MCI,1,0.0
PMW,1,0.0
PND,3,0.0
POB,2,0.0
PVH,3,0.0
RCD,3,0.0
SPB,1,0.0
TET,1,0.0
THU,1,0.0
TPS,1,0.0
VDT,1,0.0
VGL,6,0.0
VPR,2,0.0
VTI,2,0.0
VVN,1,0.0
VXP,1,0.0
X26,1,0.0
XHC,1,0.0
YTC,1,0.0
SAF,6,0.04
SBM,4,0.08
GMA,16,0.12
VCW,5,0.18
OPC,15,0.26
QST,3,0.41
PMJ,3,0.44
MIE,2,0.5
GAB,16,0.67
SGB,16,0.75
CC4,9,0.76
UIC,16,0.76
BTD,15,0.78
BWS,14,0.79
MCP,3,0.8
KOS,16,0.81
MLS,16,0.81
PAC,16,0.81
SIP,16,0.81
VTH,6,0.82
GDT,16,0.83
DHT,16,0.86
L10,2,0.86
LIX,16,0.86
HPB,7,0.87
SAC,13,0.87
KDC,16,0.91
SCO,3,0.92
TV1,3,0.93
VSH,16,0.93
TIX,15,0.94
DHD,13,1.0
PXA,3,1.0
QSP,12,1.0
PMC,11,1.02
SBA,15,1.02
HTT,3,1.03
CLC,16,1.04
HLG,3,1.04
VNI,3,1.06
THD,16,1.08
PSN,2,1.09
SZE,16,1.1
CTB,10,1.11
SMB,16,1.11
VLF,3,1.11
TDF,2,1.14
HPP,16,1.15
DSP,4,1.17
ABI,16,1.18
PIV,3,1.2
SZB,16,1.21
THS,3,1.22
NSL,6,1.23
PPI,3,1.25
SCD,16,1.25
SBD,3,1.29
VGG,14,1.29
SJD,16,1.3
PVX,3,1.32
SKV,16,1.32
SAV,16,1.33
TCM,16,1.33
CAV,15,1.34
NNC,16,1.34
PVI,16,1.34
TYA,16,1.34
THI,15,1.36
PSB,16,1.37
CAP,15,1.38
HTV,16,1.38
SWC,16,1.38
IBC,16,1.39
MCF,15,1.39
MEC,3,1.39
SKH,16,1.39
PPS,16,1.42
VCS,16,1.42
HDO,3,1.43
NTB,3,1.43
GTA,16,1.45
DTC,15,1.46
GHC,16,1.46
HJS,11,1.46
