industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Basic Materials,382274496.0,382274496.0,25/11/2016 00:00:00,2733262646400.0,An Phat Bioplastics Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,AAA
Basic Materials,12374997.0,12374997.0,13/12/2011 00:00:00,125606219550.0,Ben Thanh Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,BRC
Basic Materials,112500000.0,112500000.0,16/06/2017 00:00:00,2733750000000.0,BaRia Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,BRR
Basic Materials,59564112.0,59564112.0,08/04/2010 00:00:00,225144843840.0,Dong A Plastic Group Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,DAG
Basic Materials,12000000.0,12000000.0,20/01/2021 00:00:00,282000000000.0,Dong Phu - Dak Nong Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,DPD
Basic Materials,43000000.0,43000000.0,30/11/2007 00:00:00,2322000000000.0,Dong Phu Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,DPR
Basic Materials,1658400.0,1658400.0,11/12/2019 00:00:00,1043860000000.0,Dak Lak Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,DRG
Basic Materials,73200000.0,73200000.0,23/05/2017 00:00:00,442420800000.0,DakLak Rubber Investment Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,DRI
Basic Materials,8151820.0,8151820.0,22/12/2006 00:00:00,90892793000.0,Do Thanh Technology Corporation,Chemicals,Commodity Chemicals,Chemicals,DTT
Basic Materials,2200000.0,2200000.0,01/06/2010 00:00:00,17600000000.0,Geru Star Sport Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,GER
Basic Materials,4000000000.0,4000000000.0,21/03/2018 00:00:00,57400000000000.0,Viet Nam Rubber Group - Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,GVR
Basic Materials,31589802.0,31589802.0,04/07/2016 00:00:00,183220851600.0,HCD Investment Producing And Trading Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,HCD
Basic Materials,73663016.0,73663016.0,22/06/2017 00:00:00,321170749760.0,An Tien Industries Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,HII
Basic Materials,5000000.0,5000000.0,20/12/2016 00:00:00,111500000000.0,Hanel Plastics Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,HNP
Basic Materials,30206622.0,30206622.0,26/12/2006 00:00:00,1661364210000.0,Hoa Binh Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,HRC
Basic Materials,17500000.0,17500000.0,22/01/2018 00:00:00,143500000000.0,Industrial Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,IRC
Basic Materials,8230067.0,8230067.0,04/07/2019 00:00:00,82300670000.0,Le Ninh Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,LNC
Basic Materials,72880000.0,72880000.0,08/09/2017 00:00:00,1042184000000.0,HaNoi Plastics Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,NHH
Basic Materials,81570988.0,81570988.0,31/03/2015 00:00:00,1835347230000.0,Ngoc Nghia Industry - Service - Trading Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,NNG
Basic Materials,8639208.0,8639208.0,19/05/2016 00:00:00,120948912000.0,Sai Gon Plastic Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,NSG
Basic Materials,20000000.0,20000000.0,28/07/2022 00:00:00,100000000000.0,Picomat Plastic Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,PCH
Basic Materials,8450940.0,8450940.0,04/07/2019 00:00:00,63382050000.0,Plastic Additives Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,PGN
Basic Materials,135499198.0,135499198.0,18/08/2009 00:00:00,5474167599200.0,Phuoc Hoa Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,PHR
Basic Materials,70000000.0,70000000.0,21/08/2017 00:00:00,285599375760.0,Pha Le Plastics Manufacturing and Technology Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,PLP
Basic Materials,10030308.0,10030308.0,18/02/2016 00:00:00,157468957200.0,Rubber Industry &amp; Import- Export Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,RBC
Basic Materials,49069803.0,49069803.0,22/09/2009 00:00:00,331221170250.0,Rang Dong Holding Joint-Stock Company,Chemicals,Commodity Chemicals,Chemicals,RDP
Basic Materials,87945000.0,87945000.0,07/11/2016 00:00:00,1996351500000.0,Tan Bien Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,RTB
Basic Materials,81396192.0,81396192.0,02/11/2020 00:00:00,903497731200.0,Song Be Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,SBR
Basic Materials,8400000.0,8400000.0,06/02/2017 00:00:00,103320000000.0,Quang Tri General Trading Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,SEP
Basic Materials,19250000.0,19250000.0,22/08/2007 00:00:00,1316700000000.0,Thong Nhat Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,TNC
Basic Materials,24430596.0,24430596.0,28/11/2007 00:00:00,157618692000.0,Tan Dai Hung Plastic Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,TPC
Basic Materials,30000000.0,30000000.0,24/07/2007 00:00:00,882487500000.0,Tay Ninh Rubber Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,TRC
Basic Materials,8000000.0,8000000.0,31/03/2008 00:00:00,4000000000.0,Viky Plastic Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,VKP
Basic Materials,19428913.0,19428913.0,18/08/2015 00:00:00,196445739343.0,Vietnam Plastic Corporation,Chemicals,Commodity Chemicals,Chemicals,VNP
Basic Materials,17081791.0,17081791.0,17/05/2021 00:00:00,468041073400.0,Viet Trung Quang Binh Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,VTQ
Basic Materials,23000000.0,23000000.0,25/11/2021 00:00:00,177100000000.0,Viet Thanh Plastic Trading and Manufacturing Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,VTZ
