industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Utilities,75052052.0,75052052.0,08/01/2018 00:00:00,2904514412400.0,A Vuong Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,AVC
Utilities,66000000.0,66000000.0,02/08/2017 00:00:00,990000000000.0,Bac Ha Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,BHA
Utilities,63019723.0,63019723.0,20/08/2018 00:00:00,1091443381938.0,Buon Don Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,BSA
Utilities,60485600.0,60485600.0,25/11/2009 00:00:00,816555600000.0,Ba Ria Thermal Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,BTP
Utilities,146912668.0,146912668.0,29/09/2016 00:00:00,3290843763200.0,Central Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,CHP
Utilities,6422258.0,6422258.0,23/12/2009 00:00:00,282579352000.0,Haiphong Electricity Water Machine Assembly Joint Stock Company,Electricity,Conventional Electricity,Utilities,DNC
Utilities,422400000.0,422400000.0,19/06/2017 00:00:00,17740800000000.0,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,DNH
Utilities,9500000.0,9500000.0,11/04/2012 00:00:00,621300000000.0,Hydro Power Joint Stock Company - Power No.3,Electricity,Conventional Electricity,Utilities,DRL
Utilities,50725887.0,50725887.0,31/12/2020 00:00:00,527549224800.0,Dai Truong Thanh Holdings Energy Investment Joint Stock Company,Electricity,Conventional Electricity,Utilities,DTE
Utilities,682767475.0,682767475.0,15/12/2016 00:00:00,6144907275000.0,Vinacomin - Power Holding Corporation,Electricity,Conventional Electricity,Utilities,DTK
Utilities,5280000.0,5280000.0,09/09/2010 00:00:00,224246400000.0,Tra Vinh Electric Development Joint Stock Corporation,Electricity,Conventional Electricity,Utilities,DTV
Utilities,262500.0,262500.0,07/05/2021 00:00:00,30861060052569.0,Power Generation Corporation 2,Electricity,Conventional Electricity,Utilities,GE2
Utilities,321936902.0,321936902.0,21/03/2017 00:00:00,4539310318200.0,Gia Lai Electricity Joint Stock Company,Electricity,Conventional Electricity,Utilities,GEG
Utilities,47662500.0,47662500.0,26/04/2011 00:00:00,1214821800000.0,Gia Lai Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,GHC
Utilities,28562000.0,28562000.0,08/04/2015 00:00:00,421632244000.0,Huong Son Hydro Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,GSM
Utilities,20999900.0,20999900.0,20/12/2006 00:00:00,732896510000.0,Nam Mu Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,HJS
Utilities,235232210.0,235232210.0,05/10/2017 00:00:00,4163610117000.0,Hua Na Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,HNA
Utilities,500000000.0,500000000.0,05/10/2016 00:00:00,6588500000000.0,Hai Phong Thermal power Joint Stock Company,Electricity,Conventional Electricity,Utilities,HND
Utilities,8306590.0,8306590.0,11/06/2015 00:00:00,146195984000.0,Dak Doa Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,HPD
Utilities,23608165.0,23608165.0,24/07/2017 00:00:00,80061210500.0,Ho Chi Minh City Electric Power Trading Investment Corporation,Electricity,Conventional Electricity,Utilities,HTE
Utilities,45000000.0,45000000.0,29/06/2015 00:00:00,833220000000.0,IDICO Srok Phu Mieng Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,ISH
Utilities,60405967.0,60405967.0,27/12/2006 00:00:00,453575945900.0,Khanh Hoa Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,KHP
Utilities,12865500.0,12865500.0,06/08/2009 00:00:00,182690100000.0,Ninh Binh Thermal Power Joint-Stock Company,Electricity,Conventional Electricity,Utilities,NBP
Utilities,49993960.0,49993960.0,22/07/2010 00:00:00,1649800680000.0,Northern Electricity Development and Investment Joint Stock Company No. 2,Electricity,Conventional Electricity,Utilities,ND2
Utilities,287876029.0,287876029.0,22/01/2010 00:00:00,8262042032300.0,PetroVietnam Power Nhon Trach 2 Joint Stock Company,Electricity,Conventional Electricity,Utilities,NT2
Utilities,10802053.0,10802053.0,19/06/2019 00:00:00,464488279000.0,Nuoc trong Thermal Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,NTH
Utilities,1123468046.0,1123468046.0,21/03/2018 00:00:00,21233546069400.0,Power Generation Joint Stock Corporation 3,Electricity,Conventional Electricity,Utilities,PGV
Utilities,33339891.0,33339891.0,05/08/2015 00:00:00,493430386800.0,PC3-Investment Joint Stock Company,Electricity,Conventional Electricity,Utilities,PIC
Utilities,2341871600.0,2341871600.0,06/03/2018 00:00:00,25643494020000.0,PetroVietnam Power Corporation,Electricity,Conventional Electricity,Utilities,POW
Utilities,326235000.0,326235000.0,26/01/2007 00:00:00,4087816438500.0,Pha Lai Thermal Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,PPC
Utilities,18583100.0,18583100.0,11/07/2014 00:00:00,483160600000.0,Que Phong Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,QPH
Utilities,450000000.0,450000000.0,16/03/2017 00:00:00,5985000000000.0,Quang Ninh Thermal Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,QTP
Utilities,42200000.0,42200000.0,27/05/2016 00:00:00,1493880000000.0,SeSan 4A HydroElectric Joint Stock Company,Electricity,Conventional Electricity,Utilities,S4A
Utilities,60488261.0,60488261.0,01/06/2010 00:00:00,1360985872500.0,Song Ba Joint Stock Company,Electricity,Conventional Electricity,Utilities,SBA
Utilities,124225000.0,124225000.0,07/06/2018 00:00:00,4602412025000.0,Song Ba Ha Hydro Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,SBH
Utilities,31999969.0,31999969.0,14/01/2009 00:00:00,1683198369400.0,Mien Trung Power Investment and Development Joint Stock Company,Electricity,Conventional Electricity,Utilities,SEB
Utilities,101206352.0,101206352.0,10/09/2010 00:00:00,2636425469600.0,Southern Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,SHP
Utilities,68998620.0,68998620.0,25/12/2006 00:00:00,1034979300000.0,Can Don Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,SJD
Utilities,20352836.0,20352836.0,19/10/2010 00:00:00,142469852000.0,Saigon Machinery Spare Parts Joint Stock Company,Electricity,Conventional Electricity,Utilities,SMA
Utilities,20746000.0,20746000.0,30/09/2016 00:00:00,307633291000.0,Su Pan 2 Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,SP2
Utilities,14820662.0,14820662.0,28/12/2017 00:00:00,88923972000.0,Song Vang HydroPower Joint Stock Company,Electricity,Conventional Electricity,Utilities,SVH
Utilities,63500000.0,63500000.0,19/10/2009 00:00:00,1847850000000.0,Thac Ba Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,TBC
Utilities,8230000.0,8230000.0,19/07/2017 00:00:00,292165000000.0,Dinh Binh Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,TDB
Utilities,70000000.0,70000000.0,18/06/2009 00:00:00,3591000000000.0,Thac Mo Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,TMP
Utilities,28490400.0,28490400.0,10/12/2018 00:00:00,340460280000.0,Truong Thinh Energy Investment Joint Stock Company,Electricity,Conventional Electricity,Utilities,TTE
Utilities,106589629.0,106589629.0,12/04/2016 00:00:00,2606116429050.0,Vietnam Power Development Joint Stock Company,Electricity,Conventional Electricity,Utilities,VPD
Utilities,236241246.0,236241246.0,18/07/2006 00:00:00,7666028432700.0,Vinh Son - Song Hinh Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,VSH
Utilities,15000000.0,15000000.0,16/08/2021 00:00:00,294000000000.0,Xuan Minh Hydro Power Joint Stock Company,Electricity,Conventional Electricity,Utilities,XMP
