industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Basic Materials,51000000.0,51000000.0,23/07/2015 00:00:00,40800000000.0,A Cuong Mineral Group Joint Stock Company,Mining,General Mining,Basic Resources,ACM
Basic Materials,2850000.0,2850000.0,15/02/2012 00:00:00,64125000000.0,Asia Mineral Joint Stock Company,Mining,General Mining,Basic Resources,AMC
Basic Materials,15220000.0,15220000.0,22/08/2016 00:00:00,48430040000.0,An Truong An Joint Stock Company,Mining,General Mining,Basic Resources,ATG
Basic Materials,11737728.0,11737728.0,18/08/2009 00:00:00,73947686400.0,Bac Kan Minerals Joint Stock Company,Mining,General Mining,Basic Resources,BKC
Basic Materials,12392630.0,12392630.0,28/12/2006 00:00:00,155527506500.0,Binh Dinh Minerals Joint Stock Company,Mining,General Mining,Basic Resources,BMC
Basic Materials,104999978.0,104999978.0,22/12/2009 00:00:00,1622249660100.0,Easterns AHP Minerals Joint Stock Company,Mining,General Mining,Basic Resources,BMJ
Basic Materials,31396180.0,31396180.0,24/07/2012 00:00:00,307682564000.0,Duong Hieu Trading and Mining Joint Stock Company,Mining,General Mining,Basic Resources,DHM
Basic Materials,12600000.0,12600000.0,21/12/2009 00:00:00,476828800000.0,Ha Giang Mineral and Mechanics Joint Stock Company,Mining,General Mining,Basic Resources,HGM
Basic Materials,3800000.0,3800000.0,18/01/2016 00:00:00,141360000000.0,Hoang Phuc Mineral Trading and Contruction Joint Stock Company,Mining,General Mining,Basic Resources,HPM
Basic Materials,8000000.0,8000000.0,01/12/2015 00:00:00,43200000000.0,Cao Bang Mineral and Metallurgical Joint Stock Company,Mining,General Mining,Basic Resources,KCB
Basic Materials,3262818.0,3262818.0,22/12/2016 00:00:00,25342307406.0,Hai Duong Mineral Eineal Processing Joint Stock Company,Mining,General Mining,Basic Resources,KHD
Basic Materials,76631202.0,76631202.0,20/01/2010 00:00:00,1342806115200.0,Binh Duong Mineral And Construction Joint Stock Company,Mining,General Mining,Basic Resources,KSB
Basic Materials,57509675.0,57509675.0,12/11/2008 00:00:00,46007740000.0,Damac GLS Joint Stock Company,Mining,General Mining,Basic Resources,KSH
Basic Materials,30000000.0,30000000.0,26/07/2013 00:00:00,60000000000.0,CNC Capital Viet Nam Joint Stock Company,Mining,General Mining,Basic Resources,KSQ
Basic Materials,200000000.0,200000000.0,28/07/2016 00:00:00,5500000000000.0,Vinacomin - Minerals Holding Corporation,Mining,General Mining,Basic Resources,KSV
Basic Materials,24633000.0,24633000.0,16/09/2011 00:00:00,59217272836.0,Lao Cai Mining and Mineral Processing Joint Stock Company,Mining,General Mining,Basic Resources,LCM
Basic Materials,1500000.0,1500000.0,21/09/2017 00:00:00,7950000000.0,Long Beach LMC Joint Stock Company,Mining,General Mining,Basic Resources,LMC
Basic Materials,10800000.0,10800000.0,09/06/2016 00:00:00,41040000000.0,Vinacomin - Mining Geology Joint Stock Comapny,Mining,General Mining,Basic Resources,MGC
Basic Materials,5544946.0,5544946.0,21/12/2007 00:00:00,70035686700.0,Quang Nam Mineral Industry Joint Stock Company,Mining,General Mining,Basic Resources,MIC
Basic Materials,3409860.0,3409860.0,16/08/2010 00:00:00,14321412000.0,Mineral and Mechanical Joint Stock Company,Mining,General Mining,Basic Resources,MIM
Basic Materials,1099155420.0,1099155420.0,17/09/2015 00:00:00,12385283272560.0,Masan High-Tech Materials Corporation,Mining,General Mining,Basic Resources,MSR
Basic Materials,110113591.0,110113591.0,21/10/2015 00:00:00,517533877700.0,Ha Tinh Minerals & Trading Joint Stock Corporation,Mining,General Mining,Basic Resources,MTA
Basic Materials,105000000.0,105000000.0,14/10/2016 00:00:00,2016000000000.0,Vinacomin - Viet Bac Mining Industry Holding Corporation,Mining,General Mining,Basic Resources,MVB
Basic Materials,16815000.0,16815000.0,26/09/2012 00:00:00,47082000000.0,Spiral Galaxy Joint Stock Company,Mining,General Mining,Basic Resources,SPI
Basic Materials,110000000.0,110000000.0,17/12/2009 00:00:00,1399500857000.0,Sai Gon - Quy Nhon Mining Corporation,Mining,General Mining,Basic Resources,SQC
Basic Materials,51000000.0,51000000.0,21/05/2010 00:00:00,172890000000.0,TNT Group Joint Stock Company,Mining,General Mining,Basic Resources,TNT
Basic Materials,8600000.0,8600000.0,24/03/2017 00:00:00,49020000000.0,Vinacomin - Viet Bac Geology Joint Stock Company,Mining,General Mining,Basic Resources,VBG
Basic Materials,1250000.0,1250000.0,24/01/2017 00:00:00,24625000000.0,Viglacera Mineral Joint Stock Company,Mining,General Mining,Basic Resources,VIM
Basic Materials,80198336.0,80198336.0,18/01/2018 00:00:00,1174905622400.0,Viet Phat Import Export Trading Investment Joint Stock Company,Mining,General Mining,Basic Resources,VPG
Basic Materials,14299880.0,14299880.0,21/08/2018 00:00:00,81509316000.0,Yen Bai Industry Mineral Joint Stock Company,Mining,General Mining,Basic Resources,YBM
