industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Industrials,4719950.0,4719950.0,30/10/2015 00:00:00,58055385000.0,DongThap Petroleum Transportation Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,DOP
Industrials,2016385.0,2016385.0,27/11/2007 00:00:00,34278545000.0,Hai Phong Cement Transport And Trading Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,HCT
Industrials,13199847.0,13199847.0,28/07/2010 00:00:00,163165116900.0,Hai Minh Corporation,Industrial Transportation,Trucking,Industrial Goods & Services,HMH
Industrials,41406964.0,41406964.0,21/03/2005 00:00:00,158588212520.0,MHC Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,MHC
Industrials,23000000.0,23000000.0,12/09/2011 00:00:00,129719511200.0,Vietnam Gas and Chemicals Transportation Corporation,Industrial Transportation,Trucking,Industrial Goods & Services,PCT
Industrials,1200000.0,1200000.0,29/11/2010 00:00:00,37800000000.0,Portserco Logistics Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PRC
Industrials,7200000.0,7200000.0,29/12/2006 00:00:00,105120000000.0,Petrolimex Saigon Transportation And Service Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PSC
Industrials,40000000.0,40000000.0,10/11/2009 00:00:00,283960000000.0,Dinh Vu Petroleum Service Port Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PSP
Industrials,5568000.0,5568000.0,01/12/2006 00:00:00,54566400000.0,Hai Phong Petrolimex Transportation and Services Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PTS
Industrials,10000000.0,10000000.0,29/04/2010 00:00:00,113960000000.0,Indochina Petroleum Transportation Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PTT
Industrials,5847685.0,5847685.0,30/07/2018 00:00:00,2923842500.0,Petrolimex Nghe Tinh Transportation and Service Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PTX
Industrials,94275028.0,94275028.0,20/12/2016 00:00:00,949066706876.0,Pacific Petroleum Transportation Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,PVP
Industrials,5921841.0,5921841.0,15/08/2016 00:00:00,58626225900.0,Railway Transport and Trade Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,RAT
Industrials,2768221.0,2768221.0,30/03/2010 00:00:00,66136593700.0,Saigon Transport Agency Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,STS
Industrials,30158436.0,30158436.0,24/12/2009 00:00:00,922848141600.0,Tan Cang Logistics and Stevedoring Join Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,TCL
Industrials,18711000.0,18711000.0,27/02/2012 00:00:00,125176590000.0,Duyen Hai Multi Modal Transport Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,TCO
Industrials,8600000.0,8600000.0,17/12/2007 00:00:00,189200000000.0,Transport and Trading service Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,TJC
Industrials,5495000.0,5495000.0,17/07/2017 00:00:00,67588500000.0,Transimex Logistics Corporation,Industrial Transportation,Trucking,Industrial Goods & Services,TOT
Industrials,14212130.0,14212130.0,18/09/2015 00:00:00,51125289300.0,VIMC Logistics Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,VLG
Industrials,31679480.0,31679480.0,01/12/2010 00:00:00,294813534000.0,Vinafreight Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,VNF
Industrials,9427000.0,9427000.0,17/08/2009 00:00:00,197495650000.0,Vinalink Logistics Corporation,Industrial Transportation,Trucking,Industrial Goods & Services,VNL
Industrials,11949005.0,11949005.0,14/08/2009 00:00:00,834931071000.0,Foreign Trade Forwarding and Transportation Joint Stock Company,Industrial Transportation,Trucking,Industrial Goods & Services,VNT
Industrials,14096486.0,14096486.0,22/12/2015 00:00:00,284749017200.0,Vietnam Ocean Shipping Agency Corporation,Industrial Transportation,Trucking,Industrial Goods & Services,VSA
Industrials,20972321.0,20972321.0,15/05/2014 00:00:00,413154723700.0,VIETRANSTIMEX Multimodal Transport Holding Company,Industrial Transportation,Trucking,Industrial Goods & Services,VTX
