industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Consumer Goods,2000000.0,2000000.0,05/01/2018 00:00:00,15200000000.0,Ha Noi - Nam Dinh Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BBM
Consumer Goods,3986000.0,3986000.0,05/04/2018 00:00:00,48629200000.0,Ha Noi - Kim Bai Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BHK
Consumer Goods,231800000.0,231800000.0,28/10/2016 00:00:00,10778700000000.0,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,Beverages,Brewers,Food & Beverage,BHN
Consumer Goods,9179290.0,9179290.0,21/01/2013 00:00:00,65172959000.0,Ha Noi - Hai Phong Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BHP
Consumer Goods,5800000.0,5800000.0,09/01/2018 00:00:00,19140000000.0,Hanoi - Quang Binh Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BQB
Consumer Goods,3000000.0,3000000.0,28/04/2017 00:00:00,60900000000.0,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Beverages,Brewers,Food & Beverage,BSD
Consumer Goods,18000000.0,18000000.0,04/07/2018 00:00:00,770400000000.0,Sai Gon - Ha Noi Beer Corporation,Beverages,Brewers,Food & Beverage,BSH
Consumer Goods,45000000.0,45000000.0,16/06/2017 00:00:00,472500000000.0,Sai Gon - Song Lam Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BSL
Consumer Goods,12500000.0,12500000.0,10/08/2016 00:00:00,210000000000.0,Sai Gon - Phu Tho Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BSP
Consumer Goods,45000000.0,45000000.0,28/02/2017 00:00:00,1260000000000.0,Sai Gon - Quang Ngai Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BSQ
Consumer Goods,7691226.0,7691226.0,12/01/2017 00:00:00,50762091600.0,Ha Noi - Thai Binh Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,BTB
Consumer Goods,5997040.0,5997040.0,09/05/2016 00:00:00,44977800000.0,Foodstuff Combinatorial Joint Stock Company,Beverages,Brewers,Food & Beverage,FCC
Consumer Goods,4000000.0,4000000.0,27/10/2009 00:00:00,60000000000.0,Hanoi - Haiduong Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,HAD
Consumer Goods,3123000.0,3123000.0,29/10/2010 00:00:00,69955200000.0,Hanoi Beer Trading Joint Stock Company,Beverages,Brewers,Food & Beverage,HAT
Consumer Goods,16000000.0,16000000.0,10/08/2017 00:00:00,118400000000.0,HABECO - Hai Phong Joint Stock Company,Beverages,Brewers,Food & Beverage,HBH
Consumer Goods,3090000.0,3090000.0,08/02/2017 00:00:00,714099000000.0,Halong Beer and Beverage Joint Stock Company,Beverages,Brewers,Food & Beverage,HLB
Consumer Goods,641281186.0,641281186.0,06/12/2016 00:00:00,112224207550000.0,Saigon Beer - Alcohol - Beverage Corporation,Beverages,Brewers,Food & Beverage,SAB
Consumer Goods,10500000.0,10500000.0,26/12/2016 00:00:00,70350000000.0,Sai Gon - Nghe Tinh Beer Joint Stock Company ,Beverages,Brewers,Food & Beverage,SB1
Consumer Goods,12012000.0,12012000.0,23/01/2017 00:00:00,128528400000.0,Sai Gon - Bac Lieu Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,SBL
Consumer Goods,29846648.0,29846648.0,08/09/2010 00:00:00,1298329188000.0,Sai Gon - Mien Trung Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,SMB
Consumer Goods,11424570.0,11424570.0,19/11/2008 00:00:00,143949582000.0,Ha Noi - Thanh Hoa Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,THB
Consumer Goods,14500000.0,14500000.0,10/08/2010 00:00:00,652036000000.0,Western - Sai Gon Beer Joint Stock Company,Beverages,Brewers,Food & Beverage,WSB
