"id","title","firstName","lastName","name","partyShort","stateAbbreviation","leadershipRole"
"A000219","Senator, 2nd Class","William","Armstrong","William Armstrong","R","CO",""
"B000063","Senator, 2nd Class","Howard","Baker","Howard Baker","R","TN",""
"B000243","Senator, 2nd Class","Max","Baucus","Max Baucus","D","MT",""
"B000254","Senator, 3rd Class","Birch","Bayh","Birch Bayh","D","IN",""
"B000351","Senator, 3rd Class","Henry","Bellmon","Henry Bellmon","R","OK",""
"B000401","Senator, 1st Class","Lloyd","Bentsen","Lloyd Bentsen","D","TX",""
"B000444","Senator, 2nd Class","Joseph","Biden","Joseph Biden","D","DE",""
"B000639","Senator, 2nd Class","David","Boren","David Boren","D","OK",""
"B000647","Senator, 2nd Class","Rudolph","Boschwitz","Rudolph Boschwitz","R","MN",""
"B001057","Senator, 3rd Class","Dale","Bumpers","Dale Bumpers","D","AR",""
"B001077","Senator, 1st Class","Quentin","Burdick","Quentin Burdick","D","ND",""
"B001209","Senator, 1st Class","Harry","Byrd","Harry Byrd","I","VA",""
"B001210","Senator, 1st Class","Robert","Byrd","Robert Byrd","D","WV",""
"B001225","Senator, 2nd Class","William","Bradley","William Bradley","D","NJ",""
"C000120","Senator, 1st Class","Howard","Cannon","Howard Cannon","D","NV",""
"C000269","Senator, 1st Class","John","Chafee","John Chafee","R","RI",""
"C000356","Senator, 1st Class","Lawton","Chiles","Lawton Chiles","D","FL",""
"C000388","Senator, 3rd Class","Frank","Church","Frank Church","D","ID",""
"C000567","Senator, 2nd Class","Thad","Cochran","Thad Cochran","R","MS",""
"C000598","Senator, 2nd Class","William","Cohen","William Cohen","R","ME",""
"C000877","Senator, 3rd Class","Alan","Cranston","Alan Cranston","D","CA",""
"C000979","Senator, 3rd Class","John","Culver","John Culver","D","IA",""
"D000030","Senator, 1st Class","John","Danforth","John Danforth","R","MO",""
"D000185","Senator, 1st Class","Dennis","DeConcini","Dennis DeConcini","D","AZ",""
"D000401","Senator, 3rd Class","Robert","Dole","Robert Dole","R","KS",""
"D000407","Senator, 2nd Class","Pete","Domenici","Pete Domenici","R","NM",""
"D000566","Senator, 1st Class","David","Durenberger","David Durenberger","R","MN",""
"D000574","Senator, 3rd Class","John","Durkin","John Durkin","D","NH",""
"E000004","Senator, 3rd Class","Thomas","Eagleton","Thomas Eagleton","D","MO",""
"E000284","Senator, 2nd Class","J. James","Exon","J. James Exon","D","NE",""
"F000268","Senator, 3rd Class","Wendell","Ford","Wendell Ford","D","KY",""
"G000072","Senator, 3rd Class","Edwin","Garn","Edwin Garn","R","UT",""
"G000236","Senator, 3rd Class","John","Glenn","John Glenn","D","OH",""
"G000267","Senator, 3rd Class","Barry","Goldwater","Barry Goldwater","R","AZ",""
"G000388","Senator, 3rd Class","Maurice","Gravel","Maurice Gravel","D","AK",""
"H000287","Senator, 3rd Class","Gary","Hart","Gary Hart","D","CO",""
"H000338","Senator, 1st Class","Orrin","Hatch","Orrin Hatch","R","UT",""
"H000343","Senator, 2nd Class","Mark","Hatfield","Mark Hatfield","R","OR",""
"H000374","Senator, 3rd Class","Paula","Hawkins","Paula Hawkins","R","FL",""
"H000384","Senator, 1st Class","Samuel","Hayakawa","Samuel Hayakawa","R","CA",""
"H000445","Senator, 2nd Class","Howell","Heflin","Howell Heflin","D","AL",""
"H000456","Senator, 1st Class","Henry","Heinz","Henry Heinz","R","PA",""
"H000463","Senator, 2nd Class","Jesse","Helms","Jesse Helms","R","NC",""
"H000725","Senator, 3rd Class","Ernest","Hollings","Ernest Hollings","D","SC",""
"H000905","Senator, 2nd Class","Walter","Huddleston","Walter Huddleston","D","KY",""
"H000951","Senator, 2nd Class","Gordon","Humphrey","Gordon Humphrey","R","NH",""
"I000025","Senator, 3rd Class","Daniel","Inouye","Daniel Inouye","D","HI",""
"J000013","Senator, 1st Class","Henry","Jackson","Henry Jackson","D","WA",""
"J000064","Senator, 3rd Class","Jacob","Javits","Jacob Javits","R","NY",""
"J000101","Senator, 2nd Class","Roger","Jepsen","Roger Jepsen","R","IA",""
"J000189","Senator, 2nd Class","John","Johnston","John Johnston","D","LA",""
"K000017","Senator, 2nd Class","Nancy","Kassebaum","Nancy Kassebaum","R","KS",""
"K000105","Senator, 1st Class","Edward","Kennedy","Edward Kennedy","D","MA",""
"L000148","Senator, 3rd Class","Paul","Laxalt","Paul Laxalt","R","NV",""
"L000174","Senator, 3rd Class","Patrick","Leahy","Patrick Leahy","D","VT",""
"L000261","Senator, 2nd Class","Carl","Levin","Carl Levin","D","MI",""
