"id","title","firstName","lastName","name","stateAbbreviation","partyShort","leadershipRole"
"A000062","Senator, 3rd Class","George","Aiken","George Aiken","VT","R",""
"A000127","Senator, 3rd Class","James","Allen","James Allen","AL","D",""
"A000161","Senator, 2nd Class","Gordon","Allott","Gordon Allott","CO","R",""
"A000186","Senator, 2nd Class","Clinton","Anderson","Clinton Anderson","NM","D",""
"B000063","Senator, 2nd Class","Howard","Baker","Howard Baker","TN","R",""
"B000254","Senator, 3rd Class","Birch","Bayh","Birch Bayh","IN","D",""
"B000351","Senator, 3rd Class","Henry","Bellmon","Henry Bellmon","OK","R",""
"B000384","Senator, 3rd Class","Wallace","Bennett","Wallace Bennett","UT","R",""
"B000436","Senator, 3rd Class","Alan","Bible","Alan Bible","NV","D",""
"B000593","Senator, 2nd Class","James","Boggs","James Boggs","DE","R",""
"B000871","Senator, 2nd Class","Edward","Brooke","Edward Brooke","MA","R",""
"B001077","Senator, 1st Class","Quentin","Burdick","Quentin Burdick","ND","D",""
"B001209","Senator, 1st Class","Harry","Byrd","Harry Byrd","VA","D",""
"B001210","Senator, 1st Class","Robert","Byrd","Robert Byrd","WV","D",""
"C000120","Senator, 1st Class","Howard","Cannon","Howard Cannon","NV","D",""
"C000220","Senator, 2nd Class","Clifford","Case","Clifford Case","NJ","R",""
"C000388","Senator, 3rd Class","Frank","Church","Frank Church","ID","D",""
"C000721","Senator, 3rd Class","Marlow","Cook","Marlow Cook","KY","R",""
"C000758","Senator, 2nd Class","John","Cooper","John Cooper","KY","R",""
"C000802","Senator, 3rd Class","Norris","Cotton","Norris Cotton","NH","R",""
"C000877","Senator, 3rd Class","Alan","Cranston","Alan Cranston","CA","D",""
"C001006","Senator, 2nd Class","Carl","Curtis","Carl Curtis","NE","R",""
"D000360","Senator, 3rd Class","Everett","Dirksen","Everett Dirksen","IL","R",""
"D000390","Senator, 1st Class","Thomas","Dodd","Thomas Dodd","CT","D",""
"D000401","Senator, 3rd Class","Robert","Dole","Robert Dole","KS","R",""
"D000409","Senator, 3rd Class","Peter","Dominick","Peter Dominick","CO","R",""
"E000004","Senator, 3rd Class","Thomas","Eagleton","Thomas Eagleton","MO","D",""
"E000018","Senator, 2nd Class","James","Eastland","James Eastland","MS","D",""
"E000112","Senator, 2nd Class","Allen","Ellender","Allen Ellender","LA","D",""
"E000210","Senator, 3rd Class","Joseph","Ervin","Joseph Ervin","NC","D",""
"F000013","Senator, 1st Class","Paul","Fannin","Paul Fannin","AZ","R",""
"F000245","Senator, 1st Class","Hiram","Fong","Hiram Fong","HI","R",""
"F000401","Senator, 3rd Class","James","Fulbright","James Fulbright","AR","D",""
"G000267","Senator, 3rd Class","Barry","Goldwater","Barry Goldwater","AZ","R",""
"G000282","Senator, 1st Class","Charles","Goodell","Charles Goodell","NY","R",""
"G000320","Senator, 1st Class","Albert","Gore","Albert Gore","TN","D",""
"G000388","Senator, 3rd Class","Maurice","Gravel","Maurice Gravel","AK","D",""
"G000465","Senator, 2nd Class","Robert","Griffin","Robert Griffin","MI","R",""
"G000531","Senator, 3rd Class","Edward","Gurney","Edward Gurney","FL","R",""
"H000170","Senator, 2nd Class","Clifford","Hansen","Clifford Hansen","WY","R",""
"H000237","Senator, 2nd Class","Fred","Harris","Fred Harris","OK","D",""
"H000291","Senator, 1st Class","Philip","Hart","Philip Hart","MI","D",""
"H000297","Senator, 1st Class","Rupert","Hartke","Rupert Hartke","IN","D",""
"H000343","Senator, 2nd Class","Mark","Hatfield","Mark Hatfield","OR","R",""
"H000720","Senator, 1st Class","Spessard","Holland","Spessard Holland","FL","D",""
"H000725","Senator, 3rd Class","Ernest","Hollings","Ernest Hollings","SC","D",""
"H000875","Senator, 1st Class","Roman","Hruska","Roman Hruska","NE","R",""
"H000922","Senator, 3rd Class","Harold","Hughes","Harold Hughes","IA","D",""
"I000025","Senator, 3rd Class","Daniel","Inouye","Daniel Inouye","HI","D",""
"J000013","Senator, 1st Class","Henry","Jackson","Henry Jackson","WA","D",""
"J000064","Senator, 3rd Class","Jacob","Javits","Jacob Javits","NY","R",""
"J000267","Senator, 2nd Class","Benjamin","Jordan","Benjamin Jordan","NC","D",""
"J000269","Senator, 2nd Class","Leonard","Jordan","Leonard Jordan","ID","R",""
"K000105","Senator, 1st Class","Edward","Kennedy","Edward Kennedy","MA","D",""
"L000428","Senator, 3rd Class","Russell","Long","Russell Long","LA","D",""
"M000053","Senator, 3rd Class","Warren","Magnuson","Warren Magnuson","WA","D",""
"M000113","Senator, 1st Class","Michael","Mansfield","Michael Mansfield","MT","D",""
"M000241","Senator, 3rd Class","Charles","Mathias","Charles Mathias","MD","R",""
"M000311","Senator, 1st Class","Eugene","McCarthy","Eugene McCarthy","MN","I",""
"M000332","Senator, 2nd Class","John","McClellan","John McClellan","AR","D",""
"M000445","Senator, 1st Class","Gale","McGee","Gale McGee","WY","D",""
"M000452","Senator, 3rd Class","George","McGovern","George McGovern","SD","D",""
"M000486","Senator, 2nd Class","Thomas","McIntyre","Thomas McIntyre","NH","D",""
"M000671","Senator, 2nd Class","Lee","Metcalf","Lee Metcalf","MT","D",""
"M000730","Senator, 2nd Class","Jack","Miller","Jack Miller","IA","R",""
"M000851","Senator, 2nd Class","Walter","Mondale","Walter Mondale","MN","I",""
"M000876","Senator, 1st Class","Joseph","Montoya","Joseph Montoya","NM","D",""
"M001033","Senator, 1st Class","Frank","Moss","Frank Moss","UT","D",""
"M001078","Senator, 2nd Class","Karl","Mundt","Karl Mundt","SD","R",""
"M001092","Senator, 1st Class","George","Murphy","George Murphy","CA","R",""
"M001121","Senator, 1st Class","Edmund","Muskie","Edmund Muskie","ME","D",""
"N000033","Senator, 3rd Class","Gaylord","Nelson","Gaylord Nelson","WI","D",""
"P000009","Senator, 3rd Class","Robert","Packwood","Robert Packwood","OR","R",""
"P000100","Senator, 1st Class","John","Pastore","John Pastore","RI","D",""
"P000166","Senator, 2nd Class","James","Pearson","James Pearson","KS","R",""
"P000193","Senator, 2nd Class","Claiborne","Pell","Claiborne Pell","RI","D",""
"P000222","Senator, 2nd Class","Charles","Percy","Charles Percy","IL","R",""
"P000552","Senator, 1st Class","Winston","Prouty","Winston Prouty","VT","R",""
"P000553","Senator, 1st Class","William","Proxmire","William Proxmire","WI","D",""
"R000046","Senator, 2nd Class","Jennings","Randolph","Jennings Randolph","WV","D",""
"R000191","Senator, 3rd Class","Abraham","Ribicoff","Abraham Ribicoff","CT","D",""
"R000460","Senator, 1st Class","William","Roth","William Roth","DE","R",""
"R000536","Senator, 2nd Class","Richard","Russell","Richard Russell","GA","D",""
"S000096","Senator, 3rd Class","William","Saxbe","William Saxbe","OH","R",""
"S000159","Senator, 3rd Class","Richard","Schweiker","Richard Schweiker","PA","R",""
"S000174","Senator, 1st Class","Hugh","Scott","Hugh Scott","PA","R",""
"S000590","Senator, 2nd Class","Margaret","Smith","Margaret Smith","ME","R",""
"S000602","Senator, 3rd Class","Ralph","Smith","Ralph Smith","IL","R",""
"S000701","Senator, 2nd Class","John","Sparkman","John Sparkman","AL","D",""
"S000739","Senator, 2nd Class","William","Spong","William Spong","VA","D",""
"S000852","Senator, 1st Class","John","Stennis","John Stennis","MS","D",""
"S000888","Senator, 2nd Class","Ted","Stevens","Ted Stevens","AK","R",""
"S000890","Senator, 3rd Class","Adlai","Stevenson","Adlai Stevenson","IL","D",""
"S001136","Senator, 1st Class","William","Symington","William Symington","MO","D",""
"T000035","Senator, 3rd Class","Herman","Talmadge","Herman Talmadge","GA","D",""
"T000254","Senator, 2nd Class","Strom","Thurmond","Strom Thurmond","SC","R",""
"T000322","Senator, 2nd Class","John","Tower","John Tower","TX","R",""
"T000410","Senator, 1st Class","John","Tunney","John Tunney","CA","D",""
"T000445","Senator, 1st Class","Joseph","Tydings","Joseph Tydings","MD","D",""
"W000502","Senator, 1st Class","Harrison","Williams","Harrison Williams","NJ","D",""
"W000518","Senator, 1st Class","John","Williams","John Williams","DE","R",""
"Y000006","Senator, 1st Class","Ralph","Yarborough","Ralph Yarborough","TX","D",""
"Y000047","Senator, 3rd Class","Milton","Young","Milton Young","ND","R",""
"Y000053","Senator, 1st Class","Stephen","Young","Stephen Young","OH","D",""
