"id","title","firstName","lastName","name","partyShort","stateAbbreviation","leadershipRole"
"A000062","Senator, 3rd Class","George","Aiken","George Aiken","R","VT",""
"A000161","Senator, 2nd Class","Gordon","Allott","Gordon Allott","R","CO",""
"A000186","Senator, 2nd Class","Clinton","Anderson","Clinton Anderson","D","NM",""
"B000201","Senator, 2nd Class","Edward","Bartlett","Edward Bartlett","D","AK",""
"B000223","Senator, 2nd Class","Ross","Bass","Ross Bass","D","TN",""
"B000254","Senator, 3rd Class","Birch","Bayh","Birch Bayh","D","IN",""
"B000271","Senator, 1st Class","James","Beall","James Beall","R","MD",""
"B000384","Senator, 3rd Class","Wallace","Bennett","Wallace Bennett","R","UT",""
"B000436","Senator, 3rd Class","Alan","Bible","Alan Bible","D","NV",""
"B000593","Senator, 2nd Class","James","Boggs","James Boggs","R","DE",""
"B000813","Senator, 3rd Class","Daniel","Brewster","Daniel Brewster","D","MD",""
"B001077","Senator, 1st Class","Quentin","Burdick","Quentin Burdick","D","ND",""
"B001208","Senator, 1st Class","Harry","Byrd","Harry Byrd","D","VA",""
"B001210","Senator, 1st Class","Robert","Byrd","Robert Byrd","D","WV",""
"C000120","Senator, 1st Class","Howard","Cannon","Howard Cannon","D","NV",""
"C000154","Senator, 3rd Class","Frank","Carlson","Frank Carlson","R","KS",""
"C000220","Senator, 2nd Class","Clifford","Case","Clifford Case","R","NJ",""
"C000388","Senator, 3rd Class","Frank","Church","Frank Church","D","ID",""
"C000444","Senator, 3rd Class","Joseph","Clark","Joseph Clark","D","PA",""
"C000758","Senator, 2nd Class","John","Cooper","John Cooper","R","KY",""
"C000802","Senator, 3rd Class","Norris","Cotton","Norris Cotton","R","NH",""
"C001006","Senator, 2nd Class","Carl","Curtis","Carl Curtis","R","NE",""
"D000360","Senator, 3rd Class","Everett","Dirksen","Everett Dirksen","R","IL",""
"D000390","Senator, 1st Class","Thomas","Dodd","Thomas Dodd","D","CT",""
"D000409","Senator, 3rd Class","Peter","Dominick","Peter Dominick","R","CO",""
"D000456","Senator, 2nd Class","Paul","Douglas","Paul Douglas","D","IL",""
"E000018","Senator, 2nd Class","James","Eastland","James Eastland","D","MS",""
"E000055","Senator, 2nd Class","James","Edmondson","James Edmondson","D","OK",""
"E000112","Senator, 2nd Class","Allen","Ellender","Allen Ellender","D","LA",""
"E000181","Senator, 1st Class","Clair","Engle","Clair Engle","D","CA",""
"E000210","Senator, 3rd Class","Joseph","Ervin","Joseph Ervin","D","NC",""
"F000245","Senator, 1st Class","Hiram","Fong","Hiram Fong","R","HI",""
"F000401","Senator, 3rd Class","James","Fulbright","James Fulbright","D","AR",""
"G000267","Senator, 1st Class","Barry","Goldwater","Barry Goldwater","R","AZ",""
"G000320","Senator, 1st Class","Albert","Gore","Albert Gore","D","TN",""
"G000508","Senator, 3rd Class","Ernest","Gruening","Ernest Gruening","D","AK",""
"H000237","Senator, 2nd Class","Fred","Harris","Fred Harris","D","OK",""
"H000291","Senator, 1st Class","Philip","Hart","Philip Hart","D","MI",""
"H000297","Senator, 1st Class","Rupert","Hartke","Rupert Hartke","D","IN",""
"H000385","Senator, 3rd Class","Carl","Hayden","Carl Hayden","D","AZ",""
"H000559","Senator, 3rd Class","Bourke","Hickenlooper","Bourke Hickenlooper","R","IA",""
"H000598","Senator, 3rd Class","Joseph","Hill","Joseph Hill","D","AL",""
"H000720","Senator, 1st Class","Spessard","Holland","Spessard Holland","D","FL",""
"H000875","Senator, 1st Class","Roman","Hruska","Roman Hruska","R","NE",""
