symbol,percentage,number_of_dates
AGE,-1,0
ARM,-1,0
AUM,-1,0
BCB,-1,0
BCV,-1,0
BED,-1,0
BHG,-1,0
BLW,-1,0
BMD,-1,0
BNW,-1,0
CAB,-1,0
CAR,-1,0
CDG,-1,0
CDH,-1,0
CFV,-1,0
CH5,-1,0
CMK,-1,0
CMP,-1,0
CNA,-1,0
CPH,-1,0
CVP,-1,0
DBW,-1,0
DDH,-1,0
DM7,-1,0
DNN,-1,0
DPD,-1,0
DSD,-1,0
DTH,-1,0
DVM,-1,0
DVW,-1,0
EMG,-1,0
FBA,-1,0
FBC,-1,0
FCS,-1,0
FGL,-1,0
FHN,-1,0
FSO,-1,0
GH3,-1,0
GLC,-1,0
GLW,-1,0
HGT,-1,0
HHN,-1,0
HHR,-1,0
HNR,-1,0
HTR,-1,0
HTW,-1,0
IBN,-1,0
IN4,-1,0
KHW,-1,0
LCW,-1,0
LDW,-1,0
LNC,-1,0
LQN,-1,0
LSG,-1,0
LYF,-1,0
MBN,-1,0
MDA,-1,0
MEF,-1,0
MES,-1,0
MGR,-1,0
MLC,-1,0
MPY,-1,0
MQB,-1,0
NAC,-1,0
NDW,-1,0
NLS,-1,0
NQB,-1,0
NQT,-1,0
NSS,-1,0
NWT,-1,0
PAT,-1,0
PCH,-1,0
PPT,-1,0
PQN,-1,0
PTG,-1,0
PTN,-1,0
PTX,-1,0
PX1,-1,0
PXC,-1,0
QNU,-1,0
QNW,-1,0
RBC,-1,0
SCV,-1,0
SCY,-1,0
SHX,-1,0
SSF,-1,0
STS,-1,0
STW,-1,0
SVH,-1,0
TAN,-1,0
TAW,-1,0
TB8,-1,0
TBR,-1,0
TBX,-1,0
TCJ,-1,0
TCK,-1,0
TED,-1,0
THN,-1,0
TKA,-1,0
TQN,-1,0
TQW,-1,0
TVH,-1,0
UMC,-1,0
UPC,-1,0
VBG,-1,0
VCE,-1,0
VDB,-1,0
VHF,-1,0
VKP,-1,0
VLP,-1,0
VMA,-1,0
VTM,-1,0
VVS,-1,0
VXT,-1,0
X77,-1,0
BEL,0.0,1
BMV,0.0,1
CE1,0.0,12
CEG,0.0,3
CHC,0.0,2
DCG,0.0,1
DKC,0.0,1
DNA,0.0,12
DUS,0.0,1
EPC,0.0,3
FCC,0.0,2
FTI,0.0,2
HKP,0.0,1
HLT,0.0,1
IME,0.0,1
IRC,0.0,1
KLM,0.0,2
LAW,0.0,1
MCI,0.0,1
MND,0.0,3
MTB,0.0,1
NTF,0.0,2
NVP,0.0,1
PRC,0.0,1
SAL,0.0,3
SEP,0.0,1
SPH,0.0,1
TAG,0.0,1
TET,0.0,2
THU,0.0,2
TMW,0.0,1
TPS,0.0,1
UDL,0.0,1
VPR,0.0,2
VPW,0.0,1
VXP,0.0,1
XDH,0.0,2
UEM,0.09,3
GMA,0.14,58
DOC,0.51,18
HC1,0.51,2
SMB,0.91,58
AMP,1.52,2
HHC,1.53,15
PMC,1.58,38
DNL,1.61,7
HNP,1.71,9
L10,1.89,11
DNT,2.02,7
TEL,2.06,9
HLR,2.12,3
CHP,2.22,58
SCD,2.29,57
CAV,2.37,54
VTB,2.4,58
TCW,2.43,58
BAB,2.47,58
UIC,2.47,58
DHT,2.53,58
DRL,2.56,46
VSH,2.59,58
SBA,2.65,57
ADG,2.69,58
IBC,2.69,58
DHN,2.72,20
NCT,2.76,58
KDC,2.78,58
SZE,2.8,58
CLC,2.82,58
HPB,2.83,22
NTW,2.83,45
PPC,2.9,58
ILB,2.92,58
STH,2.92,58
BDG,2.99,40
MCH,2.99,58
NSL,3.11,22
OPC,3.13,56
BWS,3.15,47
SJD,3.21,58
HRC,3.22,33
VGG,3.27,56
SIP,3.36,58
VTQ,3.39,2
VPS,3.43,58
MWG,3.46,58
TCB,3.46,58
TV1,3.46,11
BLI,3.48,56
HC3,3.52,48
HND,3.52,58
CHS,3.54,58
FT1,3.58,42
GDT,3.58,58
SGB,3.59,58
VTE,3.6,58
XMP,3.6,47
MCM,3.63,58
SKH,3.63,58
ACB,3.64,58
SB1,3.67,39
VDP,3.67,56
CAP,3.68,53
EID,3.72,58
NHT,3.75,57
MQN,3.77,46
PAC,3.77,58
DSN,3.8,58
IMP,3.81,57
DLT,3.82,6
SBV,3.85,58
KKC,3.89,41
TIX,3.91,56
BSA,3.94,57
IBD,3.99,2
TN1,3.99,58
DNW,4.01,58
THI,4.02,56
UDJ,4.02,58
GIC,4.03,58
ACG,4.04,58
TCL,4.08,58
SHN,4.09,58
STG,4.09,58
VCS,4.09,58
TBC,4.1,57
VSM,4.1,30
HAD,4.12,56
D2D,4.15,58
DPP,4.15,22
TYA,4.16,58
HPP,4.22,58
CPC,4.23,44
GMX,4.28,58
NET,4.29,55
PPS,4.3,58
SJ1,4.3,48
TV4,4.35,58
HTI,4.41,58
HTV,4.43,58
ATB,4.44,11
SPD,4.46,11
TKG,4.49,58
DVP,4.54,58
OCB,4.58,58
HNA,4.7,57
RCD,4.71,11
PSB,4.73,58
SWC,4.73,58
DMC,4.75,58
V15,4.76,11
DHP,4.78,37
DAD,4.81,49
TLT,4.81,31
SMN,4.82,51
CDC,4.84,56
FOX,4.84,58
SFC,4.89,49
NXT,4.91,49
BSC,4.93,9
SCS,4.94,58
VAB,4.94,58
PDN,4.97,39
HCI,4.99,3
CTN,5.0,11
MED,5.01,49
VID,5.01,58
SGI,5.03,58
VEA,5.05,58
MSB,5.08,58
BTP,5.09,58
QNS,5.09,58
NVL,5.1,58
