symbol,percentage,number_of_dates
AAS,-1,0
AAT,-1,0
ABB,-1,0
ACG,-1,0
AG1,-1,0
AGE,-1,0
AIC,-1,0
APH,-1,0
APL,-1,0
ASG,-1,0
ATS,-1,0
AUM,-1,0
BAF,-1,0
BBH,-1,0
BCA,-1,0
BCB,-1,0
BCV,-1,0
BHC,-1,0
BHG,-1,0
BHT,-1,0
BIG,-1,0
BIO,-1,0
BKG,-1,0
BLW,-1,0
BMJ,-1,0
BMN,-1,0
BNA,-1,0
BNW,-1,0
BQB,-1,0
BSC,-1,0
BSD,-1,0
BT6,-1,0
BTB,-1,0
BTG,-1,0
BVB,-1,0
BVL,-1,0
CAB,-1,0
CAG,-1,0
CAR,-1,0
CCV,-1,0
CDH,-1,0
CDR,-1,0
CE1,-1,0
CEG,-1,0
CFM,-1,0
CFV,-1,0
CIP,-1,0
CMK,-1,0
CMP,-1,0
CMW,-1,0
CNA,-1,0
CPA,-1,0
CPH,-1,0
CQN,-1,0
CST,-1,0
CVP,-1,0
DAC,-1,0
DAN,-1,0
DBW,-1,0
DCG,-1,0
DCH,-1,0
DDH,-1,0
DFF,-1,0
DHB,-1,0
DKC,-1,0
DLD,-1,0
DM7,-1,0
DMN,-1,0
DNN,-1,0
DOC,-1,0
DPD,-1,0
DSD,-1,0
DSG,-1,0
DTE,-1,0
DTH,-1,0
DTP,-1,0
DUS,-1,0
DVG,-1,0
DVM,-1,0
DWC,-1,0
DXS,-1,0
E12,-1,0
EFI,-1,0
EMG,-1,0
FBA,-1,0
FBC,-1,0
FCC,-1,0
FCS,-1,0
FGL,-1,0
FHS,-1,0
FSO,-1,0
FTI,-1,0
GE2,-1,0
GEE,-1,0
GH3,-1,0
GIC,-1,0
GLC,-1,0
GMA,-1,0
GMH,-1,0
HC1,-1,0
HD6,-1,0
HEP,-1,0
HFX,-1,0
HGT,-1,0
HHN,-1,0
HLG,-1,0
HLR,-1,0
HLY,-1,0
HMR,-1,0
HNM,-1,0
HNR,-1,0
HSP,-1,0
HSV,-1,0
HTW,-1,0
IBD,-1,0
IBN,-1,0
ICI,-1,0
IDP,-1,0
IME,-1,0
IRC,-1,0
JOS,-1,0
KAC,-1,0
KCB,-1,0
KHG,-1,0
KSF,-1,0
KSV,-1,0
KTC,-1,0
KTT,-1,0
L40,-1,0
L44,-1,0
L62,-1,0
LAI,-1,0
LAW,-1,0
LBC,-1,0
LCC,-1,0
LCD,-1,0
LCW,-1,0
LDW,-1,0
LNC,-1,0
LPT,-1,0
LQN,-1,0
LSG,-1,0
LYF,-1,0
MA1,-1,0
MBN,-1,0
MCI,-1,0
MCM,-1,0
MDA,-1,0
MDF,-1,0
MEF,-1,0
MEL,-1,0
MES,-1,0
MGC,-1,0
MGR,-1,0
MHL,-1,0
MIE,-1,0
MLC,-1,0
MQB,-1,0
MSB,-1,0
MTB,-1,0
MTC,-1,0
MTL,-1,0
MTP,-1,0
MTS,-1,0
MVN,-1,0
NAB,-1,0
NAC,-1,0
NAU,-1,0
NBT,-1,0
NDW,-1,0
NFC,-1,0
NHV,-1,0
NJC,-1,0
NQT,-1,0
NSS,-1,0
NVP,-1,0
NWT,-1,0
NXT,-1,0
OCB,-1,0
ODE,-1,0
PAI,-1,0
PAP,-1,0
PAS,-1,0
PAT,-1,0
PCH,-1,0
PEG,-1,0
PGB,-1,0
PID,-1,0
PIS,-1,0
PLA,-1,0
PLE,-1,0
PLO,-1,0
PPT,-1,0
PQN,-1,0
PRC,-1,0
PRE,-1,0
PSH,-1,0
PSN,-1,0
PSW,-1,0
PTD,-1,0
PTG,-1,0
PTN,-1,0
PTO,-1,0
PVE,-1,0
PWS,-1,0
PX1,-1,0
PXC,-1,0
QNT,-1,0
QNW,-1,0
RBC,-1,0
S72,-1,0
SAL,-1,0
SBR,-1,0
SCG,-1,0
SCV,-1,0
SCY,-1,0
SDG,-1,0
SDJ,-1,0
SDX,-1,0
SDY,-1,0
SGB,-1,0
SGI,-1,0
SHG,-1,0
SHX,-1,0
SJG,-1,0
SPH,-1,0
SQC,-1,0
SSB,-1,0
SSH,-1,0
STS,-1,0
SVD,-1,0
SVG,-1,0
SVH,-1,0
SZG,-1,0
TA3,-1,0
TAN,-1,0
TB8,-1,0
TBH,-1,0
TBR,-1,0
TBT,-1,0
TCK,-1,0
TDF,-1,0
TED,-1,0
TET,-1,0
TH1,-1,0
THD,-1,0
THN,-1,0
THS,-1,0
THU,-1,0
THW,-1,0
