symbol,percentage,number_of_dates
AGE,-1,0
AUM,-1,0
BAF,-1,0
BCB,-1,0
BCV,-1,0
BHG,-1,0
BIG,-1,0
BLW,-1,0
BNW,-1,0
BXH,-1,0
CAB,-1,0
CAR,-1,0
CCV,-1,0
CDG,-1,0
CDH,-1,0
CE1,-1,0
CFV,-1,0
CHC,-1,0
CMF,-1,0
CMK,-1,0
CMP,-1,0
CMW,-1,0
CNA,-1,0
CPH,-1,0
CVP,-1,0
DAN,-1,0
DAS,-1,0
DBW,-1,0
DMN,-1,0
DNN,-1,0
DSD,-1,0
DTH,-1,0
DVM,-1,0
DWC,-1,0
E12,-1,0
EMG,-1,0
EPC,-1,0
FBA,-1,0
FCS,-1,0
FGL,-1,0
FHN,-1,0
FSO,-1,0
FTI,-1,0
GEE,-1,0
GH3,-1,0
GLW,-1,0
GMH,-1,0
HCI,-1,0
HFX,-1,0
HGT,-1,0
HGW,-1,0
HHN,-1,0
HMR,-1,0
HNR,-1,0
HTW,-1,0
IBD,-1,0
IBN,-1,0
IN4,-1,0
IRC,-1,0
KHW,-1,0
KSF,-1,0
LAW,-1,0
LBC,-1,0
LCC,-1,0
LCW,-1,0
LDW,-1,0
LGM,-1,0
LQN,-1,0
LSG,-1,0
LYF,-1,0
MBN,-1,0
MDA,-1,0
MEF,-1,0
MES,-1,0
MGR,-1,0
MLC,-1,0
MQB,-1,0
MTB,-1,0
MTC,-1,0
NAC,-1,0
NDW,-1,0
NQB,-1,0
NSL,-1,0
NSS,-1,0
NVP,-1,0
NXT,-1,0
ODE,-1,0
ONW,-1,0
PAI,-1,0
PAT,-1,0
PCH,-1,0
PMJ,-1,0
PPT,-1,0
PQN,-1,0
PTG,-1,0
PTN,-1,0
PTO,-1,0
PTX,-1,0
PX1,-1,0
PXC,-1,0
QNT,-1,0
QNW,-1,0
RBC,-1,0
SAL,-1,0
SCV,-1,0
SCY,-1,0
SHX,-1,0
SQC,-1,0
SSF,-1,0
STW,-1,0
SVH,-1,0
SZG,-1,0
TAG,-1,0
TAN,-1,0
TB8,-1,0
TBR,-1,0
TBT,-1,0
TBX,-1,0
TCJ,-1,0
TCK,-1,0
TED,-1,0
TET,-1,0
THN,-1,0
TIN,-1,0
TKA,-1,0
TOW,-1,0
TPS,-1,0
TQN,-1,0
TQW,-1,0
UCT,-1,0
UEM,-1,0
UMC,-1,0
VAT,-1,0
VBG,-1,0
VCE,-1,0
VDB,-1,0
VDN,-1,0
VGL,-1,0
VHF,-1,0
VHH,-1,0
VIR,-1,0
VKP,-1,0
VMA,-1,0
VPW,-1,0
VTI,-1,0
VTM,-1,0
VTZ,-1,0
VUA,-1,0
VVS,-1,0
X77,-1,0
XDH,-1,0
XMD,-1,0
APT,0.0,1
ATS,0.0,1
BGW,0.0,1
BMG,0.0,1
BSD,0.0,1
CCT,0.0,2
CPA,0.0,1
CT3,0.0,1
CTW,0.0,1
DCG,0.0,1
DCH,0.0,1
DDH,0.0,1
DLD,0.0,1
DLT,0.0,1
DM7,0.0,1
DOC,0.0,1
DSV,0.0,1
DUS,0.0,2
DVW,0.0,1
FCC,0.0,1
GLC,0.0,1
HC1,0.0,1
HHR,0.0,1
HLT,0.0,1
HNP,0.0,2
HSA,0.0,1
HTR,0.0,4
KCE,0.0,6
LG9,0.0,1
LNC,0.0,1
MCC,0.0,1
MCI,0.0,1
MIE,0.0,1
MKV,0.0,1
MND,0.0,3
MPY,0.0,1
MTH,0.0,2
NAU,0.0,1
NHV,0.0,1
NLS,0.0,1
NQT,0.0,1
PTD,0.0,1
QNU,0.0,1
STS,0.0,1
TEL,0.0,2
TMW,0.0,1
TRT,0.0,4
TS4,0.0,1
TVW,0.0,1
USC,0.0,3
VCT,0.0,1
VIH,0.0,3
VNY,0.0,1
VTG,0.0,1
VXP,0.0,1
PMW,0.29,3
QST,0.45,3
GAB,0.87,64
ISG,0.91,2
TPH,0.91,3
OPC,1.2,63
IBC,1.87,64
DHT,2.07,64
BTV,2.15,8
HNF,2.15,35
HUB,2.37,63
CKV,2.47,8
BSH,2.54,11
KTL,2.63,8
WSB,2.67,63
SKH,2.71,63
NVL,2.74,64
DHN,2.81,5
LIX,2.87,64
C21,2.92,48
EBS,2.94,43
MTV,2.98,8
SJD,3.01,64
EME,3.04,3
CTF,3.06,64
PHH,3.08,3
HKT,3.09,52
KDC,3.09,64
BBM,3.33,7
AGX,3.35,33
DDG,3.38,64
GMA,3.38,63
AFX,3.41,64
BTT,3.42,8
SGN,3.5,64
BDG,3.67,54
TV3,3.68,47
KOS,3.73,64
HAD,3.75,58
SZE,3.75,61
BTU,3.78,5
MLS,3.79,64
SPD,3.79,6
ADG,3.82,64
THI,3.86,51
HNI,3.88,44
HC3,3.89,52
DRL,3.9,57
SGD,3.91,26
DSN,3.97,64
BSQ,4.06,52
SCD,4.06,59
VAB,4.1,51
VNM,4.14,64
ADP,4.24,53
DHP,4.24,50
VCG,4.26,64
HWS,4.27,56
NET,4.31,55
SCS,4.31,64
SDU,4.37,10
DTL,4.46,64
HNA,4.54,48
DTC,4.56,47
VBH,4.56,3
DHG,4.57,64
PLX,4.58,64
HPT,4.61,49
KHP,4.62,64
SZB,4.63,64
BMP,4.64,64
DNP,4.64,60
NSC,4.67,61
LM8,4.71,61
IMP,4.72,64
PNG,4.73,11
HIG,4.77,63
VCF,4.77,34
APC,4.78,64
TN1,4.79,64
THG,4.82,64
VCB,4.84,64
VNC,4.88,36
DTT,4.9,12
CMV,4.92,49
LHC,4.92,52
MQN,4.92,55
SAP,4.92,5
PMP,4.94,28
VIT,4.94,64
GAS,4.97,64
NHT,4.99,56
THD,4.99,64
WCS,4.99,52
DHB,5.0,10
LM3,5.0,11
PPC,5.0,64
VTP,5.05,64
SAS,5.1,64
HND,5.14,64
AST,5.16,64
QTC,5.16,46
SHP,5.17,61
TCB,5.19,64
CAT,5.21,57
ICG,5.21,60
TMC,5.24,46
VTR,5.25,64
ASG,5.26,61
SRF,5.26,63
NTP,5.32,64
ST8,5.33,38
HPD,5.35,34
ICN,5.35,40
NCS,5.35,61
SMN,5.35,50
LBM,5.37,62
QHW,5.37,43
LLM,5.39,40
BBS,5.4,35
SBA,5.43,63
D11,5.45,49
HPI,5.49,6
TV4,5.5,58
DPD,5.51,5
HTI,5.51,64
CH5,5.55,5
DC4,5.55,64
TCT,5.55,64
X20,5.55,43
HTC,5.56,24
BHC,5.6,5
DNM,5.61,64
ICC,5.66,22
MBB,5.67,64
SIP,5.69,64
PVY,5.71,12
PSL,5.73,64
BID,5.74,64
NBW,5.78,12
HAS,5.79,56
VRG,5.79,64
EMC,5.85,9
HKP,5.85,13
HRC,5.85,20
TL4,5.85,33
SD2,5.9,55
SJE,5.91,59
VDP,5.92,54
NCT,5.93,64
VHM,5.93,64
TIX,5.95,40
AAM,5.96,63
CMD,5.96,4
S4A,5.96,49
TID,5.98,64
ISH,5.99,22
SMB,5.99,61
LO5,6.0,11
SEP,6.0,3
XHC,6.0,16
EPH,6.03,48
FBC,6.04,2
VPD,6.04,63
VJC,6.06,64
DTE,6.07,28
KAC,6.07,5
VGG,6.1,64
BBH,6.11,2
ABT,6.13,53
YTC,6.13,10
COM,6.18,30
HAG,6.21,64
RCL,6.21,58
TDB,6.23,16
BHK,6.24,12
ACB,6.26,64
SSB,6.26,64
TLP,6.28,56
BMJ,6.29,31
HEC,6.31,24
POT,6.31,42
VIF,6.31,57
VCM,6.33,49
VCP,6.33,49
FLC,6.34,64
UPC,6.34,13
VRE,6.35,64
SD9,6.37,64
SEB,6.37,27
VET,6.37,54
GMX,6.38,64
CMC,6.39,33
VPR,6.42,2
MFS,6.44,64
NVT,6.45,64
PLE,6.45,2
HLR,6.47,2
BKG,6.49,64
SP2,6.5,4
HD2,6.52,57
IME,6.52,2
CVT,6.53,63
SZL,6.53,64
TS3,6.55,5
YEG,6.55,64
SVI,6.57,23
PNT,6.59,9
BSA,6.6,57
CLW,6.6,7
FOC,6.64,64
TST,6.64,23
PIT,6.65,63
HU3,6.67,46
BWS,6.68,48
BMD,6.7,2
BAX,6.71,64
BSP,6.71,14
TVP,6.71,38
VBC,6.72,40
LKW,6.73,31
TCH,6.76,64
VPS,6.76,64
ABR,6.78,33
PIA,6.78,15
HSL,6.81,64
RCD,6.86,12
LBE,6.87,7
BTP,6.88,61
NT2,6.89,64
TRS,6.89,8
AIC,6.9,64
TDF,6.9,24
SGI,6.91,13
PRE,6.94,56
NAV,6.96,54
BEL,6.97,9
BCA,6.98,11
HCT,6.98,15
HJS,6.98,26
NDX,6.98,64
CHP,6.99,64
DIH,6.99,58
SDV,6.99,26
NGC,7.01,3
TDW,7.01,36
CPC,7.02,47
CTB,7.06,33
GDT,7.09,64
HDB,7.1,64
TMP,7.11,62
CNN,7.12,2
HU6,7.12,47
SPH,7.12,9
AG1,7.13,64
CEG,7.13,3
PXS,7.14,64
FCM,7.16,64
VE8,7.17,40
HTE,7.18,63
L61,7.18,26
BMN,7.19,5
KLB,7.19,64
TA6,7.2,21
NST,7.21,62
VMC,7.21,64
DIC,7.22,12
MTS,7.22,9
NAS,7.22,14
SRC,7.23,64
BT1,7.25,11
AVC,7.26,48
EMS,7.26,47
MPC,7.26,64
MSB,7.3,64
DAG,7.34,64
XMC,7.34,63
ARM,7.35,10
TTT,7.38,22
ACV,7.4,58
SSC,7.4,41
PXI,7.44,64
VEF,7.44,64
GTD,7.47,2
TOP,7.5,12
VLC,7.5,64
FHS,7.51,2
AME,7.52,62
NAG,7.54,62
SVT,7.55,55
THU,7.55,2
NQN,7.56,13
VE3,7.56,60
BTD,7.57,57
DPP,7.58,29
GMC,7.58,60
PJC,7.59,41
INN,7.6,64
IFS,7.61,51
D2D,7.62,64
SJ1,7.64,18
PHR,7.66,64
DWS,7.67,34
PNJ,7.67,64
TRC,7.68,61
ALV,7.71,12
DNA,7.71,14
DC2,7.72,59
CTG,7.73,64
DPR,7.73,64
MCH,7.75,64
CDC,7.76,64
