symbol,percentage,number_of_dates
APL,-1,0
ASA,-1,0
AUM,-1,0
BCB,-1,0
BCV,-1,0
BHG,-1,0
BMD,-1,0
BMV,-1,0
BNW,-1,0
CDH,-1,0
CE1,-1,0
CMK,-1,0
CMP,-1,0
CNA,-1,0
CPH,-1,0
CVP,-1,0
DBW,-1,0
DKC,-1,0
DLR,-1,0
DNN,-1,0
DPD,-1,0
DSV,-1,0
FBA,-1,0
FBC,-1,0
FCC,-1,0
FGL,-1,0
FSO,-1,0
GAB,-1,0
GLC,-1,0
HCI,-1,0
HHR,-1,0
HKP,-1,0
HNP,-1,0
HNR,-1,0
HRB,-1,0
HTW,-1,0
IBN,-1,0
IN4,-1,0
IRC,-1,0
KHW,-1,0
LAW,-1,0
LCD,-1,0
LCW,-1,0
LDW,-1,0
LNC,-1,0
LQN,-1,0
LYF,-1,0
MBN,-1,0
MDA,-1,0
MEF,-1,0
MES,-1,0
MLC,-1,0
MND,-1,0
MQB,-1,0
NAC,-1,0
NGC,-1,0
NLS,-1,0
NQB,-1,0
NQT,-1,0
NSS,-1,0
NVP,-1,0
PAI,-1,0
PLE,-1,0
POB,-1,0
PQN,-1,0
PSN,-1,0
PTG,-1,0
PTN,-1,0
PX1,-1,0
PXC,-1,0
RBC,-1,0
SAP,-1,0
SCV,-1,0
SCY,-1,0
SHX,-1,0
STS,-1,0
SVH,-1,0
TAG,-1,0
TAN,-1,0
TBX,-1,0
TCK,-1,0
THN,-1,0
THU,-1,0
TKA,-1,0
TMW,-1,0
TPS,-1,0
TQN,-1,0
TQW,-1,0
TVG,-1,0
UMC,-1,0
VBG,-1,0
VCE,-1,0
VCT,-1,0
VDB,-1,0
VDT,-1,0
VHF,-1,0
VKP,-1,0
VLP,-1,0
VMA,-1,0
VPW,-1,0
VTM,-1,0
VTQ,-1,0
VVS,-1,0
X77,-1,0
ARM,0.0,2
BED,0.0,1
BEL,0.0,1
BGW,0.0,1
BLW,0.0,1
BSC,0.0,1
C22,0.0,1
CDG,0.0,1
CH5,0.0,1
CHC,0.0,6
CYC,0.0,1
DCH,0.0,1
DLD,0.0,1
DM7,0.0,2
DTH,0.0,7
FTI,0.0,1
GH3,0.0,1
HC1,0.0,1
HCT,0.0,1
HHN,0.0,1
HLR,0.0,3
HLT,0.0,1
HMG,0.0,1
IME,0.0,1
LBC,0.0,1
LCC,0.0,1
LM3,0.0,3
MCC,0.0,1
MCI,0.0,7
MPY,0.0,1
NDW,0.0,1
PID,0.0,2
PMJ,0.0,1
PTX,0.0,1
QNU,0.0,1
QNW,0.0,1
QST,0.0,1
SAL,0.0,2
TB8,0.0,2
TEL,0.0,1
TOW,0.0,2
TTP,0.0,1
TVH,0.0,1
UEM,0.0,2
VES,0.0,1
VGP,0.0,2
VIR,0.0,1
VTG,0.0,1
VTI,0.0,1
YTC,0.0,1
ATS,0.19,6
SGC,0.36,3
DLT,0.5,2
TA6,0.5,3
UDL,0.5,5
NSG,0.55,6
PGI,0.57,62
RAT,1.1,10
VXP,1.24,2
TDW,1.38,7
CAV,1.56,39
PTP,1.58,15
TA3,1.67,3
TRS,1.72,11
DHT,1.74,64
VUA,1.76,64
DDG,1.83,64
DPP,1.87,14
DP3,1.95,55
CPA,2.02,4
HRC,2.05,35
SBH,2.09,35
BAX,2.14,35
CCV,2.15,2
DBD,2.35,64
DPC,2.36,5
KIP,2.39,15
HBD,2.41,11
KSF,2.45,64
VLW,2.46,5
NBT,2.47,28
NCT,2.52,64
HPX,2.55,64
TYA,2.63,64
XMP,2.68,21
TDM,2.69,64
IBC,2.72,64
SJD,2.76,64
AGG,2.77,64
SKV,2.78,61
DVP,2.8,64
SZE,2.82,57
SSH,2.83,64
DVN,2.86,64
TDT,2.87,64
SED,2.91,60
SHP,2.95,63
CTX,3.03,6
CLC,3.06,60
MCF,3.06,62
KOS,3.07,64
GHC,3.09,64
ICT,3.14,64
TTS,3.22,6
TET,3.29,3
SMN,3.36,37
DNP,3.38,58
VGG,3.42,58
AST,3.46,64
PAC,3.46,58
SSB,3.48,64
NSL,3.52,11
STP,3.53,46
SRC,3.54,58
USD,3.54,40
SCG,3.57,64
MTS,3.58,4
BWE,3.73,64
TRA,3.8,60
BTD,3.84,64
TCW,3.85,63
CPC,3.89,34
NNC,3.9,63
TCJ,3.92,3
BTP,3.96,59
VNM,3.98,64
HEC,4.03,20
AME,4.05,64
ACG,4.06,61
FOC,4.06,57
HVH,4.08,64
SFC,4.08,24
GCB,4.1,5
VCA,4.12,62
S74,4.2,9
BSA,4.22,57
EIC,4.28,53
QNS,4.28,64
SHA,4.3,64
BTT,4.31,46
TVS,4.32,64
GIC,4.35,59
DCL,4.42,64
PEQ,4.42,11
VID,4.42,64
VEA,4.45,64
HVT,4.5,62
DFC,4.55,2
RCL,4.55,42
XLV,4.63,9
C32,4.65,64
SVT,4.65,64
ABI,4.67,64
PRE,4.67,49
M10,4.7,41
HHP,4.72,64
EIB,4.73,64
LTG,4.74,64
MAC,4.75,64
SCD,4.8,49
TN1,4.8,64
HLB,4.82,6
BHK,4.83,7
LHC,4.83,58
BLF,4.86,10
SZL,4.92,63
VPI,4.92,64
CDN,4.93,58
HPP,4.93,62
SHI,4.93,64
BHN,4.94,59
ASG,4.95,62
VIF,4.95,27
ILB,4.97,58
LIX,4.97,62
NBE,5.0,51
STG,5.01,53
PPS,5.04,52
BWS,5.06,47
MTL,5.07,56
TW3,5.09,12
MFS,5.1,64
VGR,5.1,6
HWS,5.13,48
BTB,5.14,12
WSB,5.14,63
EPH,5.19,18
HDW,5.22,11
DAC,5.23,8
PPC,5.23,64
C21,5.24,48
BTU,5.26,7
IMP,5.26,60
PCG,5.26,64
PMC,5.26,39
DTV,5.27,7
VMC,5.29,64
