issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
10000000.0,11/06/2019 00:00:00,Real Estate Holding & Development,Petrowaco Property Joint Stock Company,PWA,Real Estate,40090000000.0,Real Estate Investment & Services,Financials,10000000.0
13200000.0,24/12/2010 00:00:00,Heavy Construction,Water Supply Sewerage Construction and Investment Joint Stock Company,VSI,Construction & Materials,256079941800.0,Construction & Materials,Industrials,13200000.0
2000000.0,23/04/2020 00:00:00,Heavy Construction,VIWASEEN 3 Joint Stock Company,VW3,Construction & Materials,24000000000.0,Construction & Materials,Industrials,2000000.0
