"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap","priceChangedFiveDayPercent","priceChangedOneMonthPercent","priceChangedThreeMonthsPercent"
"HJS","HNX","Nam Mu Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2006-12-20","20999900","713996600000","N/A","N/A","N/A"
"S96","UPCOM","Song Da 9.06 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2008-01-09","11155532","10051134332","N/A","N/A","N/A"
"S99","HNX","SCI Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2006-12-22","52426723","982721000000","N/A","N/A","N/A"
