issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
8100000.0,30/11/2016 00:00:00,Food Products,Cholimex Food Joint Stock Company,CMF,Food & Beverage,1377000000000.0,Food Producers,Consumer Goods,8100000.0
727461879.0,05/01/2017 00:00:00,Food Products,Masan Consumer Corporation,MCH,Food & Beverage,50742239760165.0,Food Producers,Consumer Goods,727461879.0
327132940.0,09/12/2019 00:00:00,Food Products,Masan MEATLife Joint Stock Company,MML,Food & Beverage,14398429221160.0,Food Producers,Consumer Goods,327132940.0
1099155420.0,17/09/2015 00:00:00,General Mining,Masan High-Tech Materials Corporation,MSR,Basic Resources,14530834652400.0,Mining,Basic Materials,1099155420.0
8000000.0,22/12/2016 00:00:00,Soft Drinks,Quang Ninh Mineral Water Corporation,QHW,Food & Beverage,169163280000.0,Beverages,Consumer Goods,8000000.0
3510914798.0,04/06/2018 00:00:00,Banks,Vietnam Technological And Commercial Joint Stock Bank,TCB,Banks,88634410552800.0,Banks,Banks,3510914798.0
26579135.0,28/01/2011 00:00:00,Soft Drinks,Vinacafe Bien Hoa Joint Stock Company,VCF,Food & Beverage,6347097438000.0,Beverages,Consumer Goods,26579135.0
80914300.0,21/10/2016 00:00:00,Food Products,VISSAN Joint Stock Company,VSN,Food & Beverage,1941928800000.0,Food Producers,Consumer Goods,80914300.0
