symbol,date,close,percentage,lowest,highest
TDT,2022-11-23,7.2,13.56,4.68,18.59
VMG,2022-11-22,5.1,13.6,1.7,25.0
ITC,2022-11-23,7.0,13.61,3.61,24.91
PDB,2022-11-23,10.9,13.61,5.76,37.76
PBP,2022-11-23,10.6,13.62,4.17,47.2
TCB,2022-11-23,22.0,13.65,14.0,58.6
SAS,2022-11-23,20.0,13.67,13.9,44.62
HAC,2022-11-23,4.7,13.7,2.18,18.4
C21,2022-11-23,11.9,13.74,8.01,28.32
MSB,2022-11-23,12.0,13.74,8.93,22.34
ATG,2022-11-18,2.7,13.75,0.5,16.0
LCG,2022-11-23,5.27,13.76,1.9,24.5
TID,2022-11-23,22.7,13.76,11.52,81.23
DTA,2022-11-23,6.16,13.79,1.76,31.91
CH5,2022-10-14,6.4,13.84,3.68,19.65
PSG,2022-11-18,1.9,13.85,0.1,13.0
TCI,2022-11-23,6.3,13.87,1.86,32.0
CBI,2022-11-23,8.0,13.88,2.6,38.9
PGN,2022-11-23,7.0,13.88,4.83,15.63
NSH,2022-11-23,4.1,13.9,1.0,22.3
VGS,2022-11-23,7.9,14.0,1.64,44.7
VGT,2022-11-23,9.6,14.03,5.39,30.0
MED,2022-11-21,22.9,14.11,17.1,41.11
VMD,2022-11-23,17.75,14.12,5.31,88.1
TC6,2022-11-23,4.5,14.15,1.59,20.56
SGS,2022-11-23,12.5,14.2,0.45,84.84
API,2022-11-23,8.0,14.21,0.96,49.54
DTD,2022-11-23,12.0,14.29,5.22,47.45
SAM,2022-11-23,5.92,14.32,1.23,32.76
ATS,2022-10-12,16.0,14.33,7.1,62.1
GE2,2022-11-23,30.9,14.33,22.6,57.94
VC7,2022-11-23,6.1,14.34,1.01,35.5
SCD,2022-11-23,16.05,14.48,6.0,69.42
TLH,2022-11-23,5.4,14.5,1.79,24.9
VCX,2022-11-23,3.2,14.5,1.3,13.1
VPG,2022-11-23,12.45,14.51,3.98,58.38
PBC,2022-11-23,14.4,14.52,10.39,27.61
BCE,2022-11-23,5.4,14.55,1.85,24.4
