symbol,date,close,percentage,lowest,highest
VEC,2022-11-18,10.5,28.0,4.06,23.0
FRM,2022-10-27,12.0,28.02,4.66,26.2
VSA,2022-11-22,19.5,28.02,10.17,33.3
PTI,2022-11-23,25.7,28.05,4.1,77.0
CLL,2022-11-23,24.0,28.16,13.99,35.55
DHM,2022-11-23,10.0,28.23,2.11,27.95
HTV,2022-11-23,9.51,28.34,1.95,26.68
DWC,2022-11-01,18.1,28.36,8.6,33.5
VTL,2022-10-24,15.3,28.47,4.48,38.0
HHN,2022-07-06,8.7,28.51,6.22,8.7
TPC,2022-11-23,5.97,28.53,1.24,16.58
PMB,2022-11-22,10.6,28.69,3.78,23.77
PLE,2022-03-17,32.1,28.73,20.39,40.76
VUA,2022-11-23,40.1,28.75,26.3,48.0
BHT,2022-10-14,12.8,28.76,2.27,36.61
SSG,2022-11-18,6.7,28.78,0.8,20.5
PMT,2022-11-16,8.0,28.84,2.03,20.7
DVN,2022-11-23,16.5,28.98,7.66,30.5
PCT,2022-11-22,6.1,29.01,1.4,16.2
SKH,2022-11-23,24.0,29.01,13.31,36.85
BSC,2022-07-25,13.0,29.02,2.76,35.28
SBV,2022-11-23,11.75,29.03,4.67,24.39
SAV,2022-11-23,12.9,29.07,1.62,38.8
SD5,2022-11-23,6.7,29.11,1.16,19.03
TDF,2022-11-23,18.5,29.19,9.38,31.24
FIC,2022-11-17,19.2,29.2,6.09,44.9
TBX,2020-02-24,22.3,29.3,7.1,51.88
BCF,2022-11-23,36.1,29.39,24.14,40.7
TCJ,2022-11-11,5.0,29.41,3.5,5.1
HPG,2022-11-23,13.8,29.52,0.75,44.2
STK,2022-11-23,25.8,29.56,8.2,59.53
FDC,2022-11-22,20.0,29.77,7.69,41.35
TNG,2022-11-23,12.2,29.81,0.87,38.01
DAS,2022-11-22,10.5,29.82,1.94,28.71
SDG,2022-11-09,21.0,29.86,4.35,55.76
EMC,2022-11-22,11.45,29.96,3.21,27.5
VAV,2022-11-23,21.5,30.07,8.03,44.8
PLC,2022-11-23,16.6,30.12,1.34,50.66
DNL,2022-11-10,13.5,30.19,2.63,36.0
VLB,2022-11-22,33.3,30.21,15.6,58.59
IBD,2022-10-19,11.7,30.25,6.8,16.2
SSI,2022-11-23,15.8,30.29,0.01,52.13
POT,2022-11-23,18.7,30.33,3.81,49.09
HCT,2022-07-12,16.85,30.45,3.57,43.61
BVH,2022-11-23,48.65,30.49,16.62,105.04
SZG,2022-11-23,33.0,30.53,16.06,55.48
NAS,2022-11-21,29.5,30.56,17.58,39.0
BTW,2022-11-23,26.5,30.64,3.78,74.15
HTG,2022-11-23,25.0,30.64,9.12,51.83
DDN,2022-11-23,10.3,30.65,2.5,25.45
BMI,2022-11-23,18.75,30.66,2.86,51.83
EVE,2022-11-23,12.95,30.67,4.77,26.67
SGN,2022-11-23,53.0,30.67,20.66,105.43
TRC,2022-11-23,24.9,30.67,7.39,57.1
VHL,2022-11-23,15.3,30.81,1.92,43.43
TAW,2022-08-10,19.4,30.88,6.29,42.46
AGG,2022-11-23,33.5,30.89,17.16,52.9
PPC,2022-11-23,12.25,30.89,2.03,33.08
HDB,2022-11-23,14.65,30.93,6.25,27.16
DOC,2022-11-23,10.4,31.09,5.0,17.37
DPH,2022-11-21,32.5,31.14,10.54,70.53
HDC,2022-11-23,31.1,31.18,1.44,95.12
FOC,2022-11-23,107.1,31.19,63.47,139.9
HOT,2022-11-23,26.9,31.2,8.01,60.55
HFB,2022-11-23,8.5,31.28,3.02,17.52
BHK,2022-10-11,12.2,31.4,6.67,17.61
ICI,2022-11-23,7.1,31.42,1.78,16.93
MTP,2022-11-23,8.7,31.5,3.31,17.11
RBC,2017-07-06,14.6,31.51,10.0,14.6
HCM,2022-11-23,17.7,31.52,1.9,50.13
HMC,2022-11-23,8.65,31.59,1.58,22.38
UDJ,2022-11-23,8.3,31.61,2.08,19.68
VAF,2022-11-22,9.9,31.65,3.57,20.0
VIR,2022-11-18,7.0,31.68,3.36,11.49
GDW,2022-11-17,15.7,31.73,3.83,37.41
HNB,2022-10-17,18.1,31.87,6.39,36.74
TSB,2022-11-17,9.0,32.06,3.38,17.53
CTX,2022-08-05,7.6,32.22,1.8,18.0
DP1,2022-11-21,20.9,32.26,6.86,43.52
NVB,2022-11-23,16.2,32.29,2.96,41.0
DHC,2022-11-23,31.6,32.41,1.33,93.41
NFC,2022-11-03,10.1,32.43,3.29,21.0
CHS,2022-11-23,8.4,32.5,3.45,15.23
MCC,2022-09-26,10.2,32.53,4.79,16.63
A32,2022-11-22,29.0,32.54,14.12,45.73
TTD,2022-11-17,44.7,32.63,25.12,60.0
TRS,2022-11-18,29.0,32.7,12.48,50.52
MQN,2022-11-21,23.0,32.72,9.94,39.91
BBM,2022-11-23,11.1,32.89,5.96,15.63
DMC,2022-11-22,42.8,33.04,5.12,114.05
THT,2022-11-23,7.9,33.22,1.03,20.68
VCC,2022-11-23,14.7,33.31,1.5,39.63
VPB,2022-11-23,15.05,33.32,5.93,27.37
NNC,2022-11-23,16.4,33.36,2.0,43.17
NTL,2022-11-23,16.75,33.43,2.33,43.14
NTC,2022-11-23,104.5,33.47,8.28,287.52
MSH,2022-11-23,37.0,33.54,13.97,68.67
HCB,2022-11-14,19.0,33.59,11.26,23.04
VIN,2022-11-16,19.0,33.62,4.18,44.08
HWS,2022-11-23,10.3,33.69,4.25,17.96
CMN,2022-11-23,51.1,33.8,17.12,100.52
TTP,2022-11-21,35.0,33.81,9.11,76.58
VTI,2022-09-16,5.4,33.86,1.1,12.7
DGC,2022-11-23,52.0,33.91,4.86,139.0
DSP,2022-11-22,12.1,33.94,6.5,16.5
VCP,2022-11-23,22.9,34.03,7.16,46.26
SGH,2022-11-17,27.0,34.12,2.28,72.46
PMW,2022-11-22,32.0,34.16,13.15,55.18
SRF,2022-11-23,8.9,34.17,1.69,21.1
VIW,2022-11-23,12.2,34.17,4.0,24.0
DNE,2022-11-22,9.4,34.25,3.27,17.9
BSA,2022-11-23,16.1,34.27,9.28,19.9
MFS,2022-11-23,26.6,34.27,14.02,36.71
CNG,2022-11-23,21.65,34.28,5.79,46.27
GLT,2022-11-11,25.0,34.29,3.48,62.75
VE3,2022-11-22,9.5,34.33,1.54,23.19
CPA,2022-09-23,10.0,34.44,4.8,15.1
DUS,2022-09-05,20.3,34.46,9.5,31.34
QNS,2022-11-23,35.4,34.5,16.41,55.05
TPH,2022-10-11,13.2,34.52,1.67,33.4
VCS,2022-11-23,44.7,34.6,1.26,125.56
TVA,2022-11-17,12.8,34.69,5.12,22.14
HPI,2022-11-18,21.5,34.7,8.0,38.9
CE1,2022-11-23,9.0,34.74,5.46,10.19
GSP,2022-11-23,8.36,34.74,1.76,19.0
ONE,2022-11-22,6.2,34.78,1.54,13.4
DBD,2022-11-23,36.45,34.84,19.45,48.8
IBC,2022-11-23,14.45,34.85,5.08,26.89
MAS,2022-11-22,36.1,34.91,1.33,99.61
HNA,2022-11-23,16.7,34.98,8.2,24.3
HHR,2021-07-20,0.4,35.0,0.26,0.4
LMH,2022-11-23,6.7,35.0,0.4,18.0
HD8,2022-11-23,10.3,35.03,3.82,18.5
DVC,2022-11-07,9.6,35.13,3.61,17.05
VGC,2022-11-23,30.0,35.2,5.0,71.03
UDL,2022-11-03,15.5,35.33,9.0,18.4
SIV,2022-11-22,55.0,35.37,23.97,87.73
ILB,2022-11-23,24.45,35.39,10.91,38.26
VSM,2022-11-23,17.6,35.39,6.52,31.31
VIB,2022-11-23,17.9,35.46,3.66,40.16
BLN,2022-11-21,7.2,35.5,1.15,17.04
ST8,2022-11-23,8.1,35.59,1.16,19.5
DHD,2022-11-23,21.0,35.63,9.99,30.9
YTC,2022-09-05,65.5,35.73,24.23,115.5
NQN,2022-11-15,16.0,35.74,3.44,35.14
TKG,2022-11-23,13.5,35.76,7.9,15.66
PHR,2022-11-23,38.5,35.79,6.04,90.7
HBH,2022-11-23,7.6,35.8,1.8,16.2
CMF,2022-11-10,150.0,35.92,44.03,295.0
SPC,2022-11-22,15.1,36.0,5.02,28.0
HAM,2022-11-17,17.1,36.05,7.33,27.1
CAN,2022-11-18,30.9,36.12,6.16,68.5
BSD,2022-10-26,32.0,36.17,19.0,35.94
TYA,2022-11-23,11.8,36.24,1.04,29.69
GMC,2022-11-23,11.85,36.26,1.27,29.18
QTP,2022-11-23,12.0,36.3,5.07,19.09
TV3,2022-11-23,18.3,36.31,1.71,45.69
DIH,2022-11-23,27.5,36.39,3.17,66.85
BBC,2022-11-23,50.0,36.43,5.02,123.47
VC6,2022-11-23,7.5,36.49,1.99,15.1
CDH,2020-10-12,2.6,36.6,1.33,3.47
THS,2022-10-18,20.3,36.62,1.94,50.13
CSI,2022-11-23,45.0,36.8,8.2,100.0
VWS,2022-11-23,15.7,36.8,7.04,23.53
BST,2022-11-18,17.9,36.83,1.8,43.71
HD2,2022-11-23,14.7,36.85,2.94,31.91
VDP,2022-11-17,38.7,36.93,22.52,43.81
BHA,2022-11-21,14.0,36.94,6.66,19.87
ACV,2022-11-23,79.3,36.97,33.56,123.73
DPR,2022-11-23,44.55,37.06,6.71,102.1
CTR,2022-11-23,44.1,37.19,7.55,98.29
NAC,2021-05-21,1.4,37.23,0.7,1.88
PEN,2022-11-18,10.8,37.23,3.69,19.1
VCR,2022-11-23,23.3,37.24,1.4,58.8
BTD,2022-11-23,25.0,37.5,8.5,44.0
KDH,2022-11-23,21.85,37.5,2.25,52.27
C32,2022-11-23,17.6,37.64,3.55,37.33
PTN,2022-11-22,10.9,37.8,4.7,16.4
RAL,2022-11-23,73.0,37.85,4.22,181.73
TPS,2022-04-21,26.9,37.86,5.84,55.62
FT1,2022-11-23,32.0,38.02,13.66,48.24
HLD,2022-11-23,25.0,38.06,2.81,58.3
BTH,2022-11-15,17.9,38.07,2.1,41.5
HDP,2022-11-23,13.7,38.13,6.01,20.17
PNT,2022-11-16,7.7,38.4,3.66,10.52
VET,2022-11-23,60.0,38.42,14.99,117.15
DTG,2022-11-23,24.0,38.46,8.0,41.6
HMH,2022-11-23,10.5,38.46,1.72,22.83
GKM,2022-11-23,28.1,38.47,6.75,55.5
VCT,2022-06-03,16.0,38.5,0.6,40.0
CNN,2022-11-22,31.0,38.56,3.78,70.59
SFC,2022-11-22,17.2,38.6,4.34,33.32
BSQ,2022-11-23,30.0,38.64,13.77,42.0
SEP,2022-10-31,11.9,38.64,3.4,22.0
DGW,2022-11-23,37.7,38.7,2.74,90.33
VNR,2022-11-23,20.0,38.85,3.05,43.63
VTQ,2022-10-11,27.4,38.85,10.0,44.79
PAP,2022-11-23,17.5,38.89,9.1,21.6
PTB,2022-11-23,37.3,39.05,1.18,92.49
HND,2022-11-23,12.2,39.16,4.27,20.25
CFV,2022-10-12,40.1,39.21,4.3,91.3
HDG,2022-11-23,25.95,39.29,1.46,62.33
HVA,2022-11-23,4.9,39.29,0.5,11.2
HAX,2022-11-23,14.1,39.43,0.6,34.24
NQB,2021-12-28,19.93,39.56,9.49,26.39
VLP,2021-09-09,0.6,39.56,0.24,0.91
HNI,2022-11-23,26.4,39.69,8.74,44.5
DHA,2022-11-23,27.0,39.72,3.15,60.05
HAD,2022-11-23,14.9,39.78,5.69,23.15
SCS,2022-11-23,70.5,39.82,32.13,96.37
MCF,2022-11-22,7.5,39.97,2.58,12.31
TA9,2022-11-23,11.4,40.17,4.45,17.3
CDN,2022-11-22,25.9,40.18,10.69,37.85
CAR,2022-11-23,29.7,40.28,15.4,35.5
DBT,2022-11-23,10.4,40.3,2.24,20.25
TMX,2022-11-02,9.0,40.34,2.28,16.66
VPR,2022-08-31,23.0,40.4,7.73,37.8
DPM,2022-11-23,36.25,40.47,7.55,70.92
VEA,2022-11-23,36.7,40.47,15.44,52.53
SSH,2022-11-23,70.0,40.52,20.85,121.3
TCT,2022-11-23,31.7,40.63,5.06,65.57
PNP,2022-11-01,19.0,40.69,4.91,34.63
VXP,2022-07-13,30.6,40.71,17.91,31.17
DCR,2022-11-22,6.8,40.77,1.5,13.0
NVP,2022-11-15,7.2,40.82,3.71,8.55
DCL,2022-11-23,23.7,40.84,1.81,53.6
SDK,2022-11-21,16.2,40.87,2.81,32.76
EMG,2022-09-09,16.5,40.97,8.95,18.43
ICC,2022-11-23,34.5,40.98,10.0,59.78
SZE,2022-11-23,11.7,40.99,4.76,16.93
VTE,2022-11-22,6.2,41.02,1.68,11.02
LBC,2022-09-28,14.0,41.05,6.82,17.49
V12,2022-11-23,13.0,41.06,1.38,28.3
THG,2022-11-23,34.7,41.29,1.03,81.55
ADP,2022-11-23,15.0,41.33,0.54,34.99
SBM,2022-09-15,26.45,41.36,14.38,29.18
AGP,2022-11-23,19.7,41.39,9.05,25.73
VNA,2022-11-23,25.3,41.41,0.7,59.4
BTG,2022-10-18,8.5,41.42,3.24,12.7
IDV,2022-11-23,29.2,41.48,0.95,68.1
PPP,2022-11-23,12.5,41.48,2.94,23.05
SPB,2022-10-20,39.9,41.49,9.27,73.83
TB8,2022-07-22,9.1,41.54,5.32,9.1
GND,2022-11-22,24.4,41.6,9.34,36.2
MTV,2022-11-23,18.0,41.6,6.74,27.07
CKG,2022-11-23,22.55,41.7,5.12,41.8
TSG,2022-11-10,11.8,41.7,3.96,18.8
VCM,2022-11-21,21.6,41.7,2.0,47.0
VMS,2022-11-23,10.3,41.71,3.38,16.59
BBH,2022-10-18,16.8,41.73,7.62,22.0
VNS,2022-11-23,16.5,41.76,3.68,30.7
CBS,2022-11-23,51.3,41.8,5.32,110.0
SFI,2022-11-23,33.9,41.8,2.82,74.35
VIH,2022-08-26,13.8,41.93,6.11,18.34
PMJ,2022-08-03,14.0,41.96,4.32,23.07
HAF,2022-11-23,34.0,41.97,6.47,65.6
BRC,2022-11-23,10.0,42.06,2.45,17.95
TVT,2022-11-23,23.85,42.1,9.81,33.35
NJC,2022-10-17,27.3,42.14,11.57,37.33
FMC,2022-11-23,31.75,42.31,1.2,72.2
SVT,2022-11-23,11.0,42.45,2.9,19.08
CPC,2022-11-23,15.5,42.46,3.3,28.73
POV,2022-11-23,8.4,42.64,1.19,16.91
BVN,2022-11-23,10.4,42.77,1.59,20.6
DSV,2022-03-29,5.91,42.77,2.45,8.09
PJT,2022-11-22,8.58,42.77,1.3,17.02
SPH,2022-11-09,13.5,43.04,1.88,27.0
PPT,2022-11-23,20.6,43.26,10.78,22.7
DPD,2022-11-18,23.5,43.33,13.1,24.0
MH3,2022-11-16,40.0,43.46,8.25,73.05
PGD,2022-11-23,26.8,43.48,5.43,49.15
TOT,2022-11-23,11.4,43.49,3.05,19.2
KAC,2022-11-18,19.0,43.67,3.25,36.07
HPW,2022-11-22,16.7,43.71,4.46,28.0
VGL,2022-11-02,20.9,43.75,3.21,40.43
FHS,2022-11-23,27.8,43.83,10.76,38.88
VFS,2022-11-23,16.6,43.86,5.68,24.9
SNC,2022-11-15,15.0,44.02,5.35,21.92
BWE,2022-11-23,41.0,44.26,13.56,62.0
CTG,2022-11-23,24.4,44.27,6.02,41.52
HES,2022-11-15,18.3,44.31,3.9,32.5
ABI,2022-11-23,32.4,44.35,2.24,68.0
ITD,2022-11-23,11.9,44.38,1.2,24.11
HCC,2022-11-23,8.5,44.59,0.71,17.47
VIC,2022-11-23,59.7,44.59,1.87,129.69
MWG,2022-11-23,40.5,44.65,4.39,80.87
SSB,2022-11-23,29.65,44.9,13.59,35.77
TCW,2022-11-23,24.4,45.07,7.98,36.43
ASA,2022-01-21,12.5,45.23,0.7,26.09
HCI,2022-04-28,29.5,45.23,3.4,57.7
HKT,2022-11-18,7.0,45.31,1.4,12.36
TDS,2022-11-22,14.0,45.55,1.93,26.5
TV4,2022-11-23,13.2,45.58,1.66,25.32
NBW,2022-11-23,19.8,45.66,1.86,39.29
GTA,2022-11-22,13.25,45.7,2.29,23.98
MBB,2022-11-23,15.7,45.7,2.41,29.08
VXT,2022-11-10,25.0,45.87,8.17,36.69
DCM,2022-11-23,25.8,45.9,4.38,46.67
VTB,2022-11-23,11.8,45.91,1.97,21.41
NSG,2022-08-19,14.0,46.11,5.7,18.0
BWS,2022-11-23,27.0,46.35,8.93,38.99
VNC,2022-10-26,34.0,46.41,3.6,65.5
VGP,2022-08-12,26.8,46.51,4.86,47.17
BLW,2022-08-30,20.1,46.52,10.75,20.1
BSG,2022-11-23,12.9,46.67,5.9,15.0
CKA,2022-11-18,27.7,46.71,8.55,41.0
NTP,2022-11-23,31.3,46.73,2.19,62.29
HDM,2022-11-22,20.5,46.83,1.47,40.64
DBM,2022-10-10,31.8,46.93,5.46,56.13
AME,2022-11-23,10.8,47.1,1.21,20.36
VDT,2022-11-22,21.1,47.19,1.11,42.36
VLW,2022-11-14,20.0,47.22,5.15,31.45
CCA,2022-11-23,15.9,47.32,4.0,25.15
KCE,2022-11-04,11.0,47.34,1.02,21.08
TCM,2022-11-23,44.85,47.47,1.78,90.74
UIC,2022-11-23,32.8,47.47,2.32,64.21
HGM,2022-11-23,40.0,47.57,11.22,60.5
QHW,2022-11-15,25.4,47.57,9.54,33.34
SRC,2022-11-22,15.5,47.58,1.75,28.9
FRT,2022-11-23,62.1,47.73,6.62,116.23
LMC,2022-10-12,15.0,47.83,5.1,20.7
BTU,2022-11-15,9.7,47.95,2.69,14.62
CCI,2022-11-22,21.75,47.96,2.83,39.45
HTC,2022-11-17,16.0,48.11,1.53,30.08
DAE,2022-11-23,17.7,48.25,1.85,32.85
VBC,2022-11-23,20.0,48.29,1.68,37.94
TMC,2022-11-23,12.0,48.44,3.76,17.01
MTB,2022-09-26,7.4,48.46,3.47,8.11
PSC,2022-11-18,12.5,48.46,2.61,20.41
DRC,2022-11-23,19.1,48.5,0.98,37.36
FRC,2022-11-23,36.7,48.51,9.63,55.8
TMS,2022-11-23,63.7,48.55,3.06,124.9
TVM,2022-11-01,10.0,48.66,1.83,16.79
BLI,2022-11-23,13.8,48.72,3.36,21.43
KSV,2022-11-21,33.8,48.77,2.83,63.5
AVC,2022-11-23,38.5,48.87,17.73,42.5
GDT,2022-11-23,31.0,48.87,2.3,58.73
BMG,2022-11-21,21.9,49.0,8.9,26.53
PNG,2022-11-07,20.5,49.02,8.3,24.89
ISG,2022-11-11,6.5,49.07,1.2,10.8
PHS,2022-11-22,14.5,49.08,1.64,26.2
CTB,2022-11-23,18.1,49.13,1.99,32.79
VNX,2022-11-22,43.3,49.16,0.12,87.84
VQC,2022-10-24,16.0,49.26,2.32,27.77
TRT,2022-11-23,11.5,49.31,2.97,17.3
DPP,2022-10-26,16.0,49.46,1.38,29.56
SCG,2022-11-23,67.6,49.57,18.48,99.1
HSA,2022-11-11,51.7,49.61,14.0,76.0
DSC,2022-11-23,48.2,49.65,4.0,89.02
DAD,2022-11-23,16.0,49.66,1.94,28.31
ISH,2022-11-23,17.4,49.68,5.61,23.73
TPP,2022-11-23,9.6,49.88,1.03,17.18
PDV,2022-11-23,9.5,49.93,2.25,14.52
BRR,2022-11-23,21.0,49.95,5.92,30.19
NTT,2022-09-12,11.8,50.0,4.7,14.2
UCT,2022-08-01,10.5,50.0,3.6,13.8
KMT,2022-11-22,8.4,50.08,2.09,12.6
CTT,2022-10-31,14.0,50.09,2.86,22.24
VTK,2022-11-22,34.0,50.12,11.84,44.21
QTC,2022-11-21,14.0,50.14,1.63,24.67
RTB,2022-11-22,24.0,50.14,5.79,36.32
PSL,2022-11-23,14.4,50.18,0.59,27.52
TMB,2022-11-23,17.5,50.27,2.72,29.4
HDW,2022-11-15,13.0,50.34,4.95,15.99
PVT,2022-11-23,17.5,50.36,1.54,31.69
SWC,2022-11-23,20.2,50.37,1.16,37.8
BEL,2022-08-09,12.0,50.39,2.31,19.23
ECI,2022-08-17,27.8,50.44,1.67,51.8
CI5,2022-11-16,13.5,50.57,2.02,22.7
VCW,2022-11-18,45.5,50.84,16.82,56.41
VIM,2022-11-23,23.0,50.96,2.5,40.23
NTW,2022-11-23,16.5,51.37,2.98,26.32
NBT,2022-11-22,12.8,51.5,3.52,18.02
DSD,2022-11-23,30.5,51.56,14.0,32.0
TDB,2022-11-15,39.0,51.59,17.95,40.8
IDP,2022-11-22,153.4,51.63,46.63,206.8
PHN,2022-11-22,36.7,51.64,11.25,49.28
DHN,2022-10-12,22.9,51.65,5.83,33.05
SIC,2022-11-23,22.0,51.69,1.22,40.2
AMC,2022-11-21,22.5,51.84,3.93,35.82
VNL,2022-11-23,19.5,51.86,3.61,30.64
BRS,2022-11-22,24.6,51.97,5.11,37.5
LGC,2022-11-22,49.8,52.07,3.43,89.06
PCN,2022-11-18,7.5,52.1,1.3,11.9
HPP,2022-11-23,52.0,52.16,8.1,84.17
NCT,2022-11-23,83.5,52.18,33.93,95.0
VCA,2022-11-23,10.7,52.27,0.9,18.75
HU6,2022-11-23,9.6,52.32,1.72,15.06
HTR,2022-09-30,11.1,52.44,4.23,13.1
VSH,2022-11-23,28.15,52.5,2.95,48.0
MSN,2022-11-23,92.9,52.62,16.73,144.76
CSM,2022-11-23,14.5,52.65,2.37,23.04
DHG,2022-11-23,82.0,52.72,9.24,138.01
PGC,2022-11-23,17.1,52.81,1.05,30.39
DCG,2022-09-27,22.0,52.82,8.53,25.5
AFX,2022-11-23,12.4,52.91,2.4,18.9
SP2,2022-11-18,13.4,52.91,3.4,18.9
VDL,2022-11-23,22.4,53.11,3.78,35.06
CAV,2022-11-23,46.7,53.25,11.66,65.8
IMP,2022-11-23,53.0,53.49,7.82,84.47
CLM,2022-11-21,64.8,53.6,7.45,107.0
TNB,2022-11-02,15.0,53.75,1.16,25.75
HEC,2022-11-10,53.0,53.88,8.73,82.17
VPI,2022-11-23,54.8,53.97,21.61,61.5
LCC,2022-08-19,10.0,53.99,1.2,16.3
VPC,2022-11-18,5.7,54.0,0.3,10.0
SPV,2022-11-21,15.8,54.12,4.43,21.01
SJE,2022-11-23,25.0,54.14,1.72,43.0
STC,2022-11-23,20.0,54.2,2.31,32.64
VHC,2022-11-23,66.1,54.23,2.11,118.0
CNC,2022-11-23,31.0,54.46,9.55,39.39
BBS,2022-11-16,11.0,54.5,2.4,15.78
PTH,2022-11-17,12.5,54.65,0.52,21.92
QCC,2022-11-15,8.0,54.66,0.96,12.88
MVB,2022-11-18,19.0,54.76,1.41,32.12
EIC,2022-11-23,20.0,55.07,5.02,27.2
TAG,2022-06-28,111.6,55.11,8.55,187.0
CCM,2022-11-22,42.0,55.17,2.95,70.78
TSJ,2022-10-05,25.9,55.19,6.43,35.28
BLT,2022-11-23,26.0,55.3,3.58,40.54
HVT,2022-11-23,44.2,55.39,2.3,75.64
NNG,2022-10-21,19.3,55.47,4.6,26.5
IST,2022-11-14,31.9,55.54,7.52,43.9
BTT,2022-11-22,35.15,55.63,5.88,52.62
GHC,2022-11-23,25.0,55.74,2.62,40.15
THB,2022-11-14,12.0,55.82,2.36,17.27
DHB,2022-11-18,10.3,55.9,1.3,16.1
VSI,2022-11-23,15.95,56.07,1.4,25.95
BDB,2022-11-22,10.8,56.11,1.3,16.93
SBH,2022-11-22,38.0,56.22,13.42,43.72
HPH,2022-11-22,14.9,56.46,3.1,20.9
GVT,2022-11-22,100.0,56.54,4.03,169.75
PIS,2022-11-08,13.4,56.64,3.0,18.36
LHC,2022-11-23,53.0,56.69,1.2,91.37
DP3,2022-11-23,90.1,56.78,8.9,143.01
VGR,2022-11-09,36.5,56.98,11.45,43.96
HC3,2022-11-23,32.0,57.13,9.13,40.03
LKW,2022-11-23,34.1,57.25,3.67,53.15
AGX,2022-11-21,34.0,57.36,9.65,42.45
EPH,2022-11-22,10.0,57.41,2.25,13.5
KST,2022-11-17,12.5,57.5,0.66,20.59
VC3,2022-11-23,29.0,57.53,0.87,48.9
SVI,2022-11-23,62.3,57.56,2.44,103.99
HLB,2022-11-23,202.0,57.7,11.71,329.79
APL,2022-05-24,24.8,57.78,8.87,27.57
NTH,2022-11-16,45.0,57.79,17.84,47.0
DLT,2022-11-17,19.0,57.83,3.94,26.04
SJD,2022-11-23,14.4,57.91,1.74,21.86
PJC,2022-11-22,23.0,58.02,1.26,37.47
CKD,2022-11-23,25.5,58.06,3.78,37.41
TTC,2022-11-22,11.9,58.12,1.06,18.65
SMN,2022-11-21,13.5,58.21,4.42,15.6
VFC,2022-11-23,40.6,58.24,2.38,65.62
QSP,2022-11-21,19.0,58.3,3.26,27.0
ACB,2022-11-23,20.65,58.54,2.76,30.56
DHT,2022-11-23,38.7,58.62,1.9,62.78
PPS,2022-11-23,10.0,58.63,1.98,13.68
SJ1,2022-11-23,14.9,58.64,2.35,21.4
HRB,2022-05-25,26.5,59.09,8.65,30.21
PCC,2022-10-25,19.8,59.11,7.08,21.52
BMV,2022-11-07,17.69,59.16,3.58,23.85
DVW,2022-10-10,23.0,59.17,8.13,25.13
BID,2022-11-23,37.4,59.24,7.81,49.95
SZL,2022-11-23,46.5,59.26,4.44,70.97
DTP,2022-11-23,72.0,59.52,20.31,86.85
NHV,2022-11-23,39.7,59.56,5.75,57.0
NET,2022-11-23,43.5,59.6,4.22,65.91
VIT,2022-11-23,16.2,59.75,0.72,25.91
VFG,2022-11-23,37.2,59.79,5.33,53.3
MCI,2022-09-16,10.0,60.0,3.1,11.5
MDG,2022-11-22,13.75,60.1,1.73,20.0
CAT,2022-11-22,20.0,60.38,2.49,29.0
HPD,2022-11-22,20.0,60.4,3.57,27.2
WCS,2022-11-16,153.0,60.48,9.83,236.71
TDP,2022-11-23,30.65,60.52,9.04,35.71
PIA,2022-11-22,25.3,60.68,4.27,34.66
SED,2022-11-23,16.1,60.68,1.72,23.7
PTT,2022-11-22,10.0,60.71,1.3,14.33
VPD,2022-11-23,22.8,60.81,6.99,26.0
GMA,2022-09-30,44.4,60.96,12.5,52.33
BDT,2022-11-23,34.1,61.04,4.62,48.3
CQT,2022-11-22,11.1,61.04,1.7,15.4
SDV,2022-11-22,30.0,61.16,2.71,44.62
SFN,2022-11-10,22.5,61.21,3.11,31.68
LAW,2022-11-02,20.9,61.63,8.02,20.9
CMG,2022-11-23,35.4,61.68,1.6,54.8
LIX,2022-11-23,40.1,61.71,3.76,58.89
SDN,2022-11-23,37.8,61.71,2.51,57.19
POB,2022-06-21,49.12,61.77,4.1,72.88
STS,2021-11-11,35.0,61.83,2.23,53.0
TCL,2022-11-23,28.5,61.84,3.4,40.59
PGI,2022-11-23,24.8,61.87,2.33,36.32
VNM,2022-11-23,79.4,61.89,2.56,124.15
DVP,2022-11-23,43.6,61.92,6.42,60.05
DNP,2022-11-23,24.4,62.03,0.83,38.0
SHI,2022-11-23,14.75,62.12,1.14,21.91
BMP,2022-11-23,52.5,62.23,2.08,81.02
BCM,2022-11-23,75.0,62.24,12.14,101.0
PIC,2022-11-22,15.3,62.28,5.21,16.2
NSC,2022-11-23,68.0,62.31,7.53,97.05
TDM,2022-11-23,32.35,62.38,5.9,42.4
NBE,2022-11-23,12.6,62.5,2.6,16.0
VTX,2022-10-21,19.7,62.5,3.45,26.0
HBD,2022-11-18,16.0,62.53,2.7,21.27
PAC,2022-11-23,30.9,62.63,3.48,43.78
HPB,2022-11-16,16.9,62.69,3.02,22.14
ABT,2022-11-23,30.65,62.73,3.74,42.9
CTW,2022-11-22,26.8,62.74,3.92,36.47
BIC,2022-11-23,25.95,63.07,3.1,36.23
TLG,2022-11-23,47.05,63.39,2.04,71.0
VSC,2022-11-23,32.2,63.39,1.38,48.62
NUE,2022-11-22,11.9,63.54,3.92,12.56
HHC,2022-11-21,88.9,63.55,5.97,130.5
QPH,2022-11-11,23.0,63.7,2.68,31.9
QNU,2022-08-01,12.8,63.73,3.24,15.0
KOS,2022-11-23,36.0,63.92,11.52,38.3
PTO,2022-10-26,18.0,63.99,0.92,26.69
INN,2022-11-23,40.8,64.01,2.49,59.85
