"id","title","firstName","lastName","name","partyShort","stateAbbreviation","leadershipRole"
"A000360","Senator, 2nd Class","Lamar","Alexander","Lamar Alexander","R","TN",""
"A000368","Senator, 3rd Class","Kelly","Ayotte","Kelly Ayotte","R","NH",""
"B000575","Senator, 3rd Class","Roy","Blunt","Roy Blunt","R","MO",""
"B000711","Senator, 3rd Class","Barbara","Boxer","Barbara Boxer","D","CA",""
"B000944","Senator, 1st Class","Sherrod","Brown","Sherrod Brown","D","OH",""
"B001135","Senator, 3rd Class","Richard","Burr","Richard Burr","R","NC",""
"B001230","Senator, 1st Class","Tammy","Baldwin","Tammy Baldwin","D","WI",""
"B001236","Senator, 3rd Class","John","Boozman","John Boozman","R","AR",""
"B001261","Senator, 1st Class","John","Barrasso","John Barrasso","R","WY",""
"B001267","Senator, 3rd Class","Michael","Bennet","Michael Bennet","D","CO",""
"B001277","Senator, 3rd Class","Richard","Blumenthal","Richard Blumenthal","D","CT",""
"B001288","Senator, 2nd Class","Cory","Booker","Cory Booker","D","NJ",""
"C000127","Senator, 1st Class","Maria","Cantwell","Maria Cantwell","D","WA",""
"C000141","Senator, 1st Class","Benjamin","Cardin","Benjamin Cardin","D","MD",""
"C000174","Senator, 1st Class","Thomas","Carper","Thomas Carper","D","DE",""
"C000542","Senator, 3rd Class","Daniel","Coats","Daniel Coats","R","IN",""
"C000567","Senator, 2nd Class","Thad","Cochran","Thad Cochran","R","MS",""
"C000880","Senator, 3rd Class","Michael","Crapo","Michael Crapo","R","ID",""
"C001035","Senator, 2nd Class","Susan","Collins","Susan Collins","R","ME",""
"C001047","Senator, 2nd Class","Shelley","Capito","Shelley Capito","R","WV",""
"C001056","Senator, 2nd Class","John","Cornyn","John Cornyn","R","TX",""
"C001070","Senator, 1st Class","Bob","Casey","Bob Casey","D","PA",""
"C001071","Senator, 1st Class","Bob","Corker","Bob Corker","R","TN",""
"C001075","Senator, 2nd Class","Bill","Cassidy","Bill Cassidy","R","LA",""
"C001088","Senator, 2nd Class","Christopher","Coons","Christopher Coons","D","DE",""
"C001095","Senator, 2nd Class","Tom","Cotton","Tom Cotton","R","AR",""
"C001098","Senator, 1st Class","Ted","Cruz","Ted Cruz","R","TX",""
"D000563","Senator, 2nd Class","Richard","Durbin","Richard Durbin","D","IL",""
"D000607","Senator, 1st Class","Joe","Donnelly","Joe Donnelly","D","IN",""
"D000618","Senator, 2nd Class","Steve","Daines","Steve Daines","R","MT",""
"E000285","Senator, 2nd Class","Michael","Enzi","Michael Enzi","R","WY",""
"E000295","Senator, 2nd Class","Joni","Ernst","Joni Ernst","R","IA",""
"F000062","Senator, 1st Class","Dianne","Feinstein","Dianne Feinstein","D","CA",""
"F000444","Senator, 1st Class","Jeff","Flake","Jeff Flake","R","AZ",""
"F000457","Senator, 2nd Class","Al","Franken","Al Franken","D","MN",""
"F000463","Senator, 1st Class","Deb","Fischer","Deb Fischer","R","NE",""
"G000359","Senator, 2nd Class","Lindsey","Graham","Lindsey Graham","R","SC",""
"G000386","Senator, 3rd Class","Charles","Grassley","Charles Grassley","R","IA",""
"G000555","Senator, 1st Class","Kirsten","Gillibrand","Kirsten Gillibrand","D","NY",""
"G000562","Senator, 2nd Class","Cory","Gardner","Cory Gardner","R","CO",""
"H000338","Senator, 1st Class","Orrin","Hatch","Orrin Hatch","R","UT",""
"H001041","Senator, 1st Class","Dean","Heller","Dean Heller","R","NV",""
"H001042","Senator, 1st Class","Mazie","Hirono","Mazie Hirono","D","HI",""
"H001046","Senator, 1st Class","Martin","Heinrich","Martin Heinrich","D","NM",""
"H001061","Senator, 3rd Class","John","Hoeven","John Hoeven","R","ND",""
"H001069","Senator, 1st Class","Heidi","Heitkamp","Heidi Heitkamp","D","ND",""
"I000024","Senator, 2nd Class","James","Inhofe","James Inhofe","R","OK",""
"I000055","Senator, 3rd Class","Johnny","Isakson","Johnny Isakson","R","GA",""
"J000293","Senator, 3rd Class","Ron","Johnson","Ron Johnson","R","WI",""
"K000360","Senator, 3rd Class","Mark","Kirk","Mark Kirk","R","IL",""
"K000367","Senator, 1st Class","Amy","Klobuchar","Amy Klobuchar","D","MN",""
"K000383","Senator, 1st Class","Angus","King","Angus King","ID","ME",""
"K000384","Senator, 1st Class","Tim","Kaine","Tim Kaine","D","VA",""
"L000174","Senator, 3rd Class","Patrick","Leahy","Patrick Leahy","D","VT",""
"L000575","Senator, 3rd Class","James","Lankford","James Lankford","R","OK",""
"L000577","Senator, 3rd Class","Mike","Lee","Mike Lee","R","UT",""
"M000133","Senator, 2nd Class","Edward","Markey","Edward Markey","D","MA",""
"M000303","Senator, 3rd Class","John","McCain","John McCain","R","AZ",""
"M000355","Senator, 2nd Class","Mitch","McConnell","Mitch McConnell","R","KY",""
"M000639","Senator, 1st Class","Robert","Menendez","Robert Menendez","D","NJ",""
"M000702","Senator, 3rd Class","Barbara","Mikulski","Barbara Mikulski","D","MD",""
"M000934","Senator, 3rd Class","Jerry","Moran","Jerry Moran","R","KS",""
"M001111","Senator, 3rd Class","Patty","Murray","Patty Murray","D","WA",""
"M001153","Senator, 3rd Class","Lisa","Murkowski","Lisa Murkowski","R","AK",""
"M001169","Senator, 1st Class","Christopher","Murphy","Christopher Murphy","D","CT",""
"M001170","Senator, 1st Class","Claire","McCaskill","Claire McCaskill","D","MO",""
"M001176","Senator, 2nd Class","Jeff","Merkley","Jeff Merkley","D","OR",""
"M001183","Senator, 1st Class","Joe","Manchin","Joe Manchin","D","WV",""
"N000032","Senator, 1st Class","Bill","Nelson","Bill Nelson","D","FL",""
"P000449","Senator, 3rd Class","Rob","Portman","Rob Portman","R","OH",""
"P000595","Senator, 2nd Class","Gary","Peters","Gary Peters","D","MI",""
"P000603","Senator, 3rd Class","Rand","Paul","Rand Paul","R","KY",""
"P000612","Senator, 2nd Class","David","Perdue","David Perdue","R","GA",""
"R000122","Senator, 2nd Class","Jack","Reed","Jack Reed","D","RI",""
"R000146","Senator, 3rd Class","Harry","Reid","Harry Reid","D","NV",""
"R000307","Senator, 2nd Class","Pat","Roberts","Pat Roberts","R","KS",""
"R000584","Senator, 2nd Class","Jim","Risch","Jim Risch","R","ID",""
"R000595","Senator, 3rd Class","Marco","Rubio","Marco Rubio","R","FL",""
"R000605","Senator, 2nd Class","Mike","Rounds","Mike Rounds","R","SD",""
"S000033","Senator, 1st Class","Bernard","Sanders","Bernard Sanders","ID","VT",""
"S000148","Senator, 3rd Class","Charles","Schumer","Charles Schumer","D","NY",""
"S000320","Senator, 3rd Class","Richard","Shelby","Richard Shelby","R","AL",""
"S000770","Senator, 1st Class","Debbie","Stabenow","Debbie Stabenow","D","MI",""
"S001141","Senator, 2nd Class","Jeff","Sessions","Jeff Sessions","R","AL",""
"S001181","Senator, 2nd Class","Jeanne","Shaheen","Jeanne Shaheen","D","NH",""
"S001184","Senator, 3rd Class","Tim","Scott","Tim Scott","R","SC",""
"S001194","Senator, 3rd Class","Brian","Schatz","Brian Schatz","D","HI",""
"S001197","Senator, 2nd Class","Ben","Sasse","Ben Sasse","R","NE",""
"S001198","Senator, 2nd Class","Dan","Sullivan","Dan Sullivan","R","AK",""
"T000250","Senator, 3rd Class","John","Thune","John Thune","R","SD",""
"T000461","Senator, 3rd Class","Patrick","Toomey","Patrick Toomey","R","PA",""
"T000464","Senator, 1st Class","Jon","Tester","Jon Tester","D","MT",""
"T000476","Senator, 2nd Class","Thom","Tillis","Thom Tillis","R","NC",""
"U000039","Senator, 2nd Class","Tom","Udall","Tom Udall","D","NM",""
"V000127","Senator, 3rd Class","David","Vitter","David Vitter","R","LA",""
