"id","title","firstName","lastName","name","stateAbbreviation","partyShort","leadershipRole"
"A000031","Senator, 3rd Class","Brockman","Adams","Brockman Adams","WA","D",""
"A000069","Senator, 1st Class","Daniel","Akaka","Daniel Akaka","HI","D",""
"B000243","Senator, 2nd Class","Max","Baucus","Max Baucus","MT","D",""
"B000401","Senator, 1st Class","Lloyd","Bentsen","Lloyd Bentsen","TX","D",""
"B000444","Senator, 2nd Class","Joseph","Biden","Joseph Biden","DE","D",""
"B000468","Senator, 1st Class","Jeff","Bingaman","Jeff Bingaman","NM","D",""
"B000611","Senator, 3rd Class","Christopher","Bond","Christopher Bond","MO","R",""
"B000639","Senator, 2nd Class","David","Boren","David Boren","OK","D",""
"B000780","Senator, 3rd Class","John","Breaux","John Breaux","LA","D",""
"B000919","Senator, 2nd Class","Hank","Brown","Hank Brown","CO","R",""
"B000993","Senator, 1st Class","Richard","Bryan","Richard Bryan","NV","D",""
"B001057","Senator, 3rd Class","Dale","Bumpers","Dale Bumpers","AR","D",""
"B001076","Senator, 1st Class","Jocelyn","Burdick","Jocelyn Burdick","ND","D",""
"B001077","Senator, 1st Class","Quentin","Burdick","Quentin Burdick","ND","D",""
"B001126","Senator, 1st Class","Conrad","Burns","Conrad Burns","MT","R",""
"B001210","Senator, 1st Class","Robert","Byrd","Robert Byrd","WV","D",""
"B001225","Senator, 2nd Class","William","Bradley","William Bradley","NJ","D",""
"C000269","Senator, 1st Class","John","Chafee","John Chafee","RI","R",""
"C000542","Senator, 3rd Class","Daniel","Coats","Daniel Coats","IN","R",""
"C000567","Senator, 2nd Class","Thad","Cochran","Thad Cochran","MS","R",""
"C000598","Senator, 2nd Class","William","Cohen","William Cohen","ME","R",""
"C000705","Senator, 3rd Class","Kent","Conrad","Kent Conrad","ND","D",""
"C000858","Senator, 2nd Class","Larry","Craig","Larry Craig","ID","R",""
"C000877","Senator, 3rd Class","Alan","Cranston","Alan Cranston","CA","D",""
"D000018","Senator, 3rd Class","Alfonse","D'Amato","Alfonse D'Amato","NY","R",""
"D000030","Senator, 1st Class","John","Danforth","John Danforth","MO","R",""
"D000064","Senator, 3rd Class","Thomas","Daschle","Thomas Daschle","SD","D",""
"D000185","Senator, 1st Class","Dennis","DeConcini","Dennis DeConcini","AZ","D",""
"D000366","Senator, 3rd Class","Alan","Dixon","Alan Dixon","IL","D",""
"D000388","Senator, 3rd Class","Christopher","Dodd","Christopher Dodd","CT","D",""
"D000401","Senator, 3rd Class","Robert","Dole","Robert Dole","KS","R",""
"D000407","Senator, 2nd Class","Pete","Domenici","Pete Domenici","NM","R",""
"D000566","Senator, 1st Class","David","Durenberger","David Durenberger","MN","R",""
"E000284","Senator, 2nd Class","J. James","Exon","J. James Exon","NE","D",""
"F000062","Senator, 1st Class","Dianne","Feinstein","Dianne Feinstein","CA","D",""
"F000268","Senator, 3rd Class","Wendell","Ford","Wendell Ford","KY","D",""
"F000329","Senator, 3rd Class","Wyche","Fowler","Wyche Fowler","GA","D",""
"G000072","Senator, 3rd Class","Edwin","Garn","Edwin Garn","UT","R",""
"G000236","Senator, 3rd Class","John","Glenn","John Glenn","OH","D",""
"G000321","Senator, 2nd Class","Albert","Gore","Albert Gore","TN","D",""
"G000333","Senator, 1st Class","Slade","Gorton","Slade Gorton","WA","R",""
"G000352","Senator, 3rd Class","Bob","Graham","Bob Graham","FL","D",""
"G000365","Senator, 2nd Class","Phil","Gramm","Phil Gramm","TX","R",""
"G000386","Senator, 3rd Class","Charles","Grassley","Charles Grassley","IA","R",""
"H000206","Senator, 2nd Class","Tom","Harkin","Tom Harkin","IA","D",""
"H000338","Senator, 1st Class","Orrin","Hatch","Orrin Hatch","UT","R",""
"H000343","Senator, 2nd Class","Mark","Hatfield","Mark Hatfield","OR","R",""
"H000445","Senator, 2nd Class","Howell","Heflin","Howell Heflin","AL","D",""
"H000456","Senator, 1st Class","Henry","Heinz","Henry Heinz","PA","R",""
"H000463","Senator, 2nd Class","Jesse","Helms","Jesse Helms","NC","R",""
"H000725","Senator, 3rd Class","Ernest","Hollings","Ernest Hollings","SC","D",""
"I000025","Senator, 3rd Class","Daniel","Inouye","Daniel Inouye","HI","D",""
"J000072","Senator, 1st Class","James","Jeffords","James Jeffords","VT","R",""
"J000189","Senator, 2nd Class","John","Johnston","John Johnston","LA","D",""
"K000017","Senator, 2nd Class","Nancy","Kassebaum","Nancy Kassebaum","KS","R",""
"K000019","Senator, 3rd Class","Robert","Kasten","Robert Kasten","WI","R",""
"K000105","Senator, 1st Class","Edward","Kennedy","Edward Kennedy","MA","D",""
"K000146","Senator, 1st Class","J. Robert","Kerrey","J. Robert Kerrey","NE","D",""
"K000148","Senator, 2nd Class","John","Kerry","John Kerry","MA","D",""
"K000305","Senator, 1st Class","Herb","Kohl","Herb Kohl","WI","D",""
"L000123","Senator, 1st Class","Frank","Lautenberg","Frank Lautenberg","NJ","D",""
"L000174","Senator, 3rd Class","Patrick","Leahy","Patrick Leahy","VT","D",""
"L000261","Senator, 2nd Class","Carl","Levin","Carl Levin","MI","D",""
