id,competitionId,teamId,season,ranking,rankingStatus,played,points,won,drawn,lost,goals,goalsAgainst,goalsDifference,yellowCards,redCards,note
1,4,NIB,2012,1,WINNER,0,0,0,0,0,0,0,0,0,0,
2,4,DAN,2012,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
3,4,LAN,2012,3,,0,0,0,0,0,0,0,0,0,0,
4,4,DON,2012,4,,0,0,0,0,0,0,0,0,0,0,
5,4,NIB,2013,1,WINNER,0,0,0,0,0,0,0,0,0,0,
6,4,DAN,2013,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
7,4,LAN,2013,3,,0,0,0,0,0,0,0,0,0,0,
8,4,DON,2013,4,,0,0,0,0,0,0,0,0,0,0,
9,4,HAP,2014,1,WINNER,0,0,0,0,0,0,0,0,0,0,
10,4,BIDU,2014,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
11,4,LAN,2014,3,,0,0,0,0,0,0,0,0,0,0,
12,4,GLA,2014,4,,0,0,0,0,0,0,0,0,0,0,
13,4,BIDU,2015,1,WINNER,0,0,0,0,0,0,0,0,0,0,
14,4,HAN,2015,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
15,4,LAN,2015,3,,0,0,0,0,0,0,0,0,0,0,
16,4,HAP,2015,4,,0,0,0,0,0,0,0,0,0,0,
17,4,QNI,2016,1,WINNER,0,0,0,0,0,0,0,0,0,0,
18,4,HAN,2016,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
19,4,BIDU,2016,3,,0,0,0,0,0,0,0,0,0,0,
20,4,QNA,2016,4,,0,0,0,0,0,0,0,0,0,0,
21,4,NAN,2017,1,WINNER,0,0,0,0,0,0,0,0,0,0,
22,4,BIDU,2017,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
23,4,QNA,2017,3,,0,0,0,0,0,0,0,0,0,0,
24,4,DAN,2017,4,,0,0,0,0,0,0,0,0,0,0,
25,4,BIDU,2018,1,WINNER,0,0,0,0,0,0,0,0,0,0,
26,4,THH,2018,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
27,4,HAN,2018,3,,0,0,0,0,0,0,0,0,0,0,
28,4,NAN,2018,4,,0,0,0,0,0,0,0,0,0,0,
29,4,HAN,2019,1,WINNER,0,0,0,0,0,0,0,0,0,0,
30,4,QNA,2019,2,RUNNER_UP,0,0,0,0,0,0,0,0,0,0,
31,4,HCM,2019,3,,0,0,0,0,0,0,0,0,0,0,
32,4,BIDU,2019,4,,0,0,0,0,0,0,0,0,0,0,
