city,name
Cao Bằng,Cao Bằng FC
Hồ Chí Minh,Kardiachain Sài Gòn FC
Quảng Nam,Quảng Nam FC
Hồ Chí Minh,Sahako FC
Khánh Hoà,Sanna Khánh Hòa
Khánh Hoà,Sanvinest Sanatech Khánh Hòa
Hà Nội,Thái Sơn Bắc
Hồ Chí Minh,Thái Sơn Nam
Hồ Chí Minh,Tân Hiệp Hưng
Hà Nội,VietFootball FC
Đà Nẵng,Đà Nẵng FC
Đắk Lắk,Hưng Gia Khang Đắk Lắk FC
