timestamp,symbol,close,low,open,high,volume,date
1487721600,PIA,5.81,5.81,5.81,5.81,1000,2017-02-22
1487894400,PIA,6.64,6.64,6.64,6.64,500,2017-02-24
1488153600,PIA,5.64,5.64,7.46,7.63,1700,2017-02-27
1488240000,PIA,6.84,6.84,7.46,7.46,700,2017-02-28
1488326400,PIA,6.22,6.22,6.84,6.84,7300,2017-03-01
1488412800,PIA,6.39,6.26,6.26,6.39,300,2017-03-02
1488499200,PIA,5.39,5.39,5.39,5.39,100,2017-03-03
1488758400,PIA,4.6,4.6,4.98,4.98,900,2017-03-06
1488844800,PIA,4.69,4.69,4.69,4.69,200,2017-03-07
1488931200,PIA,4.73,4.73,4.73,4.73,100,2017-03-08
1489104000,PIA,4.27,4.27,4.27,4.27,500,2017-03-10
1489536000,PIA,4.4,4.4,4.89,4.89,800,2017-03-15
1489622400,PIA,5.27,5.27,5.27,5.27,100,2017-03-16
1489708800,PIA,6.05,6.05,6.05,6.05,100,2017-03-17
1489968000,PIA,6.93,6.93,6.93,6.93,100,2017-03-20
1490054400,PIA,7.96,7.96,7.96,7.96,120,2017-03-21
1490140800,PIA,8,8,9.08,9.12,1080,2017-03-22
1490227200,PIA,8.29,8.13,8.13,10.33,500,2017-03-23
1490313600,PIA,10.37,8.34,8.34,10.37,18600,2017-03-24
1490572800,PIA,11.28,10.78,10.78,11.28,12600,2017-03-27
1490659200,PIA,12.81,9.58,9.58,12.86,9000,2017-03-28
1490745600,PIA,11.7,11.24,11.24,14.1,1008,2017-03-29
1490832000,PIA,11.45,11.45,12.03,12.03,600,2017-03-30
1490918400,PIA,10.78,10.2,10.2,10.78,6603,2017-03-31
1491177600,PIA,10.99,10.99,11.78,11.9,1800,2017-04-03
1491264000,PIA,10.78,10.41,10.41,10.78,200,2017-04-04
1491350400,PIA,12.03,11.4,11.4,12.03,1800,2017-04-05
1491523200,PIA,11.61,11.49,11.49,11.61,1000,2017-04-07
1491782400,PIA,12.86,11.82,11.82,13.23,7200,2017-04-10
1491868800,PIA,12.48,12.48,14.52,14.52,20430,2017-04-11
1491955200,PIA,12.44,11.78,11.78,12.44,1042,2017-04-12
1492041600,PIA,10.53,10.53,11.61,12.03,29343,2017-04-13
1492128000,PIA,12.28,9.54,10.7,12.28,435530,2017-04-14
1492387200,PIA,12.44,12.44,12.44,12.44,920,2017-04-17
1492473600,PIA,13.69,12.65,14.31,14.31,22800,2017-04-18
1492560000,PIA,12.28,11.61,12.86,13.31,87430,2017-04-19
1492646400,PIA,12.44,12.28,12.32,12.65,21821,2017-04-20
1492732800,PIA,12.32,12.03,12.4,12.65,17900,2017-04-21
1492992000,PIA,13.27,12.65,12.65,13.69,31400,2017-04-24
1493078400,PIA,13.06,12.86,13.69,13.69,11056,2017-04-25
1493164800,PIA,13.02,12.44,12.65,13.02,11220,2017-04-26
1493251200,PIA,12.86,12.44,12.44,13.06,9100,2017-04-27
1493337600,PIA,12.86,12.86,12.86,13.02,13200,2017-04-28
1493769600,PIA,12.94,12.86,12.9,13.06,11400,2017-05-03
1493856000,PIA,13.19,13.02,13.02,13.19,16700,2017-05-04
1493942400,PIA,13.69,13.15,13.27,13.69,50600,2017-05-05
1494201600,PIA,13.23,13.06,13.69,13.69,19230,2017-05-08
1494288000,PIA,13.27,13.15,13.27,13.27,10700,2017-05-09
1494374400,PIA,12.81,12.73,13.06,13.06,18400,2017-05-10
1494460800,PIA,12.73,12.73,12.86,12.86,8800,2017-05-11
1494547200,PIA,12.77,12.77,12.77,12.98,5300,2017-05-12
1494806400,PIA,13.02,12.86,13.15,13.19,10300,2017-05-15
1494892800,PIA,12.86,12.65,12.86,12.98,28500,2017-05-16
1494979200,PIA,12.69,12.69,12.86,13.27,44100,2017-05-17
1495065600,PIA,12.77,12.36,12.69,12.86,38404,2017-05-18
1495152000,PIA,12.03,10.99,12.03,12.44,39200,2017-05-19
1495411200,PIA,13.02,12.23,12.44,13.02,76701,2017-05-22
1495497600,PIA,12.86,12.15,13.06,13.6,65168,2017-05-23
1495584000,PIA,12.98,12.81,12.81,12.98,18818,2017-05-24
1495670400,PIA,12.94,12.65,12.86,13.06,32315,2017-05-25
1495756800,PIA,12.94,12.65,12.9,12.98,25410,2017-05-26
1496016000,PIA,12.97,12.72,13.98,14.66,10710,2017-05-29
1496102400,PIA,12.63,12.58,13.06,13.06,20300,2017-05-30
1496188800,PIA,12.43,12.43,12.68,12.68,9082,2017-05-31
1496275200,PIA,12.34,12.34,12.48,12.48,9928,2017-06-01
1496361600,PIA,12.77,12.1,12.34,12.77,10900,2017-06-02
1496620800,PIA,11.61,11.61,12.19,12.19,23210,2017-06-05
1496707200,PIA,11.61,11.61,11.61,11.61,4500,2017-06-06
1496793600,PIA,11.61,11.37,11.61,11.61,11800,2017-06-07
