timestamp,symbol,close,low,open,high,volume,date
1628208000,NAU,6.43,6.43,6.43,6.43,1800,2021-08-06
1641340800,NAU,3.86,3.86,3.86,3.86,100,2022-01-05
1641427200,NAU,4.35,4.35,4.35,4.35,3700,2022-01-06
1641859200,NAU,4.95,4.95,4.95,4.95,100,2022-01-11
1641945600,NAU,5.64,5.64,5.64,5.64,110,2022-01-12
1642032000,NAU,6.43,6.43,6.43,6.43,100,2022-01-13
1642118400,NAU,7.32,7.32,7.32,7.32,500,2022-01-14
1642377600,NAU,8.41,8.41,8.41,8.41,900,2022-01-17
1642464000,NAU,9.6,9.6,9.6,9.6,2168,2022-01-18
1642550400,NAU,10.98,10.98,10.98,10.98,322,2022-01-19
1642636800,NAU,11.38,11.38,11.38,11.38,1200,2022-01-20
1642723200,NAU,11.38,11.38,11.38,11.38,300,2022-01-21
1643328000,NAU,9.7,9.7,9.7,9.7,1800,2022-01-28
1644278400,NAU,8.31,8.31,8.41,8.41,700,2022-02-08
1644364800,NAU,7.32,7.12,7.12,7.42,660,2022-02-09
1644451200,NAU,6.33,6.33,6.33,6.33,100,2022-02-10
1644537600,NAU,6.53,6.53,6.53,6.53,100,2022-02-11
1644796800,NAU,6.23,5.84,5.84,6.23,300,2022-02-14
1644969600,NAU,6.23,6.23,6.23,6.23,100,2022-02-16
1645056000,NAU,5.34,5.34,5.34,5.34,100,2022-02-17
1645401600,NAU,6.13,6.13,6.13,6.13,200,2022-02-21
1645488000,NAU,7.03,7.03,7.03,7.03,100,2022-02-22
1645574400,NAU,8.01,8.01,8.01,8.01,100,2022-02-23
1645660800,NAU,9.2,8.21,8.21,9.2,400,2022-02-24
1645747200,NAU,7.72,7.72,9.2,9.2,200,2022-02-25
1646006400,NAU,9.7,8.61,8.61,9.7,650,2022-02-28
1646179200,NAU,9,9,9,9,100,2022-03-02
1646352000,NAU,9.3,9.3,10.29,10.29,1705,2022-03-04
1646611200,NAU,8.71,8.71,8.71,8.71,100,2022-03-07
1646697600,NAU,8.51,8.51,8.51,8.51,100,2022-03-08
1646784000,NAU,7.32,7.32,7.52,7.52,245,2022-03-09
1647216000,NAU,8.51,6.53,6.53,8.51,2100,2022-03-14
1647475200,NAU,9.5,7.22,8.61,9.5,2200,2022-03-17
1647561600,NAU,10.69,10.69,10.69,10.69,600,2022-03-18
1647820800,NAU,9.4,9.4,9.4,9.4,145,2022-03-21
1647907200,NAU,8.31,8.21,8.21,8.31,300,2022-03-22
1647993600,NAU,7.62,7.62,7.62,7.62,100,2022-03-23
1648771200,NAU,7.03,7.03,8.71,8.71,200,2022-04-01
1649116800,NAU,9.1,9.1,9.1,9.1,100,2022-04-05
1649808000,NAU,8.11,8.11,8.11,8.11,100,2022-04-13
1649894400,NAU,7.32,7.32,7.32,7.32,100,2022-04-14
1649980800,NAU,8.41,8.41,8.41,8.41,400,2022-04-15
1650412800,NAU,9.6,9.4,9.6,9.6,700,2022-04-20
1650499200,NAU,10.98,10.78,10.78,10.98,1300,2022-04-21
1650844800,NAU,10.98,10.78,10.78,10.98,1,2022-04-25
1651017600,NAU,10.78,10.78,10.78,10.78,200,2022-04-27
1653609600,NAU,9.2,9.2,9.2,9.2,100,2022-05-27
1653868800,NAU,8.01,8.01,8.01,8.01,100,2022-05-30
1653955200,NAU,7.32,7.32,7.32,7.32,100,2022-05-31
1654041600,NAU,6.33,6.33,8.41,8.41,300,2022-06-01
1654128000,NAU,8.01,7.12,8.01,8.01,1900,2022-06-02
1654732800,NAU,8.51,8.51,8.51,8.51,200,2022-06-09
1654819200,NAU,8.51,8.51,8.51,8.51,100,2022-06-10
1655683200,NAU,7.32,7.32,7.32,7.32,100,2022-06-20
1655942400,NAU,6.23,6.23,6.23,6.23,200,2022-06-23
1656374400,NAU,5.64,5.64,5.64,5.64,100,2022-06-28
1658793600,NAU,6.43,6.43,6.43,6.43,100,2022-07-26
1659398400,NAU,7.32,7.32,7.32,7.32,100,2022-08-02
1659916800,NAU,6.33,6.33,8.41,8.41,700,2022-08-08
1660176000,NAU,7.2,7.2,7.2,7.2,100,2022-08-11
1660262400,NAU,6.6,6.6,6.6,6.6,100,2022-08-12
1660521600,NAU,6.1,6.1,6.1,6.1,100,2022-08-15
1660780800,NAU,5.3,5.3,5.3,5.3,100,2022-08-18
1661472000,NAU,6,6,6,6,900,2022-08-26
1661817600,NAU,6.9,6.9,6.9,6.9,100,2022-08-30
1661904000,NAU,6.1,6.1,6.1,6.1,2400,2022-08-31
1662422400,NAU,7,7,7,7,100,2022-09-06
1662508800,NAU,7.1,7.1,8,8,500,2022-09-07
1662595200,NAU,7.2,7.2,7.2,7.2,200,2022-09-08
1662681600,NAU,6.6,6.6,7.3,7.3,500,2022-09-09
1662940800,NAU,7.8,7.8,7.8,7.8,400,2022-09-12
1663027200,NAU,8,8,8,8,100,2022-09-13
1663113600,NAU,7,7,7,7,200,2022-09-14
1663200000,NAU,6.6,6.6,6.6,6.6,100,2022-09-15
1663545600,NAU,7.5,7.5,7.5,7.5,100,2022-09-19
1663632000,NAU,7.6,7.5,7.5,7.6,600,2022-09-20
1663718400,NAU,7.6,7.6,7.6,8,1100,2022-09-21
1663804800,NAU,7.5,7.5,7.5,7.5,700,2022-09-22
1663891200,NAU,7.5,7.5,7.5,7.5,500,2022-09-23
1664150400,NAU,7.6,7.6,7.6,7.6,300,2022-09-26
1664236800,NAU,7.3,7.2,7.2,8.6,600,2022-09-27
1664323200,NAU,7.3,7.2,7.2,7.3,500,2022-09-28
1664409600,NAU,7.2,7.2,7.2,7.2,300,2022-09-29
1664841600,NAU,7.5,7.5,7.5,7.5,600,2022-10-04
1664928000,NAU,8.5,8.5,8.5,8.5,100,2022-10-05
1665014400,NAU,9.4,9.4,9.4,9.4,100,2022-10-06
1666656000.0,NAU,8.0,8.0,8.0,8.0,100.0,2022-10-25
1666828800.0,NAU,6.8,6.8,6.8,6.8,100.0,2022-10-27
1667174400.0,NAU,6.8,6.8,6.8,6.8,400.0,2022-10-31
1667260800.0,NAU,6.3,6.1,6.8,6.8,900.0,2022-11-01
1667347200.0,NAU,5.6,5.6,5.6,5.6,100.0,2022-11-02
1667520000.0,NAU,5.1,5.1,6.4,6.4,400.0,2022-11-04
1667779200.0,NAU,5.5,5.5,6.0,6.0,200.0,2022-11-07
1668470400.0,NAU,6.5,6.5,6.5,6.5,100.0,2022-11-15
1668556800.0,NAU,5.6,5.6,7.3,7.3,400.0,2022-11-16
1668643200.0,NAU,5.4,5.4,5.4,5.4,100.0,2022-11-17
1668988800.0,NAU,4.6,4.6,5.1,5.4,1100.0,2022-11-21
1669075200.0,NAU,4.9,4.7,4.7,4.9,400.0,2022-11-22
