name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Nguyễn Thị An,1949-11-10,Nữ,Cao Bằng,0,,,,TRUE
Lê Văn An,1936-12-16,nam,Bình Định,0,,,,TRUE
Đào An,1936-01-08,nam,TP Hải Phòng,0,,,,TRUE
Đỗ Văn Ân,1937-05-20,nam,Sơn La,0,,,,TRUE
Mai Thanh Ân (Mai Thanh Ân (Bảy Khế)),1938-01-01,nam,Minh Hải,0,,,,TRUE
Nguyễn Duy Anh,1936-10-10,nam,Lâm Đồng,0,,,,TRUE
Trần Hà Anh,1938-03-15,nam,Lâm Đồng,0,,,,TRUE
Lê Đức Anh,1920-12-01,nam,Thừa Thiên - Huế,0,,,,TRUE
Lê Thị Thu Ba,1956-03-10,Nữ,Đồng Nai,0,,,,TRUE
Nguyễn Thái Bá (Linh mục Nguyễn Thái Bá),1924-11-21,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Bá,1939-09-14,nam,Nghệ An,0,,,,TRUE
Tôn Thất Bách,1946-02-25,nam,TP Hà Nội,0,,,,TRUE
Đặng Ngọc Bân (Đặng Ngọc Bân (Bo)),1929-10-10,nam,Gia Lai,0,,,,TRUE
Võ An Bang,1945-06-20,nam,Đắc Lắk,0,,,,TRUE
Điểu Bảo,1959-04-22,nam,Đồng Nai,0,,,,TRUE
Nguyễn Chí Bền,1932-10-20,nam,Ninh Thuận,0,,,,TRUE
Lê Thị Bích,1948-04-04,Nữ,Ninh Bình,0,,,,TRUE
Trần Việt Biên,1942-04-18,nam,Tây Ninh,0,,,,TRUE
Lê Khắc Bình,1931-08-26,nam,TP Hồ Chí Minh,0,,,,TRUE
Bùi Thị Bình,1952-10-18,Nữ,Hoà Bình,0,,,,TRUE
Lê Đức Bình,1930-04-15,nam,Ninh Bình,0,,,,TRUE
Huỳnh Văn Bình,1935-12-19,nam,Đồng Nai,0,,,,TRUE
Nguyễn Văn Bình,1939-12-22,nam,Bến Tre,0,,,,TRUE
Nguyễn Hòa Bình,1954-12-08,nam,Hà Bắc,0,,,,TRUE
Hà Thái Bình (Hà Thái Bình (Tư Hiền)),1930-07-28,nam,Sóc Trăng,0,,,,TRUE
Lê Thanh Bình (Lê Thanh Bình (Lê Phú Hộ)),1936-11-03,nam,Sóc Trăng,0,,,,TRUE
Nguyễn Thị Bình (Nguyễn Thị Bình (Nguyễn Châu Sa)),1927-05-26,Nữ,Quảng Nam-Đà Nẵng,0,,,,TRUE
Nguyễn Khoa Kim Bội,1948-01-04,Nữ,Thừa Thiên - Huế,0,,,,TRUE
Nguyễn Thúy Cải,1953-08-20,Nữ,Hà Bắc,0,,,,TRUE
Nguyễn Mạnh Cầm,1929-09-15,nam,Nghệ An,0,,,,TRUE
Nguyễn Trung Cang,1939-05-05,nam,Đồng Tháp,0,,,,TRUE
Nguyễn Hữu Cảng,1945-08-25,nam,Bắc Thái,0,,,,TRUE
Nguyễn Thanh Cao,1944-04-18,nam,Kon Tum,0,,,,TRUE
Đặng Văn Cảo,1942-06-01,nam,Hải Hưng,0,,,,TRUE
Hoàng Đình Cầu,1917-04-01,nam,Hà Tây,0,,,,TRUE
Trần Thị Minh Chánh,1948-12-25,Nữ,Phú Yên,0,,,,TRUE
Lê Minh Châu (Lê Minh Châu (Ba Châu)),1935-12-25,nam,TP Hồ Chí Minh,0,,,,TRUE
Lê Minh Châu,1944-07-15,nam,Đồng Tháp,0,,,,TRUE
Cao Minh Châu,1951-10-08,Nữ,TP Hà Nội,0,,,,TRUE
Thích Minh Châu (Hoà thượng Thích Minh Châu),1920-10-20,nam,TP Hồ Chí Minh,0,,,,TRUE
Phạm Thị Trân Châu,1938-07-29,Nữ,TP Hà Nội,0,,,,TRUE
Lê Văn Chỉ,1945-12-23,nam,Thanh Hoá,0,,,,TRUE
Hoàng Thị Chiên,1960-12-20,Nữ,Bắc Thái,0,,,,TRUE
Nguyễn Văn Chính (Nguyễn Văn Chính (Chín Cần)),1924-03-01,nam,Tiền Giang,0,,,,TRUE
Hà Văn Chuẩn,1948-01-01,nam,Hoà Bình,0,,,,TRUE
Nguyễn Đình Chừng,1939-12-19,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Thanh Chương,1949-07-15,nam,Thanh Hoá,0,,,,TRUE
Dương Minh Chương,1945-10-15,nam,Hà Giang,0,,,,TRUE
Lâm Phúc Cố,1942-10-26,nam,Yên Bái,0,,,,TRUE
Nguyễn Nhiêu Cốc,1930-12-10,nam,Hoà Bình,0,,,,TRUE
Măng Cư,1943-02-03,nam,Phú Yên,0,,,,TRUE
Mã Điền Cư,1954-01-25,nam,Bình Thuận,0,,,,TRUE
Nguyễn Văn Cử,1947-07-15,nam,TP Hà Nội,0,,,,TRUE
Vũ Đình Cự,1936-02-15,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Bá Cự,1956-12-25,nam,Hà Bắc,0,,,,TRUE
Trần Văn Của (Trần Văn Của (Hai Tới)),1939-08-20,nam,Minh Hải,0,,,,TRUE
Huỳnh Cương,1925-10-11,nam,Sóc Trăng,0,,,,TRUE
Nguyễn Phú Cường,1942-05-19,nam,Lạng Sơn,0,,,,TRUE
Trần Thị Tâm Đan,1939-11-29,Nữ,TP Hà Nội,0,,,,TRUE
Hà Đăng (Hà Đăng (Đặng Ha)),1929-07-15,nam,Phú Yên,0,,,,TRUE
Lê Quang Đạo,1921-08-08,nam,TP Hà Nội,0,,,,TRUE
Lê Thanh Đạo,1944-04-20,nam,Hoà Bình,0,,,,TRUE
Hoàng Quang Đạo,1939-12-03,nam,Bình Định,0,,,,TRUE
Vũ Thị Ngọc Dậu,1945-03-10,Nữ,Thái Bình,0,,,,TRUE
Dương Tấn Đệ,1941-03-03,nam,Vĩnh Long,0,,,,TRUE
Cha-ma Léa Điêu (Cha-ma Léa Điêu (Chamalea Ngao)),1948-02-20,nam,Ninh Thuận,0,,,,TRUE
Nguyễn Phúc Đình,1941-03-12,nam,Hà Tây,0,,,,TRUE
Phạm Xuân Định,1934-04-24,nam,Cần Thơ,0,,,,TRUE
Lương Công Đoan,1945-05-05,nam,Phú Yên,0,,,,TRUE
Đinh Công Đoàn (Đinh Công Đoàn (Ba Đoàn)),1937-11-26,nam,An Giang,0,,,,TRUE
