name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Huỳnh Khoan Ái,1924-04-07,nam,Bắc Giang,0,,,,TRUE
Phan Thị An,1917-10-22,Nữ,Phú Thọ,0,,,,TRUE
Hoàng Anh,1912-02-10,nam,Thừa Thiên,0,,,,TRUE
Nguyễn Tấn Anh (Linh),1916-02-16,nam,Hải Ninh,0,,,,TRUE
Phan Anh,1912-03-01,nam,Hà Tĩnh,0,,,,TRUE
Phạm Văn Ất,1932-12-01,nam,Bắc Giang,0,,,,TRUE
Vũ Đức Âu (Võ Khải Ca),1914-02-20,nam,Thanh Hoá,0,,,,TRUE
Diệp Ba,1916-07-12,nam,Mỹ Tho,0,,,,TRUE
Lê Quảng Ba,1915-03-18,nam,Lạng Sơn,0,,,,TRUE
Trần Xuân Bách,1924-05-23,nam,Nam Định,0,,,,TRUE
Phạm Văn Bạch (Phạm Văn Bạch),1910-06-18,nam,Bến Tre,0,,,,TRUE
Trịnh Xuân Bái,1911-08-15,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Bằng,1905-07-01,nam,Vĩnh Phúc,0,,,,TRUE
Nguyễn Lương Bằng,1903-04-01,nam,Hải Dương,0,,,,TRUE
Tăng Văn Bằng,1923-01-01,nam,TP Hà Nội,0,,,,TRUE
Đào Đình Bảng,1924-08-14,nam,Yên Bái,0,,,,TRUE
Cao Viết Bảo,1922-04-01,nam,Hà Đông,0,,,,TRUE
Trần Thị Bảo,1936-01-01,Nữ,Nghệ An,0,,,,TRUE
Hồ Thị Bi,1916-04-01,Nữ,Hoà Bình,0,,,,TRUE
Hồ Thành Biên,1890-09-10,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Văn Bính,1919-05-19,nam,Bắc Ninh,0,,,,TRUE
Hoàng Bình,1923-09-01,nam,Thái Nguyên,0,,,,TRUE
Trần Tử Bình,1907-05-01,nam,Hà Nam,0,,,,TRUE
Nịnh Văn Bỉnh (Sửu),1921-04-30,nam,Tuyên Quang,0,,,,TRUE
Trịnh Thị Bỉnh,1923-06-01,Nữ,Thanh Hoá,0,,,,TRUE
Phạm Đăng Bộ,1925-03-18,nam,Thái Bình,0,,,,TRUE
Vũ Đình Bông,1925-01-15,nam,Hồng Quảng,0,,,,TRUE
Nhữ Văn Bồng,1934-10-05,nam,TP Hải Phòng,0,,,,TRUE
Phạm Văn Búng,1900-01-01,nam,Biên Hòa,0,,,,TRUE
Lò Văn Bường,1924-02-07,nam,Thanh Hoá,0,,,,TRUE
Tạ Quang Bửu,1910-07-23,nam,Kiến An,0,,,,TRUE
Bàn Văn Các,1926-12-10,nam,Yên Bái,0,,,,TRUE
Nguyễn Văn Cái,1907-03-22,nam,Bến Tre,0,,,,TRUE
Lê Thị Cầm,1920-01-01,Nữ,Thái Nguyên,0,,,,TRUE
Bùi Thị Cẩm,1912-02-01,Nữ,Hà Đông,0,,,,TRUE
Đoàn Văn Cẩm,1928-06-03,nam,Ninh Bình,0,,,,TRUE
Kha Vạng Cân,1908-10-16,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Văn Cân,1928-10-01,nam,Kiến An,0,,,,TRUE
Trần Văn Cẩn,1910-08-13,nam,Kiến An,0,,,,TRUE
Cù Huy Cận,1919-05-31,nam,Thái Bình,0,,,,TRUE
Nguyễn Văn Cận,1900-01-01,nam,Vĩnh Phúc,0,,,,TRUE
Trần Đình Cào,1920-10-01,nam,Thanh Hoá,0,,,,TRUE
Phạm Văn Cát,1924-11-07,nam,Thái Bình,0,,,,TRUE
La Văn Cầu,1931-01-01,nam,Cao Bằng,0,,,,TRUE
Nông Quốc Chấn (Nông Văn Quỳnh),1923-01-18,nam,Bắc Kạn,0,,,,TRUE
Phan Chấn,1920-01-01,nam,Bình Định,0,,,,TRUE
Đỗ Hữu Chất,1920-06-04,nam,Sơn Tây,0,,,,TRUE
Đặng Việt Châu,1914-07-02,nam,Vĩnh Phúc,0,,,,TRUE
Nguyễn Kinh Chi,1898-12-20,nam,Thừa Thiên,0,,,,TRUE
Nguyễn Văn Chi,1913-09-13,nam,Khánh Hoà,0,,,,TRUE
Phan Văn Chiêu,1915-06-21,nam,Sóc Trăng,0,,,,TRUE
Trường Chinh,1907-02-09,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Quang Chính,1918-01-01,nam,Hà Đông,0,,,,TRUE
Lê Chương (Nguyễn Đức Lương),1918-10-01,nam,Kiến An,0,,,,TRUE
Phùng Lê Chưởng,1917-01-01,nam,Lạng Sơn,0,,,,TRUE
Trần Huy Cơ,1900-04-15,nam,Bắc Giang,0,,,,TRUE
Nguyễn Văn Côn,1893-12-27,nam,Gò Công,0,,,,TRUE
Nguyễn Côn,1917-05-15,nam,Nghệ An,0,,,,TRUE
Lê Cổn,1911-05-18,nam,Nghệ An,0,,,,TRUE
Nguyễn Công,1925-11-20,nam,Hà Tĩnh,0,,,,TRUE
Nguyễn Văn Công,1893-12-27,nam,Gò Công,0,,,,TRUE
Vũ Văn Cống,1926-12-23,nam,Kiến An,0,,,,TRUE
Lương Định Của,1920-07-01,nam,Hải Dương,0,,,,TRUE
Lê Thị Cúc (Len),1916-10-01,nam,Nam Định,0,,,,TRUE
Trần Văn Cung,1906-05-05,nam,Nghệ An,0,,,,TRUE
Nguyễn An Cương,1932-12-28,nam,Hải Dương,0,,,,TRUE
Nguyễn Văn Cửu,1902-09-08,nam,Sa Đéc,0,,,,TRUE
Lê Tất Đắc,1906-10-10,nam,Thanh Hoá,0,,,,TRUE
Lê Văn Đại,1915-01-01,nam,TP Hải Phòng,0,,,,TRUE
Trương Đình Dần,1910-01-01,nam,Ninh Bình,0,,,,TRUE
