name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Trần Thị Ái,1943-01-01,Nữ,Quảng Ninh,0,,,,TRUE
Hòa thượng Thích Tâm An (Thích Tâm An),1890-01-01,nam,Hải Hưng,0,,,,TRUE
Trần Thị Ân,1923-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Hoàng Anh,1912-02-10,nam,Thanh Hoá,0,,,,TRUE
Phan Anh,1912-03-01,nam,Hà Tĩnh,0,,,,TRUE
Nguyễn Thị Ắt,1948-01-01,Nữ,Hải Hưng,0,,,,TRUE
Lê Quảng Ba,1915-03-18,nam,Cao Bằng,0,,,,TRUE
Nguyễn Hoài Bắc,1924-01-01,nam,Hải Hưng,0,,,,TRUE
Trần Xuân Bách,1924-05-23,nam,Nam Hà,0,,,,TRUE
Phạm Văn Bạch,1910-06-18,nam,Vĩnh Phú,0,,,,TRUE
Vũ Tất Ban,1937-01-01,nam,TP Hà Nội,0,,,,TRUE
Bùi Ngọc Bàn,1928-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Lương Bằng,1903-04-01,nam,TP Hà Nội,0,,,,TRUE
Chu Văn Bảo,1929-01-01,nam,Lạng Sơn,0,,,,TRUE
Trần Bảo (Trần Xuân Hoạt),1906-10-01,nam,Bắc Thái,0,,,,TRUE
Lê Thị Bảy,1949-01-01,Nữ,Bắc Thái,0,,,,TRUE
Nguyễn Văn Bảy,1936-01-01,nam,Vĩnh Phú,0,,,,TRUE
Linh mục Hồ Thành Biên (Hồ Thành Biên),1890-09-10,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Thanh Bình (Nguyễn Văn Huyến),1918-05-04,nam,Hà Bắc,0,,,,TRUE
Tạ Đồng Bình,1938-01-01,nam,Thái Bình,0,,,,TRUE
Đào Thị Bổng,1936-01-01,Nữ,Hà Nam,0,,,,TRUE
Tạ Quang Bửu,1910-07-23,nam,Nghệ An,0,,,,TRUE
Nông Thị Cắm,1948-01-01,Nữ,Cao Bằng,0,,,,TRUE
Bùi Thị Cẩm,1912-02-01,Nữ,Vĩnh Phú,0,,,,TRUE
Kha Vạng Cân,1908-10-16,nam,Nam Hà,0,,,,TRUE
Vũ Văn Cẩn,1915-01-01,nam,Hải Hưng,0,,,,TRUE
Cao Đức Cang,1912-01-01,nam,Thanh Hoá,0,,,,TRUE
Trần Văn Cảnh,1927-05-01,nam,Sơn La,0,,,,TRUE
Phạm Thị Cát,1940-01-01,Nữ,TP Hải Phòng,0,,,,TRUE
La Văn Cầu,1931-01-01,nam,Cao Bằng,0,,,,TRUE
Nguyễn Chấn,1924-01-01,nam,Hà Bắc,0,,,,TRUE
Đỗ Chanh,1926-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Thị Chất,1933-01-01,Nữ,Vĩnh Phú,0,,,,TRUE
Đặng Việt Châu,1914-07-02,nam,Vĩnh Phú,0,,,,TRUE
Nghiêm Chưởng Châu,1929-01-01,Nữ,Hà Tây,0,,,,TRUE
Nguyễn Thị Chén (Nguyễn Thị Chén),1928-01-01,Nữ,Hà Tây,0,,,,TRUE
Nguyễn Văn Chén,1941-01-01,nam,Thái Bình,0,,,,TRUE
Đàm Thị Kim Chi,1939-01-01,Nữ,Vĩnh Phú,0,,,,TRUE
Trần Văn Chi,1938-04-01,Nữ,Hà Bắc,0,,,,TRUE
Nguyễn Văn Chi,1913-09-13,nam,Bắc Thái,0,,,,TRUE
Vũ Xuân Chiêm,1923-01-01,nam,Thanh Hoá,0,,,,TRUE
Lò Mí Chinh,1946-06-06,nam,Hà Giang,0,,,,TRUE
Trường Chinh,1907-02-09,nam,TP Hà Nội,0,,,,TRUE
Trần Khắc Chính,1923-01-01,nam,Nam Hà,0,,,,TRUE
Phạm Ngọc Chức,1938-08-12,nam,Thanh Hoá,0,,,,TRUE
Lê Chương (Nguyễn Đức Lương),1918-10-01,nam,TP Hải Phòng,0,,,,TRUE
Dương Thị Chuyện,1940-01-01,Nữ,Nam Hà,0,,,,TRUE
Nguyễn Côn,1917-05-15,nam,Nghệ An,0,,,,TRUE
Võ Thành Công,1926-01-01,nam,TP Hà Nội,0,,,,TRUE
Lương Định Của,1920-07-01,nam,Hải Hưng,0,,,,TRUE
Nguyễn Thị Kim Cúc,1931-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Vũ Xuân Cung,1930-10-12,nam,TP Hà Nội,0,,,,TRUE
Dương Thị Cương,1932-01-01,Nữ,Hà Bắc,0,,,,TRUE
Ma Văn Cường,1933-01-01,nam,Thái Nguyên,0,,,,TRUE
Lê Xuân Đài,1934-01-01,nam,Hải Hưng,0,,,,TRUE
Lê Văn Đại,1915-01-01,nam,Thanh Hoá,0,,,,TRUE
Hà Văn Dân,1947-12-20,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Đăng,1921-11-01,nam,Tây Ninh,0,,,,TRUE
Trần Quang Đạt,1927-01-01,nam,Hà Tĩnh,0,,,,TRUE
Nguyễn Thị Dậu,1947-01-01,Nữ,Vĩnh Linh,0,,,,TRUE
Đỗ Đình Đậu,1942-01-01,nam,Hà Tây,0,,,,TRUE
Nguyễn Văn Đệ,1927-01-01,nam,Thái Bình,0,,,,TRUE
Nay Đer,1896-01-01,nam,Hoà Bình,0,,,,TRUE
Hồ Đắc Di,1900-04-08,nam,TP Hà Nội,0,,,,TRUE
Mai Văn Diệm,1924-06-24,nam,Nghệ An,0,,,,TRUE
Phan Văn Diệm,1930-01-01,nam,Quảng Ninh,0,,,,TRUE
Phan Điền,1917-01-01,nam,Nam Hà,0,,,,TRUE
Nguyễn Ngọc Diệp,1925-01-01,nam,Hà Tây,0,,,,TRUE
Đào Văn Định,1900-01-01,nam,Nam Hà,0,,,,TRUE
Nguyễn Văn Định (Minh Đạt),1928-07-08,nam,Hà Tây,0,,,,TRUE
Vũ Định,1925-01-01,nam,TP Hà Nội,0,,,,TRUE
Phạm Minh Do,1938-01-01,nam,Thanh Hoá,0,,,,TRUE
Bùi Đình Đô,1920-01-01,nam,Nam Hà,0,,,,TRUE
Nguyễn Thành Đô,1917-01-01,nam,Vĩnh Phú,0,,,,TRUE
Ngô Văn Đỗ (Đỗ Văn),1924-04-24,nam,Hà Bắc,0,,,,TRUE
Hòa thượng Thích Trí Độ (Thích Trí Độ),1895-12-15,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Đôn,1918-06-20,nam,Nghệ An,0,,,,TRUE
Phạm Thị Đông,1930-11-10,Nữ,Nghệ An,0,,,,TRUE
Nguyễn Văn Đồng,1939-01-01,nam,Nam Hà,0,,,,TRUE
Phạm Văn Đồng,1906-03-01,nam,TP Hà Nội,0,,,,TRUE
Trần Đồng,1918-01-01,nam,Vĩnh Linh,0,,,,TRUE
Y Wang MLô Duôn Du,1911-03-12,nam,Hà Giang,0,,,,TRUE
Nguyễn Quang Dụ,1909-04-27,nam,TP Hà Nội,0,,,,TRUE
Lê Duẩn,1907-01-01,nam,TP Hà Nội,0,,,,TRUE
Trần Hữu Dực,1910-01-05,nam,Hoà Bình,0,,,,TRUE
Lê Minh Đức,1922-03-17,nam,Hải Hưng,0,,,,TRUE
Phan Thị Đức,1936-01-01,Nữ,Hải Hưng,0,,,,TRUE
Lê Thị Kim Dung,1945-01-01,Nữ,Vĩnh Phú,0,,,,TRUE
Hòa thượng Trần Quảng Dung (Trần Quảng Dung),1904-08-19,nam,Hà Tây,0,,,,TRUE
Trần Thị Kim Dung,1942-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Thiện Phương Dung,1937-01-01,Nữ,Hà Bắc,0,,,,TRUE
Văn Tiến Dũng,1917-05-02,nam,TP Hà Nội,0,,,,TRUE
Lê Thị Được,1940-01-01,Nữ,Thanh Hoá,0,,,,TRUE
Nguyễn Văn Đương,1931-12-16,nam,Ninh Bình,0,,,,TRUE
Nguyễn Văn Đường,1934-01-01,nam,Hà Tĩnh,0,,,,TRUE
