name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Lưu Ái,1911-01-01,nam,Phan Rang,0,,,,TRUE
Dương Văn Ân,1916-01-01,nam,Long Xuyên,0,,,,TRUE
Hoàng Anh,1912-02-10,nam,Thừa Thiên,0,,,,TRUE
Đinh Khắc Anh,1908-01-01,nam,Nam Định,0,,,,TRUE
Vũ Đức Âu (Võ Khải Ca),1914-02-20,nam,Nam Định,0,,,,TRUE
Diệp Ba,1916-07-12,nam,Mỹ Tho,0,,,,TRUE
Hoàng Ngọc Bách,1942-02-05,nam,Hà Nam,0,,,,TRUE
Nguyễn Tường Bách,1942-12-15,nam,Hải Dương,0,,,,TRUE
Phạm Văn Bạch,1910-06-18,nam,Bến Tre,0,,,,TRUE
Phạm Bằng,1910-06-19,nam,Quảng Nam,0,,,,TRUE
Phan Lương Báu,1900-01-01,nam,TP Cần Thơ,0,,,,TRUE
Nguyễn Ngọc Bích,1910-02-01,nam,Rạch Giá,0,,,,TRUE
Chu Văn Biên (Chu Văn Biên),1911-10-15,nam,Nghệ An,0,,,,TRUE
Trần Bình,1905-04-01,nam,Hà Tĩnh,0,,,,TRUE
Phạm Văn Bỉnh,1916-09-15,nam,Kiến An,0,,,,TRUE
Trịnh Văn Bô (Trịnh Văn Bô),1914-03-24,nam,Hà Tây,0,,,,TRUE
Phạm Văn Búng,1900-01-01,nam,Biên Hòa,0,,,,TRUE
Tạ Quang Bửu,1910-07-23,nam,Hà Tĩnh,0,,,,TRUE
Nguyễn Văn Cái,1907-03-22,nam,Bến Tre,0,,,,TRUE
Ngô Văn Cân,1912-12-15,nam,Hoà Bình,0,,,,TRUE
Cù Huy Cận,1919-05-31,nam,Hà Đông,0,,,,TRUE
Lê Văn Cầu,1919-05-01,nam,Ninh Bình,0,,,,TRUE
Trần Văn Cầu,1904-11-01,nam,Hà Nam,0,,,,TRUE
Quách Công Chẩm,1926-02-26,nam,Hoà Bình,0,,,,TRUE
Điêu Chính Chân (Điêu Chính Chân),1906-10-01,nam,Lai Châu,0,,,,TRUE
Phan Chấn,1920-01-01,nam,Bình Định,0,,,,TRUE
Nguyễn Văn Chẩn,1912-04-01,nam,Bình Dương,0,,,,TRUE
Dương Thế Châu,1909-10-03,nam,Hà Nam,0,,,,TRUE
Đặng Việt Châu,1914-07-02,nam,Vĩnh Yên,0,,,,TRUE
Hoàng Minh Châu,1911-03-02,nam,Biên Hòa,0,,,,TRUE
Bùi Đăng Chi (Ngô Tất Tiến),1913-03-01,nam,Thái Bình,0,,,,TRUE
Nguyễn Kinh Chi,1898-12-20,nam,Thừa Thiên,0,,,,TRUE
Phạm Trọng Chi (Phạm Trọng Chi),1916-01-01,nam,Bắc Ninh,0,,,,TRUE
Nguyễn Văn Chi,1913-09-13,nam,Khánh Hoà,0,,,,TRUE
Phan Văn Chiêu,1915-06-21,nam,Sóc Trăng,0,,,,TRUE
Trần Công Chỉnh,1912-04-01,nam,Ninh Bình,0,,,,TRUE
Kim Choum,1920-01-01,nam,Châu Đốc,0,,,,TRUE
Nguyễn Tắc Chung,1911-11-15,nam,Gia Lai,0,,,,TRUE
Nguyễn Văn Chung,1889-04-10,nam,Bắc Ninh,0,,,,TRUE
Lê Văn Cơ,1897-01-15,nam,Quảng Yên,0,,,,TRUE
Nguyễn Côn,1917-05-15,nam,Nghệ An,0,,,,TRUE
Nguyễn Văn Côn,1893-12-27,nam,Gò Công,0,,,,TRUE
Trương Văn Công,1918-03-01,nam,Ninh Bình,0,,,,TRUE
Lê Đình Cư (Lê Đình Cư),1912-12-01,nam,Chợ Lớn,0,,,,TRUE
Nguyễn Đỗ Cung,1912-01-01,nam,Hà Đông,0,,,,TRUE
Trần Văn Cung,1906-05-05,nam,Nghệ An,0,,,,TRUE
Nguyễn Văn Cương,1903-12-01,nam,Chợ Lớn,0,,,,TRUE
Đặng Đức Cường,1905-01-01,nam,Bạc Liêu,0,,,,TRUE
Nguyễn Văn Cửu,1902-09-08,nam,Sa Đéc,0,,,,TRUE
Lê Tất Đắc,1906-10-10,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Đăng,1921-11-01,nam,Cần Thơ,0,,,,TRUE
Trần Ngọc Danh,1912-12-15,nam,Cần Thơ,0,,,,TRUE
Lý Đào (Lý Thủy Thọ),1916-11-06,nam,Phú Thọ,0,,,,TRUE
Đỗ Đình Đạo,1912-12-15,nam,Bà Rịa - Vũng Tàu,0,,,,TRUE
Nông Kinh Đẩu,1905-01-01,nam,Bắc Ninh,0,,,,TRUE
Tô Quang Đẩu,1907-11-19,nam,Kiến An,0,,,,TRUE
Bạch Di,1898-01-01,nam,Bắc Ninh,0,,,,TRUE
Bùi Thị Diệm (Lê Phương),1920-10-20,Nữ,Hải Dương,0,,,,TRUE
Hoàng Văn Diệm,1913-02-25,nam,Quảng Bình,0,,,,TRUE
Ngô Duy Diễn,1912-12-15,nam,Lâm Viên,0,,,,TRUE
Phạm Ngọc Điển,1912-06-02,nam,Hà Nam,0,,,,TRUE
Phạm Quang Điển (Phạm Quốc Dân),1912-05-03,nam,Hưng Yên,0,,,,TRUE
Phan Diêu,1912-09-11,nam,Quảng Nam,0,,,,TRUE
Ngô Xuân Diệu,1917-02-02,nam,Hải Dương,0,,,,TRUE
Lê Trung Đình (Nguyễn Cung),1914-01-01,nam,Thái Nguyên,0,,,,TRUE
Nguyễn Văn Đỉnh (Hoàng),1912-12-03,nam,Bạc Liêu,0,,,,TRUE
Phạm Gia Độ,1905-12-22,nam,Hà Tây,0,,,,TRUE
Đỗ Văn Đoan,1905-10-22,nam,Nam Định,0,,,,TRUE
Bùi Bằng Đoàn,1889-09-17,nam,Hà Đông,0,,,,TRUE
Huỳnh Tấn Đối,1908-10-05,nam,Bình Thuận,0,,,,TRUE
Trịnh Quý Đông,1922-08-12,nam,Hưng Yên,0,,,,TRUE
Lê Đông (Lê Chính Tâm),1923-01-01,nam,Hưng Yên,0,,,,TRUE
Lê Đồng,1911-04-12,nam,Phú Thọ,0,,,,TRUE
Phạm Văn Đồng,1906-03-01,nam,Quảng Ngãi,0,,,,TRUE
Y Wang MLô Duôn Du,1911-03-12,nam,Đắc Lắk,0,,,,TRUE
Dương Văn Dư,1904-01-01,nam,Cao Bằng,0,,,,TRUE
Đỗ Hữu Dư (Hoàng Linh),1912-01-01,nam,Thái Bình,0,,,,TRUE
Nguyễn Duân,1910-06-11,nam,Quảng Ngãi,0,,,,TRUE
Đỗ Đức Dục,1915-08-15,nam,Hà Đông,0,,,,TRUE
Trần Hữu Dực,1910-01-05,nam,Thành phố Huế,0,,,,TRUE
Hoàng Văn Đức,1918-06-10,nam,TP Hà Nội,0,,,,TRUE
Lê Trần Đức,1910-03-01,nam,Thanh Hoá,0,,,,TRUE
Trịnh Hoài Đức,1915-09-01,nam,Nam Định,0,,,,TRUE
Lê Dung,1907-05-04,nam,TP Đà Nẵng,0,,,,TRUE
Nguyễn Dương Dung,1914-01-01,nam,Lạng Sơn,0,,,,TRUE
Trần Trung Dung,1910-01-02,nam,Bình Thuận,0,,,,TRUE
Đào Hữu Dương,1915-10-27,nam,Hà Giang,0,,,,TRUE
Đinh Trương Dương,1889-01-01,nam,Thanh Hoá,0,,,,TRUE
Trần Hữu Duyệt,1906-10-02,nam,Hà Tĩnh,0,,,,TRUE
Huỳnh Văn Gấm,1922-03-10,nam,Tân An,0,,,,TRUE
Hoàng Minh Giám,1905-11-02,nam,Hà Đông,0,,,,TRUE
Đặng Kim Giang,1909-07-14,nam,Hà Đông,0,,,,TRUE
Võ Nguyên Giáp,1911-01-01,nam,Nghệ An,0,,,,TRUE
Hoàng Văn Hà,1902-01-01,nam,Hải Ninh,0,,,,TRUE
Nguyễn Mạnh Hà,1903-03-02,nam,Hưng Yên,0,,,,TRUE
Nguyễn Sơn Hà,1894-01-01,nam,TP Hải Phòng,0,,,,TRUE
Ngô Tử Hạ,1882-01-01,nam,Ninh Bình,0,,,,TRUE
Nguyễn Cao Hách,1918-08-08,nam,Điện Biên,0,,,,TRUE
Nghiêm Xuân Hàm,1912-05-04,nam,An Giang,0,,,,TRUE
Đào Trọng Hiến,1905-01-01,nam,Kiến An,0,,,,TRUE
Lê Văn Hiến,1904-09-15,nam,Quảng Nam,0,,,,TRUE
Từ Trọng Hiến (Tuprong Hiếu),1912-05-02,nam,Đồng Nai,0,,,,TRUE
Dương Đức Hiền,1917-01-01,nam,Bắc Ninh,0,,,,TRUE
Nguyễn Hiền,1911-01-01,nam,Hải Ninh,0,,,,TRUE
Lương Hiền (Lê Cính Tâm),1923-12-15,nam,Hưng Yên,0,,,,TRUE
Dương Kỳ Hiệp,1911-04-14,nam,Sóc Trăng,0,,,,TRUE
Lê Văn Hiểu,1903-12-06,nam,Quảng Trị,0,,,,TRUE
Trần Trọng Hiệu,1912-02-01,nam,Hà Đông,0,,,,TRUE
Vũ Duy Hiệu,1912-12-15,nam,Hải Dương,0,,,,TRUE
Phạm Như Hổ,1912-08-12,nam,Phú Yên,0,,,,TRUE
Lưu Công Hòa,1915-05-10,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Công Hòa (Nguyễn Hữu Túc),1907-05-01,nam,Hải Dương,0,,,,TRUE
Hoàng Văn Hoan,1905-01-01,nam,Nghệ An,0,,,,TRUE
Nguyễn Tôn Hoàn,1906-05-12,nam,Hà Tây,0,,,,TRUE
Nguyễn Hoàng,1910-11-01,nam,Bình Định,0,,,,TRUE
Nguyễn Phi Hoanh,1905-10-18,nam,Mỹ Tho,0,,,,TRUE
Nguyễn Văn Hoành,1907-01-01,nam,Chợ Lớn,0,,,,TRUE
Lê Văn Hòe,1911-01-01,nam,Sơn Tây,0,,,,TRUE
Nguyễn Bá Hòe,1896-01-01,nam,PleiKu,0,,,,TRUE
Vũ Đình Hòe,1913-06-01,nam,TP Hà Nội,0,,,,TRUE
Triệu Văn Hợi,1913-05-02,nam,Hà Nam,0,,,,TRUE
Nguyễn Dương Hồng,1918-08-06,nam,Bắc Giang,0,,,,TRUE
Phạm Văn Hồng,1908-01-01,nam,Ninh Bình,0,,,,TRUE
Ngô Văn Hợp,1902-09-01,nam,Hưng Yên,0,,,,TRUE
Nguyễn Hữu Hợp,1918-01-26,nam,Chợ Lớn,0,,,,TRUE
Huỳnh Ngọc Huệ,1902-06-12,nam,Quảng Nam,0,,,,TRUE
Ngô Thị Huệ,1919-07-01,Nữ,Bạc Liêu,0,,,,TRUE
Nguyễn Văn Huệ,1910-05-20,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Văn Huệ,1913-06-29,nam,Sa Đéc,0,,,,TRUE
Nguyễn Quý Hùng,1906-06-05,nam,Vĩnh Yên,0,,,,TRUE
Nguyễn Hữu Hưng,1914-12-12,nam,Phú Thọ,0,,,,TRUE
Trần Duy Hưng,1912-01-16,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Thiện Hước (Lê Thành Ân),1903-05-12,nam,Kiến An,0,,,,TRUE
Trần Hường (Lê Vũ),1910-04-06,nam,Quảng Bình,0,,,,TRUE
Nguyễn Văn Hưởng (Thành Tâm),1906-12-24,nam,Long Xuyên,0,,,,TRUE
Lê Xuân Hựu,1903-10-10,nam,Hưng Yên,0,,,,TRUE
Trần Huy,1908-10-01,nam,Bình Định,0,,,,TRUE
Lê Minh Huy,1902-04-12,nam,Hà Tĩnh,0,,,,TRUE
Đặng Văn Hỷ,1916-01-01,nam,Thanh Hoá,0,,,,TRUE
DJOUIK JOHN (SON),1903-02-20,nam,Kon Tum,0,,,,TRUE
Lê Văn Khải,1923-12-21,nam,Hải Dương,0,,,,TRUE
Nguyễn Duy Khâm,1911-07-15,nam,Trà Vinh,0,,,,TRUE
Trần Quang Khanh,1912-01-01,nam,Bình Định,0,,,,TRUE
Vũ Hồng Khanh,1912-05-12,nam,Bình Thuận,0,,,,TRUE
Trần Đình Khánh,1903-02-05,nam,Yên Bái,0,,,,TRUE
Bùi Trình Khiêm,1879-01-01,nam,Nam Định,0,,,,TRUE
Phan Hữu Khiêm,1905-09-25,nam,Nghệ An,0,,,,TRUE
Ung Văn Khiêm,1910-03-03,nam,Long Xuyên,0,,,,TRUE
Trần Đăng Khoa,1907-04-05,nam,Thừa Thiên,0,,,,TRUE
Đỗ Đình Khôi (Đỗ Đình Khôi),1912-05-20,nam,Hà Tĩnh,0,,,,TRUE
Vũ Thị Khôi (Phan Thị Thục),1921-10-01,Nữ,Bắc Ninh,0,,,,TRUE
Phạm Văn Khung,1912-10-02,nam,Gia Định,0,,,,TRUE
Nguyễn Mạnh Khuông (Lê Hữu Chỉnh),1915-09-01,nam,Bắc Giang,0,,,,TRUE
Cao Thị Khương (Cao Thị Khương),1919-07-08,Nữ,Hưng Yên,0,,,,TRUE
Nguyễn Công Kiêm,1900-09-22,nam,Vĩnh Yên,0,,,,TRUE
Nguyễn Văn Kiểu,1913-10-20,nam,Sa Đéc,0,,,,TRUE
Đào Thành Kim (Nguyễn Đức Quỳ),1918-06-15,nam,Hà Nam,0,,,,TRUE
Đào Trọng Kim,1897-09-24,nam,Sơn Tây,0,,,,TRUE
Nguyễn Khánh Kim (Nguyễn Bách),1918-10-18,nam,Cao Bằng,0,,,,TRUE
Sầm Văn Kim,1903-05-12,nam,Nghệ An,0,,,,TRUE
Ma Văn Kinh,1893-10-10,nam,Tuyên Quang,0,,,,TRUE
Đinh Văn Kính,1908-08-26,nam,Hà Giang,0,,,,TRUE
Nguyễn Văn Kỉnh,1916-02-28,nam,Hà Tiên,0,,,,TRUE
Nguyễn Xuân Kỳ,1912-09-17,nam,Thanh Hoá,0,,,,TRUE
Lê Đỗ Kỳ,1900-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Thế Kỷ,1910-01-01,nam,Quảng Nam,0,,,,TRUE
Lương Duyên Lạc,1918-07-10,nam,Hải Dương,0,,,,TRUE
Nông Văn Lạc (Nông Văn Phùng),1914-01-01,nam,Bắc Kạn,0,,,,TRUE
Dương Đại Lâm,1914-05-07,nam,Cao Bằng,0,,,,TRUE
Nguyễn Đôn Lâm,1907-10-20,nam,Bắc Ninh,0,,,,TRUE
Lê Tư Lành,1916-03-01,nam,Hà Nam,0,,,,TRUE
Kiều Tấn Lập,1907-10-20,nam,Chợ Lớn,0,,,,TRUE
Nguyễn Thành Lê (Lê Thanh Thủy),1920-06-17,nam,Thái Bình,0,,,,TRUE
Trần Lê,1921-01-01,nam,Bình Định,0,,,,TRUE
Bùi Vinh Liên,1885-01-01,nam,Hà Đông,0,,,,TRUE
Trần Huy Liệu,1901-10-13,nam,Nam Định,0,,,,TRUE
Lê Lộc,1911-07-12,nam,Hà Tĩnh,0,,,,TRUE
Lê Hồng Long,1912-10-11,nam,Quảng Ngãi,0,,,,TRUE
Nguyễn Đăng Long,1923-01-02,nam,Hà Đông,0,,,,TRUE
Nguyễn Tường Long,1903-12-20,nam,Biên Hòa,0,,,,TRUE
Nông Quốc Long,1917-12-02,nam,Đồng Tháp,0,,,,TRUE
Nguyễn Văn Lộng,1908-07-11,nam,Thủ Dầu Một,0,,,,TRUE
Nguyễn Văn Luân,1906-01-01,nam,TP Hà Nội,0,,,,TRUE
Trần Văn Luân,1910-10-19,nam,Rạch Giá,0,,,,TRUE
Bồ Xuân Luật,1913-02-20,nam,Hưng Yên,0,,,,TRUE
Nguyễn Văn Lực,1913-03-29,nam,Bắc Giang,0,,,,TRUE
Thái Văn Lung,1903-05-12,nam,Gia Định,0,,,,TRUE
Phạm Quang Lược,1891-10-01,nam,Quảng Ngãi,0,,,,TRUE
Cầm Ngọc Lương,1901-12-15,nam,Yên Bái,0,,,,TRUE
Vũ Văn Lương,1907-06-12,nam,Chợ Lớn,0,,,,TRUE
Vương Đình Lương,1919-12-21,nam,Hà Tĩnh,0,,,,TRUE
Lê Viết Lượng,1906-05-26,nam,Nghệ An,0,,,,TRUE
Huỳnh Lưu,1905-03-15,nam,Phú Yên,0,,,,TRUE
Nguyễn Văn Lưu,1912-01-01,nam,Thanh Hoá,0,,,,TRUE
Nguyễn Văn Luyện,1911-05-21,nam,TP Hà Nội,0,,,,TRUE
Dương Bạch Mai,1904-01-01,nam,Bà Rịa,0,,,,TRUE
Đặng Thai Mai,1902-12-24,nam,Nghệ An,0,,,,TRUE
Lê Văn Mai,1916-10-20,nam,Bình Định,0,,,,TRUE
Trần Mai,1912-01-01,nam,Nghệ An,0,,,,TRUE
Bùi Xuân Mẫn,1910-12-01,nam,Nam Định,0,,,,TRUE
Lê Văn Mảng,1907-01-02,nam,Gia Định,0,,,,TRUE
Đinh Văn Mão,1902-06-10,nam,Hải Dương,0,,,,TRUE
Vũ Qúy Mão,1903-12-21,nam,Thái Bình,0,,,,TRUE
Đinh May,1912-03-12,nam,Quảng Ngãi,0,,,,TRUE
Trịnh Thị Miến (Trịnh Thị Miến),1915-11-09,Nữ,Gia Định,0,,,,TRUE
Trịnh Thị Miếng,1915-11-07,Nữ,Gia Định,0,,,,TRUE
Phạm Khắc Minh (Nguyễn Quốc Hồng),1924-08-01,nam,Sơn Tây,0,,,,TRUE
Đào Văn MInh,1903-12-21,nam,Hà Đông,0,,,,TRUE
Hồ Chí Minh,1890-05-19,nam,TP Hà Nội,0,,,,TRUE
Phạm Quốc Minh (Nguyễn Quốc Hồng),1924-08-01,nam,Sơn Tây,0,,,,TRUE
Sa Văn Minh,1896-07-26,nam,Sơn La,0,,,,TRUE
Trương Thị Mỹ,1915-12-01,Nữ,Hà Đông,0,,,,TRUE
Hoàng Hữu Nam (Phan Bôi),1907-12-24,nam,Quảng Nam,0,,,,TRUE
Phan Kích Nam,1907-11-21,nam,Hưng Yên,0,,,,TRUE
Nguyễn Văn Năng,1902-12-29,nam,Thái Bình,0,,,,TRUE
Hồ Thiệu Ngạn (Hồ Công Nghĩa),1907-01-15,nam,Châu Đốc,0,,,,TRUE
Nguyễn Hữu Nghi,1903-12-21,nam,Long Xuyên,0,,,,TRUE
