name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Nguyễn Văn A,1930-01-01,nam,Đồng Nai,0,,,,TRUE
Phan Tư A (Phan Tư A),1943-12-27,nam,Nghĩa Bình,0,,,,TRUE
Nguyễn Quốc Ái (Nguyễn Quốc Ái),1945-01-01,nam,Hà Nam Ninh,0,,,,TRUE
Lường An,1938-01-01,nam,Sơn La,0,,,,TRUE
Dương Xuân An,1931-09-25,nam,Sông Bé,0,,,,TRUE
Trần Văn An,1925-05-04,nam,Nghĩa Bình,0,,,,TRUE
Dương Ngọc Ẩn (Ba Ẩn),1943-11-09,nam,Minh Hải,0,,,,TRUE
Dương Văn Ẩn (Mười Ẩn),1933-07-21,nam,Bến Tre,0,,,,TRUE
Lê Đức Anh (Lê Đức Anh),1920-12-01,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Kim Anh,1956-06-10,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Thị Lan Anh,1949-01-01,Nữ,Hà Sơn Bình,0,,,,TRUE
Phan Anh,1912-03-01,nam,Nghệ Tĩnh,0,,,,TRUE
Mai Ngọc Ánh,1940-01-01,Nữ,Phú Khánh,0,,,,TRUE
Hoàng Văn Áp (Hoàng Áp),1940-03-03,nam,Lạng Sơn,0,,,,TRUE
Nguyễn Văn Ấp,1932-08-01,nam,Long An,0,,,,TRUE
Linh mục Nguyễn Thái Bá,1924-11-21,nam,Thanh Hoá,0,,,,TRUE
Phạm Bái,1922-01-01,nam,TP Hải Phòng,0,,,,TRUE
Hà Văn Ban,1929-08-25,nam,Thanh Hoá,0,,,,TRUE
Đặng Quốc Bảo,1927-05-01,nam,Hà Nam Ninh,0,,,,TRUE
Nguyễn Duy Bật,1944-02-02,nam,Lai Châu,0,,,,TRUE
Nguyễn Văn Bầu,1949-10-03,nam,TP Hải Phòng,0,,,,TRUE
Hồ Văn Bảy,1939-01-01,nam,Bình Trị Thiên,0,,,,TRUE
Mai Văn Bảy,1933-12-19,nam,TP Hồ Chí Minh,0,,,,TRUE
Nguyễn Thị Bảy,1948-11-10,Nữ,Hà Nam Ninh,0,,,,TRUE
Đào Thị Biểu (Sáu Hòa),1937-07-01,Nữ,Cửu Long,0,,,,TRUE
Huỳnh Văn Bình,1935-12-19,nam,Đồng Nai,0,,,,TRUE
Lê Văn Bình,1934-05-15,nam,Minh Hải,0,,,,TRUE
