name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Bùi Đức Ái (Anh Đức),1935-01-01,nam,Kiên Giang,0,,,,TRUE
Đỗ Hữu Ái,1947-01-01,nam,Thanh Hoá,0,,,,TRUE
Lý Thị Ái,1952-01-01,Nữ,Quảng Ninh,0,,,,TRUE
Trần Văn An,1925-05-04,nam,Quảng Nam-Đà Nẵng,0,,,,TRUE
Nguyễn Văn An,1937-10-01,nam,Hà Nam Ninh,0,,,,TRUE
Đỗ Hoàng Ân,1947-01-01,nam,TP Hà Nội,0,,,,TRUE
Trần Thị Ân,1923-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Đặng Văn Ấn,1942-01-01,nam,Hà Sơn Bình,0,,,,TRUE
Nguyễn Thị Ẩn (Nguyễn Thị Ánh),1928-01-01,Nữ,Tiền Giang,0,,,,TRUE
Dương Văn Ẩn,1933-07-21,nam,Bến Tre,0,,,,TRUE
Hoàng Anh,1912-02-10,nam,Bình Trị Thiên,0,,,,TRUE
Phan Anh,1912-03-01,nam,Nghệ Tĩnh,0,,,,TRUE
Võ Thị Kim Anh,1926-01-01,Nữ,Hậu Giang,0,,,,TRUE
Bùi Văn Ba,1930-01-01,nam,TP Hồ Chí Minh,0,,,,TRUE
Hoàng Thị Ba,1951-01-01,Nữ,Nghệ Tĩnh,0,,,,TRUE
Lý Văn Bẩm (Lê Thu),1932-01-01,nam,Đồng Tháp,0,,,,TRUE
Nguyễn Bá Bao,1956-01-01,nam,Hà Sơn Bình,0,,,,TRUE
Mai Văn Bẩy,1933-12-19,nam,TP Hồ Chí Minh,0,,,,TRUE
Bằng Thị Bích (Bằng Thị Bích),1958-01-01,Nữ,Bắc Thái,0,,,,TRUE
Đào Thị Biểu (Sáu Hòa),1937-07-01,Nữ,Cửu Long,0,,,,TRUE
Dương Thị Bình,1932-01-01,Nữ,An Giang,0,,,,TRUE
Nguyễn Thanh Bình,1918-05-04,nam,Hà Bắc,0,,,,TRUE
Nguyễn Thị Bình,1927-05-26,Nữ,Quảng Nam-Đà Nẵng,0,,,,TRUE
Nguyễn Thị Bình (Út Bình),1927-01-01,Nữ,Minh Hải,0,,,,TRUE
Nguyễn Tuấn Bình,1931-01-01,nam,Quảng Nam-Đà Nẵng,0,,,,TRUE
Nguyễn Công Bình (Nguyễn Văn Mè),1923-01-01,nam,Tiền Giang,0,,,,TRUE
Hoàng Thị Bốn,1948-01-01,Nữ,Hải Hưng,0,,,,TRUE
Nguyễn Văn Bút,1924-01-01,nam,Nghĩa Bình,0,,,,TRUE
Hoàng Cầm,1920-01-01,nam,Thanh Hoá,0,,,,TRUE
Đào Hồng Cẩm,1924-01-01,nam,Quảng Nam-Đà Nẵng,0,,,,TRUE
Nguyễn Kỳ Cẩm,1929-12-19,nam,Nghệ Tĩnh,0,,,,TRUE
Vũ Văn Cẩn,1915-01-01,nam,An Giang,0,,,,TRUE
Cù Huy Cận,1919-05-31,nam,Nghệ Tĩnh,0,,,,TRUE
Nguyễn Trung Cang (Ba Cang),1939-05-05,nam,Đồng Tháp,0,,,,TRUE
Nguyễn Thị Cảnh,1951-01-01,Nữ,Hà Bắc,0,,,,TRUE
Võ Trí Cao,1928-01-01,nam,Nghĩa Bình,0,,,,TRUE
Đặng Văn Cảo,1942-06-01,nam,Hải Hưng,0,,,,TRUE
Mông Văn Cây,1937-01-01,nam,Cao Bằng,0,,,,TRUE
Nguyễn Chân,1929-01-01,nam,Bắc Thái,0,,,,TRUE
Diệp Minh Châu,1919-01-01,nam,TP Hồ Chí Minh,0,,,,TRUE
Nghiêm Chưởng Châu,1929-01-01,Nữ,TP Hà Nội,0,,,,TRUE
Nguyễn Minh Châu,1921-01-01,nam,Tây Ninh,0,,,,TRUE
Phạm Long Châu,1930-01-01,nam,TP Hồ Chí Minh,0,,,,TRUE
Thượng tọa Thích Minh Châu,1920-10-20,nam,TP Hồ Chí Minh,0,,,,TRUE
Phạm Thị Chèo,1953-12-01,Nữ,Hải Hưng,0,,,,TRUE
Nguyễn Đình Chi (Đào Thị Xuân Yến),1909-04-19,Nữ,Bình Trị Thiên,0,,,,TRUE
Tạ Quang Chiến,1925-01-01,nam,An Giang,0,,,,TRUE
Hoàng Chim,1928-01-01,nam,Sơn La,0,,,,TRUE
Lò Mí Chinh,1946-06-06,nam,Hà Tuyên,0,,,,TRUE
Trường Chinh,1907-02-09,nam,TP Hà Nội,0,,,,TRUE
Dương Quốc Chính,1918-01-01,nam,Hậu Giang,0,,,,TRUE
Đỗ Chính,1926-01-01,nam,Vĩnh Phú,0,,,,TRUE
Nguyễn Hữu Chỉnh,1928-01-01,nam,Phú Khánh,0,,,,TRUE
