name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Nguyễn Phú Trọng,,,Hà Nội,88.12,Quận Ba Đình. Cầu Giấy,,,TRUE
Nguyễn Đức Nhanh,,,Hà Nội,67.59,Quận Ba Đình. Cầu Giấy,,,TRUE
Nguyễn Hồng Sơn,,,Hà Nội,64.31,Quận Ba Đình. Cầu Giấy,,,TRUE
Ngô Thị Doãn Thanh,,,Hà Nội,81.71,Quận Hai Bà Trưng. Hoàn Kiếm,,,TRUE
Ngô Anh Dũng,,,Hà Nội,73.31,Quận Hai Bà Trưng. Hoàn Kiếm,,,TRUE
Nguyễn Viết Thịnh,,,Hà Nội,71.82,Quận Hai Bà Trưng. Hoàn Kiếm,,,TRUE
Đào Trọng Thi,,,Hà Nội,75.74,Quận Đống Đa. Thanh Xuân,,,TRUE
Nguyễn Phạm Ý Nhi,,,Hà Nội,66.82,Quận Đống Đa. Thanh Xuân,,,TRUE
Đặng Huyền Thái,,,Hà Nội,60.83,Quận Đống Đa. Thanh Xuân,,,TRUE
Nguyễn Minh Hà,,,Hà Nội,68.98,Quận Tây Hồ. Từ Liêm,,,TRUE
Nguyễn Thị Nguyệt Hường,,,Hà Nội,63.5,Quận Tây Hồ. Từ Liêm,,,TRUE
Vũ Hồng Anh,,,Hà Nội,57.52,Quận Tây Hồ. Từ Liêm,,,TRUE
Nguyễn Tiến Dĩnh,,,Hà Nội,72.38,Quận Hoàng Mai. Thanh Trì,,,TRUE
Đặng Văn Khanh,,,Hà Nội,71.49,Quận Hoàng Mai. Thanh Trì,,,TRUE
Nguyễn Ngọc Đào,,,Hà Nội,54.49,Quận Hoàng Mai. Thanh Trì,,,TRUE
Trần Văn Long (tức Hòa thượng Thích Thanh Tứ),,,Hà Nội,76.77,Quận Long Biên. Gia Lâm,,,TRUE
Nguyễn Thị Hồng Hà,,,Hà Nội,68.17,Quận Long Biên. Gia Lâm,,,TRUE
Nguyễn Thị Hoa,,,Hà Nội,51.19,Quận Long Biên. Gia Lâm,,,TRUE
Đỗ Căn,,,Hà Nội,78.05,Sóc Sơn. Đông Anh,,,TRUE
Phạm Thị Loan,,,Hà Nội,66.27,Sóc Sơn. Đông Anh,,,TRUE
Trần Thị Quốc Khánh,,,Hà Nội,60.34,Sóc Sơn. Đông Anh,,,TRUE
Chu Sơn Hà,,,Hà Nội,81.96,Thị xã Sơn Tây. Ba Vì. Phúc Thọ,,,TRUE
Nguyễn Văn Chi,,,Hà Nội,80.31,Thị xã Sơn Tây. Ba Vì. Phúc Thọ,,,TRUE
Phạm Thị Hồng Nga (tức Phạm Hồng Nga),,,Hà Nội,77.43,Thị xã Sơn Tây. Ba Vì. Phúc Thọ,,,TRUE
