name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Nguyễn Công Bình,,,Yên Bái,0,,,,TRUE
Đỗ Văn Chiến,,,Yên Bái,0,,,,TRUE
Giàng A Chu,,,Yên Bái,0,,,,TRUE
Phùng Quốc Hiển,,,Yên Bái,0,,,,TRUE
Đặng Thị Kim Liên,,,Yên Bái,0,,,,TRUE
Nguyễn Thị Bích Nhiệm,,,Yên Bái,0,,,,TRUE
Dương Văn Thống,,,Yên Bái,0,,,,TRUE
Nguyễn Ngọc Bảo,,,Vĩnh Phúc,0,,,,TRUE
Ngô Văn Dụ,,,Vĩnh Phúc,0,,,,TRUE
Trần Hồng Hà,,,Vĩnh Phúc,0,,,,TRUE
Lê Thị Nguyệt,,,Vĩnh Phúc,0,,,,TRUE
Hồ Thị Thủy,,,Vĩnh Phúc,0,,,,TRUE
Nguyễn Thế Trường,,,Vĩnh Phúc,0,,,,TRUE
Nguyễn Thanh Bình,,,Vĩnh Long,0,,,,TRUE
Lưu Thành Công,,,Vĩnh Long,0,,,,TRUE
Hồ Trọng Ngũ,,,Vĩnh Long,0,,,,TRUE
Phạm Tất Thắng,,,Vĩnh Long,0,,,,TRUE
Nguyễn Văn Thanh,,,Vĩnh Long,0,,,,TRUE
Đặng Thị Ngọc Thịnh,,,Vĩnh Long,0,,,,TRUE
Âu Thị Mai,,,Tuyên Quang,0,,,,TRUE
Hoàng Việt Phương,,,Tuyên Quang,0,,,,TRUE
Hoàng Bình Quân,,,Tuyên Quang,0,,,,TRUE
Ma Thị Thúy,,,Tuyên Quang,0,,,,TRUE
Nguyễn Sáng Vang,,,Tuyên Quang,0,,,,TRUE
Nguyễn Thái Bình,,,Trà Vinh,0,,,,TRUE
Thạch Thị Dân,,,Trà Vinh,0,,,,TRUE
Thạch Dư,,,Trà Vinh,0,,,,TRUE
Trần Trí Dũng,,,Trà Vinh,0,,,,TRUE
Nguyễn Thị Khá,,,Trà Vinh,0,,,,TRUE
Trần Quốc Tuấn,,,Trà Vinh,0,,,,TRUE
Nguyễn Văn Danh,,,Tiền Giang,0,,,,TRUE
Nguyễn Hữu Hùng,,,Tiền Giang,0,,,,TRUE
Trần Văn Lan,,,Tiền Giang,0,,,,TRUE
Trần Văn Tấn,,,Tiền Giang,0,,,,TRUE
Nguyễn Văn Tiên,,,Tiền Giang,0,,,,TRUE
Huỳnh Văn Tính,,,Tiền Giang,0,,,,TRUE
Trương Thị Thu Trang,,,Tiền Giang,0,,,,TRUE
Trần Quốc Vượng,,,Tiền Giang,0,,,,TRUE
Nguyễn Thành Bộ,,,Thanh Hoá,0,,,,TRUE
Đặng Văn Hiếu,,,Thanh Hoá,0,,,,TRUE
Lê Quang Hiệp,,,Thanh Hoá,0,,,,TRUE
Lê Thị Hương,,,Thanh Hoá,0,,,,TRUE
Bùi Sỹ Lợi,,,Thanh Hoá,0,,,,TRUE
Uông Chu Lưu,,,Thanh Hoá,0,,,,TRUE
Lê Nam (sinh 1956),,,Thanh Hoá,0,,,,TRUE
Đinh Tiên Phong,,,Thanh Hoá,0,,,,TRUE
Nguyễn Hữu Quang,,,Thanh Hoá,0,,,,TRUE
Đinh La Thăng,,,Thanh Hoá,0,,,,TRUE
Lê Minh Thông,,,Thanh Hoá,0,,,,TRUE
Phạm Trí Thức,,,Thanh Hoá,0,,,,TRUE
Hà Thị Vân,,,Thanh Hoá,0,,,,TRUE
Cao Thị Xuân,,,Thanh Hoá,0,,,,TRUE
Trịnh Xuyên,,,Thanh Hoá,0,,,,TRUE
Đào Xuân Yên,,,Thanh Hoá,0,,,,TRUE
Đồng Hữu Mạo,,,Thừa Thiên - Huế,0,,,,TRUE
Đặng Ngọc Nghĩa,,,Thừa Thiên - Huế,0,,,,TRUE
Trần Đình Nhã,,,Thừa Thiên - Huế,0,,,,TRUE
Bùi Đức Phú,,,Thừa Thiên - Huế,0,,,,TRUE
Hòa thượng Thích Chơn Thiện,,,Thừa Thiên - Huế,0,,,,TRUE
Nguyễn Ngọc Thiện,,,Thừa Thiên - Huế,0,,,,TRUE
Hà Huy Thông,,,Thừa Thiên - Huế,0,,,,TRUE
Đinh Huy Chiến,,,Thái Nguyên,0,,,,TRUE
Phạm Xuân Đương,,,Thái Nguyên,0,,,,TRUE
Trương Thị Huệ,,,Thái Nguyên,0,,,,TRUE
Đỗ Mạnh Hùng,,,Thái Nguyên,0,,,,TRUE
