number_of_dates,percentage,symbol
0,-1,A32
0,-1,AAS
0,-1,AAT
0,-1,AAV
0,-1,ABB
0,-1,ABR
0,-1,ABS
0,-1,ACG
0,-1,ADG
0,-1,AG1
0,-1,AGE
0,-1,AGG
0,-1,AIC
0,-1,APH
0,-1,APL
0,-1,APT
0,-1,ASG
0,-1,AST
0,-1,AUM
0,-1,AVC
0,-1,BAF
0,-1,BAL
0,-1,BBH
0,-1,BBM
0,-1,BBT
0,-1,BCA
0,-1,BCB
0,-1,BCF
0,-1,BCM
0,-1,BCV
0,-1,BGW
0,-1,BHG
0,-1,BHK
0,-1,BIG
0,-1,BIO
0,-1,BKG
0,-1,BKH
0,-1,BLW
0,-1,BMF
0,-1,BMG
0,-1,BMN
0,-1,BMS
0,-1,BMV
0,-1,BNA
0,-1,BNW
0,-1,BOT
0,-1,BQB
0,-1,BSA
0,-1,BSH
0,-1,BSR
0,-1,BTN
0,-1,BVB
0,-1,BVL
0,-1,C22
0,-1,C4G
0,-1,CAB
0,-1,CAR
0,-1,CAT
0,-1,CBI
0,-1,CCA
0,-1,CCT
0,-1,CDH
0,-1,CDP
0,-1,CDR
0,-1,CEN
0,-1,CFM
0,-1,CFV
0,-1,CH5
0,-1,CKA
0,-1,CKG
0,-1,CMD
0,-1,CMK
0,-1,CMP
0,-1,CMW
0,-1,CNA
0,-1,CPA
0,-1,CPH
0,-1,CQN
0,-1,CRC
0,-1,CRE
0,-1,CSI
0,-1,CST
0,-1,CVP
0,-1,DAN
0,-1,DBW
0,-1,DCG
0,-1,DCH
0,-1,DCR
0,-1,DDG
0,-1,DFF
0,-1,DHN
0,-1,DKC
0,-1,DM7
0,-1,DMN
0,-1,DNT
0,-1,DOP
0,-1,DP1
0,-1,DPD
0,-1,DRG
0,-1,DSC
0,-1,DSD
0,-1,DSG
0,-1,DSP
0,-1,DTB
0,-1,DTE
0,-1,DTH
0,-1,DTI
0,-1,DTP
0,-1,DUS
0,-1,DVG
0,-1,DVM
0,-1,DVW
0,-1,DWC
0,-1,DWS
0,-1,DXS
0,-1,E12
0,-1,E29
0,-1,EMS
0,-1,EPC
0,-1,EPH
0,-1,EVF
0,-1,EVS
0,-1,FBC
0,-1,FGL
0,-1,FHS
0,-1,FIC
0,-1,FIR
0,-1,FOC
0,-1,FRC
0,-1,FRM
0,-1,FRT
0,-1,GAB
0,-1,GE2
0,-1,GEE
0,-1,GH3
0,-1,GIC
0,-1,GLC
0,-1,GLW
0,-1,GMA
0,-1,GMH
0,-1,GVR
0,-1,HAV
0,-1,HC1
0,-1,HCB
0,-1,HD6
0,-1,HD8
0,-1,HDB
0,-1,HFX
0,-1,HGT
0,-1,HGW
0,-1,HHN
0,-1,HHP
0,-1,HHR
0,-1,HLT
0,-1,HMR
0,-1,HNR
0,-1,HPH
0,-1,HPX
0,-1,HSL
0,-1,HSM
0,-1,HSP
0,-1,HSV
0,-1,HTM
0,-1,HTN
0,-1,HTW
0,-1,HUB
0,-1,HVH
0,-1,HWS
0,-1,IBD
0,-1,IBN
0,-1,ICT
0,-1,IDP
0,-1,ILB
0,-1,ILC
0,-1,ILS
0,-1,IRC
0,-1,JOS
0,-1,KHG
0,-1,KHW
0,-1,KLM
0,-1,KSF
0,-1,KTC
0,-1,L40
0,-1,LCW
0,-1,LDW
0,-1,LG9
0,-1,LGM
0,-1,LMH
0,-1,LNC
0,-1,LPT
0,-1,LQN
0,-1,LSG
0,-1,LWS
0,-1,LYF
0,-1,M10
0,-1,MA1
0,-1,MBN
0,-1,MCM
0,-1,MDA
0,-1,MED
0,-1,MES
0,-1,MFS
0,-1,MGC
0,-1,MGR
0,-1,MIE
0,-1,MKP
0,-1,MLC
0,-1,MML
0,-1,MNB
0,-1,MND
0,-1,MPY
0,-1,MQB
0,-1,MQN
0,-1,MSB
0,-1,MSH
0,-1,MTB
0,-1,MTC
0,-1,MTS
0,-1,MVN
0,-1,NAB
0,-1,NAU
0,-1,NAW
0,-1,NDT
0,-1,NDW
0,-1,NJC
0,-1,NQB
0,-1,NQN
0,-1,NRC
0,-1,NSL
0,-1,NSS
0,-1,NTF
0,-1,NTH
0,-1,NWT
0,-1,NXT
0,-1,OCB
0,-1,ODE
0,-1,OIL
0,-1,PAI
0,-1,PAP
0,-1,PAS
0,-1,PAT
0,-1,PBC
0,-1,PBT
0,-1,PCH
0,-1,PEG
0,-1,PGB
0,-1,PGN
0,-1,PGV
0,-1,PHN
0,-1,PHS
0,-1,PLE
0,-1,PLO
0,-1,PMG
0,-1,PMW
0,-1,PNP
0,-1,POW
0,-1,PPT
0,-1,PQN
0,-1,PRE
0,-1,PRT
0,-1,PSH
0,-1,PTN
0,-1,PTV
0,-1,PTX
0,-1,PWA
0,-1,PXC
0,-1,QNT
0,-1,QNW
0,-1,S72
0,-1,SBH
0,-1,SBR
0,-1,SCG
0,-1,SCV
0,-1,SCY
0,-1,SGB
0,-1,SGI
0,-1,SHE
0,-1,SIG
0,-1,SIP
0,-1,SJG
0,-1,SKN
0,-1,SSB
0,-1,SSG
0,-1,SSH
0,-1,STH
0,-1,STW
0,-1,SVD
0,-1,SVH
0,-1,SZB
0,-1,SZC
0,-1,SZG
0,-1,TA3
0,-1,TAN
0,-1,TAR
0,-1,TBH
0,-1,TBR
0,-1,TCB
0,-1,TCI
0,-1,TCJ
0,-1,TCK
0,-1,TDF
0,-1,TDP
0,-1,TDT
0,-1,TED
0,-1,TGG
0,-1,THD
0,-1,THN
0,-1,THP
0,-1,THU
0,-1,TID
0,-1,TIN
0,-1,TKA
0,-1,TKG
0,-1,TLI
0,-1,TN1
0,-1,TNH
0,-1,TOS
0,-1,TOW
0,-1,TPB
0,-1,TQW
0,-1,TR1
0,-1,TS3
0,-1,TSD
0,-1,TSG
0,-1,TTA
0,-1,TTE
0,-1,TTL
0,-1,TV6
0,-1,TVH
0,-1,TVW
0,-1,UCT
0,-1,UDL
0,-1,UMC
0,-1,USD
0,-1,VAB
0,-1,VBB
0,-1,VBG
0,-1,VDB
0,-1,VEA
0,-1,VFS
0,-1,VGI
0,-1,VGR
0,-1,VHE
0,-1,VHM
0,-1,VIW
0,-1,VNY
0,-1,VPG
0,-1,VPW
0,-1,VSE
0,-1,VSF
0,-1,VTD
0,-1,VTE
0,-1,VTK
0,-1,VTM
0,-1,VTP
0,-1,VTQ
0,-1,VTR
0,-1,VTZ
0,-1,VUA
0,-1,VVS
0,-1,VW3
0,-1,VXP
0,-1,VXT
0,-1,X20
0,-1,X26
0,-1,XDH
0,-1,XLV
0,-1,XMC
0,-1,XMP
0,-1,YBM
0,-1,YEG
1,0.0,BTH
3,0.0,CBS
1,0.0,CDG
1,0.0,CE1
1,0.0,CHC
1,0.0,CIP
1,0.0,FCC
1,0.0,FHN
1,0.0,FSO
4,0.0,HEP
1,0.0,HHV
2,0.0,HLR
1,0.0,HLS
1,0.0,LBC
1,0.0,LCD
1,0.0,MEF
2,0.0,NLS
1,0.0,NTT
1,0.0,PCF
1,0.0,PVY
3,0.0,RBC
1,0.0,S27
2,0.0,SDX
2,0.0,VCE
1,0.0,X77
3,0.4,SQC
3,0.47,DTK
3,0.76,QNU
8,1.16,VLP
5,1.32,NBT
5,1.33,BRS
5,1.49,CJC
9,1.66,BEL
24,1.73,ILA
168,1.97,BT6
9,2.19,HNI
26,2.53,IDC
3,2.67,DLD
225,2.81,TIP
2,2.95,NQT
11,3.09,HTR
51,3.44,CNT
8,3.5,C12
2,3.74,DNN
247,3.83,HPM
2,4.02,BAB
48,4.03,LMI
16,4.56,BMD
31,4.64,DTD
48,4.7,SKH
250,5.01,VTO
250,5.66,SHN
242,5.73,PVG
250,5.77,MHC
242,5.87,FTS
239,5.93,DVP
16,5.94,TLP
238,6.02,HMH
2,6.05,CTW
40,6.14,SKV
244,6.15,HLD
250,6.21,CAV
202,6.23,ACL
199,6.47,L10
23,6.48,CIA
203,6.51,PSD
3,6.54,CAG
4,6.54,KGM
3,6.6,SHX
17,6.6,TLD
209,6.61,CLL
8,6.68,CLM
250,6.68,NCT
250,6.81,BCE
240,6.83,VGT
149,6.85,VCW
24,6.85,VPI
57,6.92,VMG
3,6.94,SPB
119,6.95,GKM
4,6.96,SDC
2,6.97,TB8
10,7.0,TBX
53,7.01,GVT
178,7.04,C69
150,7.05,SFC
96,7.05,VPB
250,7.06,PVS
250,7.12,DSN
13,7.15,MRF
127,7.21,SJF
229,7.21,TCL
43,7.24,DNA
108,7.25,HEV
4,7.27,NAP
250,7.28,SHI
227,7.39,LHC
164,7.41,LDP
2,7.43,VGL
99,7.5,L35
11,7.51,BDB
250,7.51,VGS
248,7.52,PAN
250,7.53,PET
137,7.54,VMD
10,7.56,TNP
250,7.61,CEO
249,7.76,WSS
94,7.77,DS3
61,7.77,MEL
7,7.79,TA6
12,7.82,SEP
5,7.89,BLT
246,7.89,NBC
61,7.9,TRS
104,7.99,CNC
248,8.07,WSB
221,8.09,AAM
106,8.19,DAE
250,8.23,SRF
84,8.27,SMN
245,8.31,SDT
250,8.33,LIX
105,8.35,EIC
247,8.38,SMB
214,8.42,ICG
15,8.44,SAL
197,8.5,BPC
173,8.5,PPS
250,8.52,DHC
247,8.52,MAC
250,8.55,VCB
125,8.56,TST
250,8.61,HTI
250,8.62,TRC
178,8.63,BSQ
250,8.64,HCD
234,8.67,HLG
50,8.67,SDV
190,8.68,ACE
22,8.68,LAW
249,8.7,MAS
163,8.73,SZE
135,8.78,MCF
250,8.79,SHA
250,8.82,NTL
248,8.84,DBT
232,8.84,SFI
30,8.89,SDB
21,8.91,PLA
195,8.96,TBC
113,8.96,THB
250,8.98,NVL
129,9.01,L61
99,9.03,LO5
250,9.05,TCT
132,9.06,NHV
170,9.11,TV4
65,9.13,PPH
241,9.14,KKC
125,9.17,ICN
175,9.17,L44
200,9.18,TDN
199,9.19,DXV
250,9.22,ADS
150,9.22,HVX
242,9.23,VLC
172,9.23,VNL
244,9.25,SD6
217,9.25,VTV
119,9.33,HTG
231,9.37,SMT
152,9.39,GMX
198,9.44,BTD
203,9.44,KSD
144,9.46,VLA
175,9.47,MCC
62,9.48,LPB
167,9.49,VIF
